Fri Aug 28 17:58:08 PDT 2015 --  C'est pas pour rien que je m'investis pas , l'hypocrisie c'est pas ce que je cherche
Fri Aug 28 18:01:34 PDT 2015 --  On dirait t'as la vie a Beyoncé , tout le monde s'en fou hein , on cherche pas à la connaître hein
Thu Aug 27 13:51:27 PDT 2015 --  elle dit vien on se pose a haagen dazs je lui esplique la soufrance tima est movaise putin je suis morte
Sun Jul 12 13:58:05 PDT 2015 --  j'ferme déjà pas ma gueule quand j'ai tord alors imagine quand j'ai raison
Thu Aug 27 13:32:36 PDT 2015 --  Etre témoin d'un couple du début de leurs histoire à mtn, c'est vraiment trop hellaaaa
Thu Aug 27 13:36:48 PDT 2015 --  @M_Lana_M tes une putin de vielle du bled guelek "adeyaa " xptdrr
Mon Aug 24 16:51:56 PDT 2015 --  🏽 https://twitter.com/tweetnightos/status/504000824998391808 …
Mon Aug 24 16:11:57 PDT 2015 --  Tôt ou tard, tout se paie.
Mon Aug 24 14:30:55 PDT 2015 --  Je suis partagé entre le dégoût et la joie c'est indescriptible ...
Thu Aug 20 18:19:50 PDT 2015 --  Des fois on fait tout pour avoir quelque chose mais une fois qu'on l'a eu, on fait n'importe quoi. C'est l'être humain qui est comme sa
Thu Aug 20 18:40:26 PDT 2015 --  Dormir seul dans un lit deux places c'est la viiiiiie
Wed Aug 19 16:47:11 PDT 2015 --  Je suis d'humeur a niquer des mères la
Thu Aug 20 16:53:29 PDT 2015 --  Putain j'ai envie de pleurer tellement elle était triste cette vidéo
Thu Aug 20 13:14:55 PDT 2015 --  Ptdr ya des mecs sur les réseaux sociaux ils aiment bien étaler leur argent alors qu'en vrai... Fauchés comme jamais
Thu Aug 20 03:37:07 PDT 2015 --  j'aime trop comment elles étaient quand elles étaient petites kendall et kylie MDDDDR pic.twitter.com/BBIh33wfYQ
Wed Aug 19 18:33:13 PDT 2015 --  Tu m'a donné une image de toi dont tu n'arrivais pas à la cheville en fait triste réalité
Tue Aug 18 15:48:06 PDT 2015 --  Quand ton mec est plus bonne que toi, la vi est trist parfoi pic.twitter.com/PxoPPAX8H7
Wed Aug 19 12:31:21 PDT 2015 --  Vous voulez des maris comme vos pères, mais la vraie question qu'il faut se poser, c'est est-ce que vous êtes à la hauteur de votre mère ?
Tue Aug 18 14:32:28 PDT 2015 --  Une meuf elle peut même s'habiller au Marché tant qu'elle est bonne ça va bien lui aller.
Mon Sep 01 17:22:52 PDT 2014 --  224 pic.twitter.com/D7MQJIwr5j
Fri Aug 14 16:04:58 PDT 2015 --  Avec la maturité t'apprends à pardonner plutôt qu'a te venger. Tt façon dis toi toujours que la roue finis toujours par tourner !
Mon Aug 17 19:54:00 PDT 2015 --  Ptdrrrrrr @timaablack https://twitter.com/eyeslynx/status/607167753712242688 …
Mon Aug 17 19:50:47 PDT 2015 --  A méditer https://twitter.com/eyeslynx/status/609841725687918592 …
Sat Jun 13 15:13:30 PDT 2015 --  On embrasse pas n'importe qui, un baiser peu faire naître des sentiments.
Mon Jun 29 13:53:02 PDT 2015 --  Toute ma vie on me dit "tu regardes mal les gens toi" alors que c'st juste mon regard naturel.
Sun Jul 05 12:35:25 PDT 2015 --  "Ton mec me plaît, on fait comment?" La vraie question c'st "est-ce que toi tu plais à mon mec?" Cordialement.
Mon Aug 17 19:36:50 PDT 2015 --  https://twitter.com/eyeslynx/status/623927760524832768 …
Mon Aug 17 19:32:16 PDT 2015 --  Des diables en personnes MM https://twitter.com/eyeslynx/status/627131210515525636 …
Mon Aug 17 19:31:18 PDT 2015 --  entoila https://twitter.com/eyeslynx/status/627175841450078208 …
Fri Jul 31 10:59:59 PDT 2015 --  Les meufs qui veulent des mecs qui ont de la thune, une voiture, un appart etc.... c'st parce qu'elles n'ont rien.
Mon Aug 17 19:30:06 PDT 2015 --  🏽 https://twitter.com/eyeslynx/status/627202159298396160 …
Mon Aug 17 19:24:06 PDT 2015 --  On a brisé nos complexe
Mon Aug 17 19:21:48 PDT 2015 --  🏽️ https://twitter.com/alpha_too/status/630161936643137536 …
Tue Aug 11 16:20:29 PDT 2015 --  Jpeux pas dormir tranquille quand juste avant je m'embrouille avec quelle qu'un que j'aime
Wed Aug 12 11:50:16 PDT 2015 --  Je suis accro à toi depuis le premier jours ou j'ai poser les yeux sur toi. pic.twitter.com/wb1o5sOUHJ
Wed Aug 12 11:53:05 PDT 2015 --  Être discret c'est sa le secret ! pic.twitter.com/Z7vpd82xy0
Wed Aug 12 11:58:51 PDT 2015 --  "Admets le, tu es tombée amoureuse de lui alors que tu disais que cela n’arriverait jamais." pic.twitter.com/HKEzC4M6Rj
