Fri Aug 28 13:18:05 PDT 2015 --  Ubuntu Linux continues to rule the cloud http://zd.net/1K9Y9m6  via @ZDNet & @sjvn
Thu Aug 20 12:33:00 PDT 2015 --  How projects actually ship pic.twitter.com/TgFVuYVkex
Thu Aug 27 10:08:25 PDT 2015 --  Running is the best way to remind yourself how much you love sitting.
Wed Aug 26 10:12:08 PDT 2015 --  Pourquoi les trépanés qui passent leur temps à raconter que les fonctionnaires sont privilégiés ne passent pas de concours pour le devenir ?
Sun Aug 23 23:48:11 PDT 2015 --  C'est la rentrée sur @franceinter : grand retour de @LeaSalame et Patrick Cohen dont les voix m'ont tant manqué pendant les vacances !
Sun Aug 23 13:47:07 PDT 2015 --  Guy Ligier, grand nom de la F1, est décédé http://lequi.pe/1KeuSFb 
Sun Aug 23 12:12:04 PDT 2015 --  Demain ...édito de rentrée sur #franceinter: Le "retour au peuple" façon Tsipras...pourquoi FH ne le fera pas !
Sun Aug 23 11:26:45 PDT 2015 --  Demain à 7.50 : Yanis Varoufakis. A 8.20 : Jacques Audiard. La rentrée sera chic sur @franceinter ! pic.twitter.com/V0kMBsxuu2
Wed Aug 19 00:29:02 PDT 2015 --  MIGRANTS: Plus de 100 000 migrants ont rejoint l’Europe au cours du seul mois de juillet pic.twitter.com/XZetauFmDo
Mon Aug 17 11:14:10 PDT 2015 --  Comment atteindre Inbox Zero à la rentrée http://www.commitstrip.com/2015/08/17/how-to-achieve-inbox-zero-after-the-holidays/ … pic.twitter.com/kytno2YUcH
Mon Aug 17 10:27:15 PDT 2015 --  Introducing #AndroidMarshmallow. Learn more about our latest sweet http://goo.gl/pynCIo  pic.twitter.com/ytRwKLuCKT
Sun Aug 16 11:24:51 PDT 2015 --  Facebook's engineers seem to find some really clever ways to write some really shitty code.
Sat Aug 15 11:52:17 PDT 2015 --  15 AOÛT: LA FÊTE DE LA SAINTE VIERGE. En attendant le miracle de la Croissance. pic.twitter.com/LfkYKiogp4
Sat Aug 15 02:40:29 PDT 2015 --  Quand est ce que l'on fait quelque chose ? http://www.lemonde.fr/les-decodeurs/article/2015/08/14/en-50-ans-le-jour-de-depassement-de-l-humanite-a-avance-de-4-mois_4724732_4355770.html … via @lemondefr
Fri Aug 14 03:13:09 PDT 2015 --  Grompf. Ca me rappelle quelque chose ... http://www.commitstrip.com/en/2015/07/28/betting-on-the-right-horse/ …
Wed Aug 12 03:27:17 PDT 2015 --  Papa-le-Sage (via @Pocket) http://pocket.co/soY1Ex 
Tue Aug 04 13:07:56 PDT 2015 --  Still love this one. Unit testers be like: "Looks like it's working" pic.twitter.com/KiNT4wXP4a
Wed Jul 08 12:10:23 PDT 2015 --  Mickey Mouse goes into the public domain on January 1, 2024, just in case you wanted an exact deadline by which US Copyright Law will change
Thu Aug 06 00:02:17 PDT 2015 --  Le 6 Août 1945, une bombe atomique est lâchée sur #Hiroshima. @franceinter @Arroussiak @antoinedecaunes @ATrapenard pic.twitter.com/tZzXIa8toq
