Thu Aug 27 14:53:41 PDT 2015 --  in need of a record player since my sister will not let ANYONE touch her precious player -_-
Thu Aug 27 06:02:11 PDT 2015 --  DIY: 3 Easy T-Shirt Reconstructions | LaurDIY https://youtu.be/dxZT9jx91io  via @YouTube
Wed Aug 26 23:55:12 PDT 2015 --  omgahh '09 graduation... pic.twitter.com/4qwdwMHxzw
Wed Aug 26 20:05:51 PDT 2015 --  NationalDogDay! stealing smooches from my Ro, he is now a 1 yr. old as of Aug. 4th :* acX<3 pic.twitter.com/AVC6RbejBO
Wed Aug 26 13:26:27 PDT 2015 --  Noah, Noah, Noah.. the real MVP https://twitter.com/crazylifefacts_/status/627658979926130688 …
Tue Aug 04 18:41:51 PDT 2015 --  I can't escape the gravity of her love pic.twitter.com/mxhfi7X6VI
Thu Aug 06 07:22:19 PDT 2015 --  10 Reasons Why We LOVE Germany https://cards.twitter.com/cards/18ce53zsnn2/sqkl …
Fri Aug 07 19:05:30 PDT 2015 --  pic.twitter.com/y5ni4hWEOM
Mon Aug 24 20:10:54 PDT 2015 --  do you ever get a weird crush on someone that’s not even attractive but you’re just attracted to them and you don’t know why
Sat Aug 15 03:18:23 PDT 2015 --  "Baby where is my phone... Dude! Did you hear me?" Hahaa yesss https://twitter.com/thenotesbooks/status/631915450616573953 …
Sat Aug 15 02:12:11 PDT 2015 --  http://adclick.g.doubleclick.net/aclk?sa=L&ai=B-73Y0f_OVdfSKceskwKJpb_4A8ipwpEIAAAAEAEgADgAWMCqrNWxAmDJvrmH4KO0EIIBF2NhLXB1Yi0yMTY0NjIyMzg3Njg3ODgysgEYd3d3LmRjbGstZGVmYXVsdC1yZWYuY29tugEJZ2ZwX2ltYWdlyAEJ2gEgaHR0cDovL3d3dy5kY2xrLWRlZmF1bHQtcmVmLmNvbS-YAuoXsALKowTAAgLgAgDqAiE0MjA0L3BhbmQuYW5kcm9pZC9wcm9kLm5vd3BsYXlpbmf4Av3RHpAD4AOYA-ADqAMBsAQB4AQBoAYg2AYB2AcA&num=0&sig=AOD64_28F3OT0obqbk0uJS5RBlBO2169XQ&client=ca-pub-2164622387687882&adurl=https://ad.doubleclick.net/ddm/clk/293824007%3B120901838%3Bc …. The bass though. Can't stop, addicted to the shindig pic.twitter.com/zBbQ90BPZZ
Fri Aug 14 13:05:17 PDT 2015 --  Curiosity killed your virginity.
Fri Aug 14 01:00:12 PDT 2015 --  You can be a baddd mother fucker but that don't make you a man https://m.youtube.com/watch?v=QnxpHIl5Ynw …
Thu Aug 13 23:04:40 PDT 2015 --  Really don't feel like going from academy straight to Kress w no break but I need the cash, accomplished this quicker than I thought acX
Thu Aug 13 17:34:34 PDT 2015 --  Dre bay bay!! @_dr3ski I saw a rainbow cloud just like the one we saw in France!! I love you tiny big sister pic.twitter.com/EvDgqEA779
Thu Aug 13 14:01:04 PDT 2015 --  I'm back to the person I was before. This year has been a crazy lesson.. pic.twitter.com/DVIIIo5EDI
Thu Aug 13 13:44:20 PDT 2015 --  Role model > Runway model. Inspire children, give the elderly hope, & don't stop until they know their worth acX pic.twitter.com/dxPNNu4h8a
Thu Aug 13 13:07:26 PDT 2015 --  Went through my closet and found buku journals tied together from growing up to high school... Wow was I passionate.
Thu Aug 13 12:47:06 PDT 2015 --  "Comparison is an act of violence against ones self"- Iyanla Vanzant acX pic.twitter.com/AJYYRA9gMm
