Sat Aug 29 03:15:01 PDT 2015 --  My two bestfriends for life! Miss them to bits! See you soon pic.twitter.com/EhcXOSOj99
Sat Aug 29 02:35:48 PDT 2015 --  Saturdate with Sam is now on....
Fri Aug 28 22:32:55 PDT 2015 --  Off to South Lantau to pick up Sam for our saturdate I miss my baby
Fri Aug 28 06:20:28 PDT 2015 --  10mins moreee
Fri Aug 28 06:12:51 PDT 2015 --  15mins more to go - it's killing me
Fri Aug 28 05:58:39 PDT 2015 --  Dear smile, thank you for being there in time when I need to pretend that I'm fine.
Fri Aug 28 06:10:57 PDT 2015 --  Hontogolllll grabe
Fri Aug 28 05:53:33 PDT 2015 --  Half an hour more to go
Fri Aug 28 02:59:06 PDT 2015 --  Friday night rampa with Odessa
Fri Aug 28 02:58:41 PDT 2015 --  I have a feeling that tonight's gonna be a good night woohoo
Thu Aug 27 02:40:00 PDT 2015 --  My thursday is oh so productive! Done lots of things to prepare for Sunday. Thank you Lord for giving me strength
Wed Aug 26 06:58:27 PDT 2015 --  Go for someone who is proud to have you.
Tue Aug 25 02:47:19 PDT 2015 --  Dinner tonight with colleagues and the doctor
Mon Aug 24 18:45:37 PDT 2015 --  Sometimes in life we have to create our own closure and decided when enough is enough and let go
Mon Aug 24 18:43:01 PDT 2015 --  It is far better to live a life of uncertain happiness than of certain misery.
Mon Aug 24 18:37:41 PDT 2015 --  In the end, I tried and I cared and sometimes, that is enough! Simply enough. Now, time to move on
Mon Aug 24 03:00:47 PDT 2015 --  I'm not replying just because of pride but it's best for both of us to end up the relationship now because it's not helping us to grow
Mon Aug 24 02:41:39 PDT 2015 --  Received a unexpected whatsapp message from J but I've made my decision not to reply anymore even if I'm tempted to do so
Sun Aug 23 04:37:59 PDT 2015 --  Day one after the painful decision last night moving on
Sat Aug 22 05:33:44 PDT 2015 --  Ang sakit pero kailangan na!!! Goodbye J!! Thank you for everything! I will miss you
Sat Aug 22 03:46:08 PDT 2015 --  Don't sacrifice your time for people who wouldn't do the same for you.
Sat Aug 22 03:49:11 PDT 2015 --  You can't keep doing the same things you have been doing and expect to get different results. Stop making excuses and make a change.
Sat Aug 22 01:39:11 PDT 2015 --  "I wished for nothing beyond her smile, and to walk with her thus, hand in hand, along a sun-warmed, flower-bordered path." Andre Gide
Sat Aug 22 00:55:01 PDT 2015 --  #hoping we will meet tonight so he cud give the laptop to Samantha
Fri Aug 21 21:05:27 PDT 2015 --  But I know I have to do it because I'm not happy anymore and I don't want to be treated an option. Lord give me wisdom please
Fri Aug 21 21:03:32 PDT 2015 --  That moment when you already decided to give up but end up confused you for really doing it or giving him a chance :(
Fri Aug 21 20:02:53 PDT 2015 --  God sees your pain. He will supply an opportunity. He will provide a way. Bigger and greater than before!
Fri Aug 21 04:31:02 PDT 2015 --  There comes a time when you have to choose between turning the page and closing the book.
Fri Aug 21 04:12:04 PDT 2015 --  Where do broken hearts?? - feeling down at the moment
Fri Aug 21 03:53:49 PDT 2015 --  Taking the slow ferry for the 2nd time arghh
Fri Aug 21 02:19:39 PDT 2015 --  Will dwell with the pain for few days and will move on
Fri Aug 21 01:50:08 PDT 2015 --  Composed a break-up text message for J. Still waiting for the right time to send it or shud I say waiting for me to brave enough to send it
Thu Aug 20 17:41:15 PDT 2015 --  Time for me I guess to set you totally free. I need to know my worth. You lost me while helping finding yourself
Wed Aug 19 23:51:25 PDT 2015 --  #aldubquotes #ADLUBisforREAL #EatBulaga sooo kiligggg pic.twitter.com/FrcQC1ct0R
Wed Aug 19 21:59:00 PDT 2015 --  Gyne appt pushed back to a later time coz of a preggy women in labor now. Hope they will not cancel in the end
Wed Aug 19 04:08:21 PDT 2015 --  Gyne check!! I want to know what is really the bottom line of this 2 months missed period but not even preggy once and for all
Wed Aug 19 03:58:17 PDT 2015 --  Off to my bff place to pick up Sam - darn this slow ferry is way too slow half an hour more to go
Tue Aug 18 18:41:32 PDT 2015 --  Don't worry pag sumobra kayo sa Dimple & Simple at ma-ALDUBPRESYON, dadalhin kayo sa KILIG-NIC. #ALDUBnotALDUH #EB36 @EatBulaga #EatBulaga
Tue Aug 18 15:59:23 PDT 2015 --  FDA approves first drug to treat sexual dysfunction in premenopausal women. http://cnn.it/1WD536L . pic.twitter.com/fKtqVsuOtS
Tue Aug 18 07:38:52 PDT 2015 --  #ALDUBYouLola #KalyeSerye #aldubquotes pic.twitter.com/qTxjDhPckV
Tue Aug 18 05:04:56 PDT 2015 --  Being ignored by someone whose attention means the world to you is the worst feeling.
Tue Aug 18 03:06:15 PDT 2015 --  Soo feeling weird at the moment - what is going on with me???
Tue Aug 18 01:29:20 PDT 2015 --  The less you care, the happier you'll be.
Tue Aug 18 02:32:33 PDT 2015 --  Was hoping to get an appointment with the gyne doctor this week but failed - feeling worried and upset
Tue Aug 18 01:07:17 PDT 2015 --  I didn't text you this morning so we are not talking
Mon Aug 17 21:10:37 PDT 2015 --  Will definitely take a nap after lunch...so sleepy today! I only have a proper sleep at 4am
Mon Aug 17 20:43:14 PDT 2015 --  Am not allowed to complain about his attitude but it's about time to decide to get out with this relationship I didn't get what i deserved
Mon Aug 17 19:47:30 PDT 2015 --  Our hearts go out to #Bangkok, and and to those affected by the #bomb attack. #Thailand #BangkokBlast #prayforbangkok pic.twitter.com/dbsO9RNsie
Mon Aug 17 03:35:34 PDT 2015 --  Stop paying attention to the people who aren't trying to make an effort to be in your life.
Mon Aug 17 02:49:56 PDT 2015 --  Thinking to check my diabetes level tomorrow
Mon Aug 17 02:49:21 PDT 2015 --  Going home 🏻🏻 can't wait for this moment. Am soo tired
Sat Aug 15 20:49:23 PDT 2015 --  #kowloonstation now - few more stations left
Sat Aug 15 20:14:01 PDT 2015 --  Everyone deserves the same love they give to others.
Sat Aug 15 20:33:58 PDT 2015 --  Had a wonderful time with Jase yesterday until today
Sat Aug 15 00:37:08 PDT 2015 --  I always say I'm done with you, but I never am.
Fri Aug 14 23:14:59 PDT 2015 --  Listening to #Spotify while waiting for Jase to finish his email
Fri Aug 14 23:11:10 PDT 2015 --  Spending Saturday with my love
Fri Aug 14 22:48:11 PDT 2015 --  Lola: Susuko pao: asawa ni... lola: single siya. walang asawa. #AlDubForYouIWill
Fri Aug 14 18:40:27 PDT 2015 --  #AlDubForYouIWiII pic.twitter.com/o1YyHCYZAc
Fri Aug 14 04:55:28 PDT 2015 --  No calls, no texts, nothing. But here I am thinking about you like crazy.
Thu Aug 13 23:49:41 PDT 2015 --  Listening to #kiligpamore #aldub soundtrack in #spotify while having a lunch break
Thu Aug 13 06:26:56 PDT 2015 --  #HappyALDUBDay pic.twitter.com/FuG1JdZx11
Wed Aug 12 22:39:56 PDT 2015 --  Time to nap
Wed Aug 12 20:42:34 PDT 2015 --  I want to travel again in September I really need a break
Wed Aug 12 05:04:08 PDT 2015 --  Dinner with Dr T and colleagues
Wed Aug 12 01:19:28 PDT 2015 --  Yun taong inaasam mo na magtatanong kung ano ang sitwasyon mo pero wala man lang.. Nakakasama lang ng loob
Wed Aug 12 00:49:47 PDT 2015 --  Pinaasa ka lang.. Still the same you
Tue Aug 11 21:50:48 PDT 2015 --  Nasa Broadway raw si Yaya and Alden.. Hindi raw papayag si Lola na magkita silang dalawa #AlDubMaybeThisTime pic.twitter.com/Kk68TXtQrl
Tue Aug 11 21:51:34 PDT 2015 --  Lola: Alden! Magpapakita ka ba? Joey: Asawa ni? Lola: Pakito! #AlDubMaybeThisTime
Tue Aug 11 19:08:05 PDT 2015 --  It hurts when you have someone in your heart but you can't have them in your arms.
Tue Aug 11 17:13:04 PDT 2015 --  Obedience is better than sacrifice #Godisgood #obey #sacrifice #iloveyouLord
Tue Aug 11 17:04:08 PDT 2015 --  #maniniwalalangakosaforeverpagnagingtayona hahhahahha hayy Ronnie bakit di ka nawawala sa puso ko.. crush na crush pa rin kita
Tue Aug 11 16:13:28 PDT 2015 --  Good morning!! Happy Birthday Ronnie Navalta
Tue Aug 11 15:14:42 PDT 2015 --  #Tornado warning for Denver International Airport until 4:30 pm MDT. pic.twitter.com/0Sn3FRmCT5
Tue Aug 11 06:48:09 PDT 2015 --  It's been a week now.. Ganon lang ba talaga kadali para sa'yo???
Tue Aug 11 03:45:46 PDT 2015 --  Those messages you never want to delete.
Tue Aug 11 02:56:25 PDT 2015 --  On the way home - listening to #AlDub soundtrack in #Spotify.
Tue Aug 11 02:18:18 PDT 2015 --  Yung iba dinadaan nalang sa tawa kahit ang sakit na.
Tue Aug 11 01:27:25 PDT 2015 --  Minsan namimiss mo, pero minsan mas gusto mong kalimutan na lang.
Tue Aug 11 00:26:42 PDT 2015 --  Yung hanggang ngayon iniisip mo bakit hindk man lang nagpaparamdam sa'yo??
Mon Aug 10 23:59:50 PDT 2015 --  Too many things going on in my head
Wed Aug 05 05:26:17 PDT 2015 --  Buti pa kayo ng katamaran mo, may forever.
Sat Aug 08 08:34:00 PDT 2015 --  Kapag iniwan ka ng mahal mo. Wag kang magtaka. Ganun talaga ang mga tanga, hindi bagay sa magaganda.
Sun Aug 09 06:53:52 PDT 2015 --  KATAMARAN is man's bestfriend.
Mon Aug 10 15:45:37 PDT 2015 --  New day.. A lot of reason to be grateful.. A lot of reason to smile.. A lot of reason to move on.. Thank God for the breath of life
Mon Aug 10 07:58:57 PDT 2015 --  Feeling so scared and depressed these past few days
Mon Jun 15 07:53:55 PDT 2015 --  Can't sleep
Mon Jun 15 02:42:51 PDT 2015 --  The Philippine Madrigal Singer the Tribute Concert last 9th June!!! pic.twitter.com/qcCRmCztd2
Mon Jun 15 02:30:15 PDT 2015 --  Re-opened my twitter account #whenboredomstrikes
Mon Jun 15 02:08:51 PDT 2015 --  “ @TipsShared: No matter how strong of a person you are, there’s always someone who can make you weak.”
Tue Nov 18 19:20:50 PST 2014 --  thesinglewoman's photo http://instagram.com/p/vBhqBTEPG0/ 
Tue Nov 18 19:19:06 PST 2014 --  thesinglewoman's photo http://instagram.com/p/vXmsV6EPPb/ 
Wed Nov 12 20:00:08 PST 2014 --  When I text you, that means I miss you. When I don't text, that just means I'm waiting for you to miss me.
Wed Nov 12 23:00:17 PST 2014 --  You will never realize how much you care about a guy until the thought of him being with someone else is enough to break your heart.
