Fri Aug 28 06:42:50 PDT 2015 --  AWWWKWAAARD. Ha ha ha! #OTWOLHindiPwede
Fri Aug 28 01:58:33 PDT 2015 --  Seeing visions in prisms of life, figuring out their images hidden within beautiful colors of the… https://instagram.com/p/669MOfkYLs/ 
Fri Jun 12 01:18:19 PDT 2015 --  Lucky I'm inlove with my bestfriend.
Thu Aug 27 07:10:38 PDT 2015 --  "Kaya ba ayaw mong ma-inlove?" "I'M JUST WAITING FOR THE RIGHT PERSON." Clark, me too. Good night, love. #OTWOLBigHeart
Thu Aug 27 06:53:16 PDT 2015 --  Good night, Clark. Waaahhh! Achieved na achieved! #OTWOLBigHeart
Thu Aug 27 03:36:11 PDT 2015 --  "Bawal ang bobo. Bawal ang tanga." YOU'RE THE REAL MVP MA'AM! #marketing #advertising
Wed Aug 26 08:32:32 PDT 2015 --  Where's the good in goodbye? #latenightthoughts
Wed Aug 26 08:00:03 PDT 2015 --  That “Sanay na ako masaktan” feeling.
Wed Aug 26 07:10:36 PDT 2015 --  "I'm falling for you." "Clark, mahal na din kita." PUNYEMES. Tapos panaginip lang pala. Sarap itapon nung TV! #OTWOLTruthOrConsequence
Tue Aug 25 23:10:03 PDT 2015 --  https://instagram.com/p/61gUZZEYEJ/ 
Tue Aug 25 07:40:48 PDT 2015 --  #TeamSawi
Tue Aug 25 02:31:04 PDT 2015 --  Don't take mirrors seriously, your true reflection is in your heart. #chubby #piggy #sexy #happy… https://instagram.com/p/6zShy9kYFs/ 
Tue Aug 25 02:26:30 PDT 2015 --  Don't take mirrors seriously, you true reflection is in your heart. BEFORE & AFTER??? HAHAHA! https://instagram.com/p/6zSAWykYFH/ 
Sun Aug 23 02:44:35 PDT 2015 --  But all I really want is to hold you tight.. treat you right
Mon Aug 24 23:13:23 PDT 2015 --  Our willingness to wait reveals the value we place on someone we're waiting for. #WAITING https://instagram.com/p/6y755NEYOz/ 
Mon Aug 24 15:04:54 PDT 2015 --  I will never get tired of worship and giving You praise. 🏻 Good morning.
Mon Aug 24 15:20:11 PDT 2015 --  Never give up on something you really want. It's difficult to wait but worse to regret.
Sun Aug 23 15:20:13 PDT 2015 --  pic.twitter.com/JeRecJRmr4
Sun Aug 23 16:04:29 PDT 2015 --  Lord, thank You for waking me up today. I am healthy. I am blessed. I love You. Amen.
Sun Aug 23 09:56:24 PDT 2015 --  I can't move on. #Hyatt #CityOfDreams #Manila pic.twitter.com/EdUfJXOuVF
Sun Aug 23 07:55:37 PDT 2015 --  The best feeling in the world is knowing that you actually mean something to someone.
Sat Aug 22 19:45:46 PDT 2015 --  There's no need to rush. If something's meant to be, it will happen. In the right time, with the right person, for the best reason
Sun Aug 23 04:59:06 PDT 2015 --  Wag mo hintayin, wag mo hanapin. Ang pag-ibig darating yan sa tamang panahon at kung kailan mo hindi inaasahan
Sun Aug 23 04:46:57 PDT 2015 --  You don't have to rush something you want to last forever. #ForeverExists
Tue Aug 18 23:11:46 PDT 2015 --  A wise woman admits her limits. #blackandwhite https://instagram.com/p/6je85YEYGh/ 
Tue Aug 18 22:59:45 PDT 2015 --  Life is a beautiful mess.
Tue Aug 18 05:53:54 PDT 2015 --  Your body is a reflection of your lifestyle. #healthyliving #healthylifestyle #workout #gettingfit… https://instagram.com/p/6hoLOVkYKh/ 
Mon Aug 17 16:36:36 PDT 2015 --  https://instagram.com/p/6gM7s8kYMr/ 
Mon Aug 17 04:29:39 PDT 2015 --  Hahahahahahahahahaha! *laughs really hard* Sorry, can't help it. LOL https://instagram.com/p/6e5vZpkYNv/ 
Fri Aug 14 21:11:29 PDT 2015 --  The only thing harder than walking away is not looking back. Hardest is if no one chase you, so keep… https://instagram.com/p/6Y-AZ4EYON/ 
