Wed Aug 26 11:34:03 PDT 2015 --  #blackops3beta have 3 codes for xbox one anybody want them
Tue Aug 25 09:13:13 PDT 2015 --  For you, yes - a mere $500. For everyone else, it's $99.99 @Krighton_ @NZXT Keep it
Wed Aug 19 14:00:54 PDT 2015 --  does anyome need a black ops 3 beta code for ps4? RT and follow me ima just chose 2 random people
Tue Aug 18 16:08:06 PDT 2015 --  Official PS4 and Xbox One Giveaway: FAV and RT this post to enter! (Must Be Following Me) Winner announced next week! pic.twitter.com/HafXTc7PLR
Mon Aug 17 08:35:27 PDT 2015 --  Are you mad ?
Thu Aug 13 13:42:03 PDT 2015 --  Retweet for a chance to win a closed beta code! Must follow us! Good luck! pic.twitter.com/VK0e0MYzOR
Sat Aug 08 14:38:07 PDT 2015 --  We are going to shoutout 5 random gamers that give @elitegamesnetwk a follow! Please favorite this when done!
Tue Aug 04 12:45:57 PDT 2015 --  It was an impressive half for #FCBayern! What are your impressions of #FCBACM so far? #AudiCup2015 pic.twitter.com/PrSqWcofFe
Fri Jul 17 12:05:57 PDT 2015 --  In celebration of a 1M twitter follower benchmark, Here's the Ultimate Giveaway! #OpTic1Million RT and Follow! pic.twitter.com/LrfDl8YoO5
Tue Jul 07 13:21:38 PDT 2015 --  RT for a chance to win a #CovertForcesSweepstakes controller. Rules: http://xbx.lv/1eDi5PH  #sweepstakes https://amp.twimg.com/v/586c243b-452f-4721-af59-17a19af31da1 …
Wed Jul 01 15:39:12 PDT 2015 --  I care about our Right to Repair, and I want New York to pass the first Fair Repair bill in the nation: http://newyork.digitalrighttorepair.org/?source=twitter& …
Mon Jun 29 16:41:20 PDT 2015 --  And here's a good example of biased coverage. Ali-A and TMartin will NEVER say a CoD game is lacking. NEVER.
Mon Jun 15 19:31:40 PDT 2015 --  Competitive Call of Duty Opinion Poll: RT if you would like #CoDeSports on Xbox Fav if you would like #CoDeSports on PlayStation
Mon Jun 15 19:16:26 PDT 2015 --  With psn always being down bop3 wont be any fun #E32015
Sat Jun 06 04:32:37 PDT 2015 --  I predict Juventus will win the 2015 #UCLfinal #JuveToWin http://bit.ly/1HPbYza 
Sun Nov 30 18:37:11 PST 2014 --  The optic choke is about to be real @OpTicGaming
Sun Nov 30 16:56:51 PST 2014 --  RT for OpTic
Fri Nov 21 06:58:11 PST 2014 --  Anybody want an invite to buy the one plus one #oneplusone #oneplusoneinvite
Tue Nov 11 11:00:25 PST 2014 --  Want to win a copy of @Halo #MCC & a SCUF Controller? We're choosing 3 winners & all you have to do is #RT to enter! pic.twitter.com/buHyXuiDa5
Thu Nov 06 09:49:22 PST 2014 --  #TheCrewBeta just got an extra beta key for ps4 anybody want it dm me
Thu Nov 06 09:42:01 PST 2014 --  Somebody give me a spare ps4 beta key for the crew #TheCrewBeta
Thu Nov 06 07:56:04 PST 2014 --  Anyone have a code for the ps4 to spare will follow #TheCrewBeta #TheCrewGame
Tue Nov 04 10:36:59 PST 2014 --  Anyone have advance warfare on ps4 and wanna play add me on psn jcxstussy @CODReTweeters @CODReTweeters @ShawnAbner @PSNRetweets
Tue Nov 04 10:34:05 PST 2014 --  Anyone have advance warfare on ps4 and wanna play add me psn jcxstussy
Sun Nov 02 16:33:17 PST 2014 --  What's with everyone playing tdm #AdvancedWarfare
Tue Oct 28 15:30:06 PDT 2014 --  its time to get rid of the stupid ps4 and get an xbox one #PSNDown #psndownagain
Wed Oct 15 05:34:22 PDT 2014 --  Anybody have a ps plus trial @ShawnAbner
Fri Oct 10 18:27:06 PDT 2014 --  We're giving away a @ScufGaming controller and a copy of @CallofDuty: Advanced Warfare. RT this and follow SCUF. pic.twitter.com/tRU8aUS19M
Fri Oct 10 11:03:53 PDT 2014 --  Just cancelled AC Unity @Ubisoft fuck you #PS4NoParity
Tue Sep 09 13:40:57 PDT 2014 --  Does anybody know how the playstation exclusive content work on destiny
Tue Sep 09 06:07:59 PDT 2014 --  Anyone have a playstation plus trial I can have @PSUdotcom @CODReTweeters @ShawnAbner
Fri Sep 05 16:35:39 PDT 2014 --  Ask me a question | http://ask.fm/javierC1994 
Tue Aug 26 12:59:14 PDT 2014 --  Who plays PC and wants a beta code for the crew @CODReTweeters @ShawnAbner
Thu Jul 31 14:04:33 PDT 2014 --  You can win a pair of Red Octobers from @ComplexMag http://contests.complex.com/complexmillion  #complexmillion
