Tue Aug 18 18:11:13 PDT 2015 --  No esperes los buenos momentos para ser feliz, sé feliz y los buenos momentos vendrán.
Tue Aug 18 18:10:49 PDT 2015 --  No cuentes cosas tuyas a los demás, a la hora de hacer daño la gente resulta tener buena memoria.Tu mejor amigo hoy maňana es enemigo
Tue Aug 18 18:10:32 PDT 2015 --  Lee la hermosa carta que escribió Einstein para su hija sobre el amor --> http://www.marielatv.com/?p=26923  pic.twitter.com/xqeNASJR8L
Tue Aug 18 18:07:02 PDT 2015 --  La gente que no sabe es la que más habla; porque claro, una de las cosas que no sabe es callarse.(Toto)
Tue Aug 18 17:59:28 PDT 2015 --  Siempre te juzgan, pero no te conocen.
Sat Aug 15 15:17:27 PDT 2015 --  Comprende que la visión del mundo no es la de conquistar, si no dejar que lo conquiste @jhoffre1993 pic.twitter.com/GAXaSpuGtL
Tue Jul 07 09:10:45 PDT 2015 --  Francisco: Hermanos, tengan los sentimientos de Jesús, sean un testimonio de comunión fraterna que se vuelve resplandeciente
Tue Jul 07 09:08:50 PDT 2015 --  . @Pontifex_es: la propuesta de Jesús es concreta: andá y hacé lo mismo (parábola del buen samaritano) #ParqueBicentenario #ElPapaEcuavisaYyo
Tue Jul 07 09:05:33 PDT 2015 --  El papa incluye temas de poder, igualdad y pobreza en su sermón en la segunda Santa Misa en #Ecuador. #PapaEnAmerica pic.twitter.com/7UhjRQpPny
Mon Jul 06 11:21:49 PDT 2015 --  ''Quiero de todo menos perderte.''
Mon Jul 06 10:58:18 PDT 2015 --  #FranciscoenEcuador: "El mejor vino está por venir. Tené paciencia, tené esperanza. El mejor vino está por venir"
Mon Jul 06 10:58:36 PDT 2015 --  "Esta por venir el tiempo de disfrutar de lo cotidiano" #PapaFranciscoEnEcuador #ParqueSamanes @Pontifex_es
Mon Jul 06 10:59:28 PDT 2015 --  "El mejor de los vinos está por venir.. está en la Esperanza" #PapaFranciscoEnEcuador #ParqueSamanes @Pontifex_es
Sun Mar 08 17:19:57 PDT 2015 --  #clasicodelastillero SI JUGAR SOLO FUERA PATIAR A DONDE LES DE LA GANA TODOS FUERAMOS JUGADORES PROFECIONALES (ASCO DE PROFECIONALES)
Thu Feb 05 16:49:13 PST 2015 --  El amor verdadero hace milagros, porque el mismo es ya el mayor milagro. pic.twitter.com/txrZXrJxEn
Mon Sep 15 23:19:34 PDT 2014 --  Río Paztaza http://instagram.com/p/s_v9JzupfP/ 
Sat Sep 13 04:17:58 PDT 2014 --  :D pic.twitter.com/Xfp9309Nw0
