Wed Aug 26 01:54:54 PDT 2015 --  Focus on your goals, girls. These boys ain't going nowhere. ¯\_(ツ)_/¯
Mon Aug 24 10:11:49 PDT 2015 --  I forgive people, but that does not mean I trust them. I forgive them for me, so I can let go and move on with my life.
Mon Aug 24 10:18:53 PDT 2015 --  #NoMakeUp #NoEdits #ZeroFilter pic.twitter.com/vlac3audxp
Mon Aug 24 07:16:16 PDT 2015 --  Amazing things happen when you distance yourself from negativity.
Sat Aug 22 12:46:11 PDT 2015 --  I broke my rules for you.
Fri Aug 21 06:21:45 PDT 2015 --  Lunch meeting with the Tribunal at Adlers. Bon appetit! pic.twitter.com/zZqNVVGxN3
Fri Aug 21 00:13:29 PDT 2015 --  But these shorts though pic.twitter.com/uhi9zfCpmE
Fri Aug 21 00:10:43 PDT 2015 --  Summer where art thou? pic.twitter.com/QHMB4YLwFm
Fri Aug 21 00:10:15 PDT 2015 --  #OOTD pic.twitter.com/pMfm4Dquyl
Fri Aug 21 00:09:50 PDT 2015 --  #OOTD pic.twitter.com/Oscr1vSI7B
Fri Aug 21 00:08:54 PDT 2015 --  #AboutAWeekAgo #LawFacultyFestival It was hella turnt. Chillin wit the turnup gang #FacFest #FacultyFestival #TuksLaw pic.twitter.com/OPFa7FYMEK
Fri Aug 21 00:07:55 PDT 2015 --  This basically sums it up. https://twitter.com/UCTJustKidding/status/633550024522223616 …
Tue Aug 18 06:56:07 PDT 2015 --  Nel says that if,hypothetically,all facts in a case point 2murder,then culp conviction is wrong app of law #Pistorius pic.twitter.com/e7MJZSWMe7
Tue Aug 18 07:15:25 PDT 2015 --  #Dlakude It is indeed an unfortunate desperation, when the public is misled for political expediency. #NkandlaDebate
Tue Aug 18 07:14:07 PDT 2015 --  #Dlakude As MPs we were all disappointed, shocked, embarrassed and pained when the reality of what is at Nkandla hits home. #Nkandla
Tue Aug 18 07:20:36 PDT 2015 --  Dont become the person that hurt you.
Sun Aug 16 12:02:20 PDT 2015 --  "We were eating, I was thinking about Patricia. I kept thinking about Patricia.." Lmao #DateMyFamily
Sun Aug 16 11:52:28 PDT 2015 --  Imagine your mom finds out you drink on national TV #DateMyFamily pic.twitter.com/zp80BBBgnL
Sun Aug 16 11:52:00 PDT 2015 --  lol this guy and his sexist innuendos though #DateMyFamily
Sun Aug 16 11:48:44 PDT 2015 --  She slipped & said Bianca drank alcohol. That time mommy didn't know everyone on the table felt like #DateMyFamily pic.twitter.com/XLSRkIz8CA
Sun Aug 16 11:50:31 PDT 2015 --  "This guy is Zulu for real.." lmao #DateMyFamily
Wed Aug 12 18:16:00 PDT 2015 --  Be like a star: pretty to look at but hard to catch.
Thu Aug 13 15:20:10 PDT 2015 --  Focus on your goals, girls. These boys ain't going nowhere.
Thu Aug 13 07:02:33 PDT 2015 --  Being honest saves a lifetime of bullshit.
Fri Aug 14 15:00:14 PDT 2015 --  #Virgo are mistaken for a flirt when they are friendly and shy when they are quiet. People just can’t stop judging them in a wrong way.
Thu Aug 13 11:36:03 PDT 2015 --  #Virgo will fail your lame personality like a teacher fails students. F!
Thu Aug 13 11:38:10 PDT 2015 --  It’s rare to find a boostful #Virgo. These people are shy about their accomplishments.
Fri Aug 07 03:35:14 PDT 2015 --  I'm all for some playful hyperbole for the sake of a dope rhyme, but a lot of rappers these days straight up lying for trash lines.
Tue Aug 11 13:10:59 PDT 2015 --  What percentage of emcees in South Africa can support themselves off rapping? Maybe .0001%. Its easier to become a professional footballer.
Tue Aug 11 13:57:49 PDT 2015 --  @Akio_DJ_ID if you're making money period, no matter which industry - fear SARS more than Allah, God, Buddha...
Wed Aug 12 02:34:18 PDT 2015 --  Nazo ke RT @akaworldwide At the end of the day, there are people doing their utmost to damage my reputation. Ok yes, I did smack Nyovest.
Sun Aug 09 14:50:52 PDT 2015 --  do u ever just wish u could mute some people
Wed Jul 23 19:35:00 PDT 2014 --  Bitches give their numbers to niggas and ignore em .. Thats why niggas give you babies and ignore you
Thu Aug 06 12:24:05 PDT 2015 --  Mlambo-Ngcuka: In each one of us is a woman of substance #WOS2015
Sat Aug 08 15:01:04 PDT 2015 --  A #virgo will not stay where they are not needed.
Sat Aug 08 13:14:53 PDT 2015 --  Once you get your feelings involved, it gets real.
Sat Aug 08 13:13:57 PDT 2015 --  To forgive is to set a prisoner free and to realise that prisoner was you.
Sat Aug 08 05:13:35 PDT 2015 --  Thank you @NLegal_Global for the make-up kits in celebration of Women's Month. With love from The University of Pretoria :)
