Wed Jul 22 16:51:26 PDT 2015 --  #blessed https://twitter.com/nymag/status/624002642126204928 …
Sun Mar 29 08:04:20 PDT 2015 --  Got to play JESUS today at our church play and it was an awesome experience #UDIGG pic.twitter.com/7ZcZzf8zEr
Tue Mar 03 10:28:26 PST 2015 --  “ @cunn1780: @SportsSturm Bob any chance you do some soccer talk soon on the impending MLS strike?” No
Sun Feb 01 00:00:24 PST 2015 --  Tony dungy is embarrassingly stupid. Pats -1 and Brady over 36.5 for those who care
Thu Jan 22 13:46:16 PST 2015 --  "Some guys like old balls." - Tom Brady https://vine.co/v/OIdLY1zKjvX 
Thu Jan 08 19:44:40 PST 2015 --  Oh Kari, come on
Sun Jan 04 08:47:24 PST 2015 --  “ @AdamSchefter: Raiders requested permission to interview Cowboys passing game coordinator Scott Linehan, per source.” You cannot have this
Wed Dec 24 13:16:42 PST 2014 --  Dear Santa, I know it's late but I've been a very good boy and my list is short, so...how bout it, Big Guy. pic.twitter.com/QMnmFT3ZOc
Thu Oct 09 20:44:37 PDT 2014 --  Thursday Night Football FINAL: Union: 33 Confederacy: 28 pic.twitter.com/Cj8O4MmQ8R
Sun Sep 14 18:37:20 PDT 2014 --  Monterey melt, large fries, large onion rings, braums burger, 2 milk shakes, 3 bags of chips, brisket sandwich, tuna SW #thingswolfatetoday
Thu Sep 11 14:50:15 PDT 2014 --  Saw this odd business combo on White Rock Trail today. "Excuse me, are you SURE this is decaf?" pic.twitter.com/Tjl0gZxuOt
Wed Aug 13 12:00:39 PDT 2014 --  Who comes through more in the clutch? RT For Honey BBQ Chicken Strip Sandwich Fav for Lebron pic.twitter.com/1fZGERvOam
Mon Jul 14 18:44:23 PDT 2014 --  The mlb should've brought Colby Lewis in to pitch tonight
Tue Jul 01 14:51:34 PDT 2014 --  Will people stop tweeting those hideous new OU jerseys?
Fri Jun 20 17:56:46 PDT 2014 --  retreet if u strong independent indian woman who dont need no man
Thu May 01 20:16:19 PDT 2014 --  Sugers at 10 on a Thursday is everything I thought it could be
Thu Mar 20 19:28:28 PDT 2014 --  How is it possible to be this bad at Las Vegas
Tue Feb 04 20:31:23 PST 2014 --  “ @TC1310: Who do y'all think will be winners and losers this Signing Day?” ? of the day - Did Donovan Mcnabb hack TCs Twitter? ur thoughts?
Mon Feb 03 14:37:38 PST 2014 --  There's a 60 yard dick on ULs football field #BobbysBack pic.twitter.com/ckgGZCxkZV
Sun Feb 02 19:12:47 PST 2014 --  @SportsSturm this about sums it up pic.twitter.com/07dlhiC2SB
Wed Jan 29 10:55:08 PST 2014 --  “ @zach_barnett: Texas AD Steve Patterson told @kbohls he wants Texas to play a football game in Mexico City.” Surely you cant be serious
Sun Jan 12 20:18:49 PST 2014 --  why don't u marry him “ @UT_MackBrown: Congrats to my friend Matthew Mc on his Golden Globe. Great movie. He is the Best. Love U my friend”
Mon Jan 06 21:04:39 PST 2014 --  What an incredible game! I didn't think the Nets would hold off the Hawks, but they did, thanks in large part to Joe Johnson's 23 pts!
Sun Jan 05 13:30:23 PST 2014 --  I feel like I need a golden ticket to get to listen to Shannon Sharpe speak today
Thu Jan 02 21:33:56 PST 2014 --  Oklahoma be like: "Who wants some of Debo" pic.twitter.com/JIBQKdaFqS
Thu Jan 02 19:01:11 PST 2014 --  Is this real life?
Thu Jan 02 14:31:50 PST 2014 --  Suicide. RT @FRANK151: If "twerk" and "selfie" were the words of 2013, what's it going to be this year?
Sun Dec 15 15:54:03 PST 2013 --  Lake highlands whap pic.twitter.com/Ol989Q6OW6
Sun Dec 15 13:18:09 PST 2013 --  pic.twitter.com/wpVlp58Duw
Fri Dec 13 18:53:39 PST 2013 --  Texas wanted Saban to play safety.
Mon Dec 09 19:07:42 PST 2013 --  Can our offensive players play both ways?
Mon Dec 09 18:26:42 PST 2013 --  The cowboys defense is so bad. Just so incredibly bad.
Sat Dec 07 11:55:07 PST 2013 --  Blake bell is the worst qb I have ever seen
Sat Dec 07 11:52:54 PST 2013 --  Is this spot serious?
Sat Sep 28 14:48:53 PDT 2013 --  OU is so fortunate Tommy Rees is somehow the starting QB for Notre Dame
Sat Sep 28 12:28:43 PDT 2013 --  T Boone needs to invest in some new special teams players
Sat Sep 21 20:48:14 PDT 2013 --  Four more years! #mackbrown
Sat Sep 21 20:46:24 PDT 2013 --  Texas is going to the national championship. At least that's what the ginger at boxwood thinks
Sat Sep 14 21:31:19 PDT 2013 --  Biebs looks good with the belt
Sat Sep 14 20:55:34 PDT 2013 --  Mack Brown following a 44-23 loss to Ole Miss: "We'll get all this righted by winning a Big 12 championship."
Sat Sep 14 13:56:55 PDT 2013 --  Possibly the worst call I have ever seen
Sat Sep 14 13:49:57 PDT 2013 --  This Bama game is awesome!
Sat Sep 14 13:01:21 PDT 2013 --  This a&m game is sickening
Sat Sep 14 08:59:48 PDT 2013 --  pic.twitter.com/ZOXZhtmXXK
Sat Sep 07 20:05:35 PDT 2013 --  I'm officially prepared for one of the worst message board meltdowns in the 13-year history of http://Orangebloods.com . Buckled up.
Sat Sep 07 08:46:42 PDT 2013 --  IT'S ANOTHER GREAT WEEKEND FOR FOOTBALL AND MAKE SURE YOU TURN YO CAPS LOCK ON THE TURN UP IS REAL
Sun Sep 01 00:59:07 PDT 2013 --  Spencer why is your head bleeding?
Sat Aug 31 16:45:01 PDT 2013 --  Trevor football is about to break out
Fri Jul 26 13:38:30 PDT 2013 --  Welcome to New Orleans pic.twitter.com/PR1qqlZQZp
Mon Mar 18 15:40:45 PDT 2013 --  “ @ShelbyBarnes21: Black Diamond #gohard http://instagr.am/p/XBAyXIB5KT/ ” I fell at least 5 times on double top
Tue Feb 19 21:39:32 PST 2013 --  Sometimes I eat my own boogers.
Tue Feb 05 17:47:08 PST 2013 --  On average, people fear spiders more than they do death.
