Fri Aug 28 20:21:03 PDT 2015 --  おきて２０分でサイゼリヤに昼飯（笑） 寝癖なおらん
Fri Aug 28 19:53:08 PDT 2015 --  やっとベッドからでれた おはよう あと８分でこんにちは
Fri Aug 28 08:19:07 PDT 2015 --  俺のジバニャンの クリアファイル 目が光るんよ #じゃけどし #現実逃避 pic.twitter.com/uSHcFDgOBf
Fri Aug 28 07:22:57 PDT 2015 --  @kashita_lv 顔がわりい男もモテんで
Fri Aug 28 07:20:55 PDT 2015 --  ねむて けど 課題しよう
Thu Aug 27 08:00:17 PDT 2015 --  課題おわらんたすけて 毎年毎年毎年毎年 なんしょんおれ 学習しろや
Thu Aug 27 07:31:58 PDT 2015 --  明日のバイト一時間ふえた がんばってみよー
Thu Aug 27 06:20:11 PDT 2015 --  日本かった！！！
Thu Aug 27 05:12:52 PDT 2015 --  まってまって バレーおもしろすぎちゃーん
Thu Aug 27 00:32:33 PDT 2015 --  みすった
Thu Aug 27 00:32:14 PDT 2015 --  た
Wed Aug 26 22:28:56 PDT 2015 --  メンディがRising Sun歌っとるけど 下手なんやな（笑）
Wed Aug 26 15:58:48 PDT 2015 --  キャベツのペペペペロンチーノ ペペロンチーノって響きかわいい おはよう
Wed Aug 26 15:50:57 PDT 2015 --  AKBのハロウィンナイト 流行るんかな おはよう
Wed Aug 26 08:21:33 PDT 2015 --  肩いたい ねむたい こしいたい ねるおやすみ
Wed Aug 26 03:51:06 PDT 2015 --  バイト まっすーはおるし はなこもくるし なんなん仕事真面目にできん
Tue Aug 25 18:15:21 PDT 2015 --  @kashita_lv 大丈夫。 三浦春馬とひな相思相愛じゃけん
Tue Aug 25 18:05:10 PDT 2015 --  ストーカーばーすんな三宅たなひ
Tue Aug 25 17:49:53 PDT 2015 --  杉浦灯油なにが男なんかな。 ただの変態にしか見えんよ... ガソリンぶちまけてやろう。
Tue Aug 25 17:40:30 PDT 2015 --  病院なう 服装くそださい となりのばーさん イヤホン音もれ激しいよ
Tue Aug 25 15:52:34 PDT 2015 --  @kashita_lv 俺と全く一緒やがw めっちゃ笑ったんやけど笑笑
Tue Aug 25 09:16:28 PDT 2015 --  寝れへんよ イケナイ太陽聴いてるよ 次は君がくれた夏ながれるよ 寝れねーよ
Tue Aug 25 06:34:14 PDT 2015 --  金ためて 黒子のバスケの 漫画かおっと
Mon Aug 24 09:09:35 PDT 2015 --  暇 そとすずしい ﾐｯｸｽｵﾚうめえ シュークリーム食ってやる
Sat Aug 22 19:16:18 PDT 2015 --  美脚3大美女かわいい！ 【本田翼】 【有村架純】 【新川優愛】 好きな人いたらリツイート pic.twitter.com/NqifsTnYpL
Mon Aug 24 04:53:37 PDT 2015 --  ８月２９日土曜日の ほんこわ絶対みよ！！！！！！！！
Mon Aug 24 04:33:06 PDT 2015 --  明日補習終わったら すき家いこ
Mon Aug 24 03:04:14 PDT 2015 --  あーひま 晩飯作ろ
Mon Aug 24 01:05:56 PDT 2015 --  なんでおれは 二時間も寝とったんじゃろ まあいっか
Sun Aug 23 15:57:21 PDT 2015 --  リア充に興味はねえ
Sun Aug 23 07:14:56 PDT 2015 --  俺の体重で くたばるとは まだまだよのう。
Sun Aug 23 07:12:07 PDT 2015 --  後ろに一歩下がる バキッ スマホカバー死す
Sun Aug 23 06:34:41 PDT 2015 --  すぎうらせんぱいの身長伸びたい欲が溢れてる pic.twitter.com/c3be14SmB2
Sun Aug 23 04:11:21 PDT 2015 --  身長のびろ 身長のびろ 身長のびろ 身長のびろ 身長のびろ 身長のびろ 身長のびろ 身長のびろ 身長のびろ 身長のびろ 身長のびろ 身長のびろ 身長のびろ 身長のびろ 身長のびろ 身長のびろ 身長のびろ。 身長が伸びて欲しい人全力RT
Sun Aug 23 01:48:03 PDT 2015 --  身長のびろ 身長のびろ 身長のびろ 身長のびろ 身長のびろ 身長のびろ 身長のびろ 身長のびろ 身長のびろ 身長のびろ 身長のびろ 身長のびろ 身長のびろ 身長のびろ 身長のびろ 身長のびろ 身長のびろ。 身長が伸びて欲しい人全力RT
Sun Aug 23 03:44:21 PDT 2015 --  ５甘がちきもちわるーなる ５辛のやつも きもちわるーなっとる（笑）（笑）
Sun Aug 23 03:36:10 PDT 2015 --  CoCo壱なう ５甘 あっっっっまっっっ ５辛 かっっっっっらっっっ
Sat Aug 22 23:57:32 PDT 2015 --  すぎうらゆうと こわいてれび目つむってみとんやて それみとるっていわんよな あほなんかな
Sat Aug 22 23:46:31 PDT 2015 --  浦安で夕方からテニス（たぶん） まだ二人しかおらん どーしよう
Sat Aug 22 17:44:43 PDT 2015 --  寝起きにスマホしたら あぶねえ 今日だけで２回顔に落ちてきた
Sat Aug 22 08:27:35 PDT 2015 --  はいはいおせえおせえ なんもかんもおせえ くたばれ速度制限
