Fri Aug 28 19:37:10 PDT 2015 --  Wow! Sandi Patty plus her family! A treat for all of us! #WOFLovedTour pic.twitter.com/88yCHKXF1X
Wed Aug 26 13:01:06 PDT 2015 --  "Faith means obeying God even when all my questions aren't answered." - @ReneeSwope pic.twitter.com/QnV0rPLHPc
Wed Aug 26 05:00:40 PDT 2015 --  When Your To-Do List Makes You Hyperventilate {Encouragement for Today} - http://eepurl.com/bwvr8D 
Mon Aug 24 06:31:45 PDT 2015 --  Such an awesome reminder from @sheilawalsh as we begin another week. #weeklymorsel #5MinWithJesus https://instagram.com/p/6xJRqPAVMZ/ 
Thu Aug 13 07:05:55 PDT 2015 --  All you who wait for the Lord, be strong and let your heart take courage. - Ps 31:24 https://www.biblegateway.com/passage/?search=Psalm%252031&version=CEB … @BibleGateway
Thu Aug 13 05:46:01 PDT 2015 --  If we want to know the truth of the Father, we have to know Jesus first. | @LeahDiPascal #First5 pic.twitter.com/qrF3Jnbd6U
Thu Aug 13 05:15:03 PDT 2015 --  "[LET GO] and know that I am God." –Psalm 46:10 *** Download #FREE phone lock screens, exclusive videos, and an eB… pic.twitter.com/NG5AxOVifC
Thu Aug 13 05:17:11 PDT 2015 --  Happy Birthday, Vale! pic.twitter.com/PHWXqmkhmc
Thu Aug 13 05:13:21 PDT 2015 --  Letting someone manipulate the heck out of you isn't loving. True love is in another person's best interest. Manipulation poisons affection.
Wed Aug 12 21:06:56 PDT 2015 --  Love this Charlene!! http://fb.me/43BSbS7k2 
Wed Aug 12 21:00:08 PDT 2015 --  "Whether you win or lose, whether you have a good day or bad day, God is with you; He loves you." @luciswindoll
Wed Aug 12 17:02:04 PDT 2015 --  Let us run with endurance the race God has set before us. - Hebrew 12:1b pic.twitter.com/elP1Fowm5H
Wed Aug 12 14:10:01 PDT 2015 --  I vote for @[ENTER NONPROFIT’S HANDLE] to #UpgradeYourWorld #Vote http://windows.com/upgradeyourworld …
Wed Aug 12 14:02:02 PDT 2015 --  Cancel your plans for August 23. #FearTWD http://twitter.com/maglenntwd/status/631513823992745984 …
Wed Aug 12 14:00:07 PDT 2015 --  Thank you for being an elephant. https://goo.gl/6yZpMC  #WorldElephantDay pic.twitter.com/CfXHlmBDeQ
Wed Aug 12 12:45:19 PDT 2015 --  Less than two weeks until @FearTWD - get pumped. http://twitter.com/rinaraye/status/631519681963102208 …
Mon Sep 29 10:53:28 PDT 2014 --  #NationalCoffeeDaycoffee and more coffee
Mon Mar 03 20:57:32 PST 2014 --  Hey whats up
