Sun Aug 23 09:02:25 PDT 2015 --  Selena Gomez Shows Her Breasts In A Sheer Top With No Bra - http://selfiesgallery.org/r/3rekw 
Sat Aug 22 15:54:03 PDT 2015 --  Morning https://twitter.com/ukissSH/status/634895054545403904 …
Fri Aug 21 20:06:28 PDT 2015 --  最高得点298点 UKISSフンです。w pic.twitter.com/miCm47ZItf
Sat Aug 22 15:34:43 PDT 2015 --  If Eli was a girl and had to date somebody from the group, he would choose Kibum simply because he's rich
Wed Aug 19 06:46:56 PDT 2015 --  今日ライブ中にスヒョン兄ちゃんのサインCDもらった！ pic.twitter.com/FSSfKFkHVp
Wed Aug 19 07:20:35 PDT 2015 --  Awesome! https://twitter.com/omarmaryam553/status/634006318345535488 …
Wed Aug 19 06:19:29 PDT 2015 --  우리 수현이형 솔로앨범이 나왔습니다! 노래도 엄청 좋아요!! 형 멘트센스 최고b!! スヒョンさん!!ありがとうございます! すきすきだいすき みなさん 今日来てくれて本当にありがとうございます pic.twitter.com/E1yhrjLLSA
Wed Aug 19 06:31:22 PDT 2015 --  TOKYOのライブ最高だった！SO FUN!! KISSme ARIGATOU! 2日間とても楽しかったね！いつもありがとうございます〜つぎは札幌ですね！See you in… https://instagram.com/p/6kRQltqK4l/ 
Wed Aug 19 06:06:09 PDT 2015 --  今日も 楽しかった~~ そして ukissの リダ スヒョンさんの ソロ おめでとうございます! おうえんしてくださいね! pic.twitter.com/QsZ2RvTlOF
Tue Aug 18 05:50:26 PDT 2015 --  【拡散希望】 交換してください！ グミステッカー 譲→キソプ 求→ケビン #UKISSJAPANLIVETOUR pic.twitter.com/Fm9JXo1hkf
Tue Aug 18 23:04:29 PDT 2015 --  150816 Stay Gold #UKISSJAPANLIVETOUR2015 #Action 初めの方で口開けてぴょんぴょん跳ぶけびんちゃんがツボ pic.twitter.com/N7iULveYLb
Wed Mar 11 02:30:25 PDT 2015 --  고마워요♡ 정말 많은 분들이 생일축하해주셨어요ㅠㅠ 엄마 낳아줘서고마워요 아들이 더 효도할게요...♡ pic.twitter.com/WaKla6zHGI
Wed Mar 18 06:05:32 PDT 2015 --  Actionリリース日、皆さん応援ありがとうございました!!おかげさまで、現在オリコンデイリーチャート2位です♪引き続きよろしくお願いします!! http://fc.u-kiss.jp/blog/  pic.twitter.com/qBDQ7bqxLF
Wed Mar 18 06:00:19 PDT 2015 --  すごい！！！アルバムデイリー2位ありがとうございます〜〜〜（＾Ｏ＾） pic.twitter.com/G32tQyYMqO
Tue Mar 31 04:54:46 PDT 2015 --  유키스 남미투어 중 한 곳인! 볼리비아 공연 포스터가 공개되었습니다~ 키스미 여러분들의 많은 응원 부탁드려요 ♥︎ #UKISS #유키스 #Bolivia pic.twitter.com/QreuMC6NEp
Thu Apr 02 07:44:47 PDT 2015 --  " @ukisskorea: 늦은시간까지 #영스트리트 를 지켜준 키스미들 고생많았어요~♥︎ 조심히 들어가고 #훈비네김 맛있게 먹어용!! #유키스 #수현 #훈 pic.twitter.com/saiEaEdEq9" 어? 저기 팬중에 남자있다 누구야?
Wed Aug 19 03:04:58 PDT 2015 --  Cool https://twitter.com/ukissSH/status/583641231634210816 …
Sun Apr 05 01:01:40 PDT 2015 --  내사랑♡ 겸둥이 pic.twitter.com/VEwnWpLVrn
Fri Apr 10 22:24:47 PDT 2015 --  나드디어 벚꽃봤지렁~~~그것도 우리조카랑♡ pic.twitter.com/CjowMHjqfe
