Sat Aug 29 05:00:22 PDT 2015 --  YAHOOOOO!!TUMAAS NANAMAN SA WW TRENDS!!!SO POWERFUL ALDUBNATION! #ALDUBMaiDenHeaven
Sat Aug 29 04:59:58 PDT 2015 --  UPDATE ONE HUNDRED THOUSAND PLUS NA LANG THREE MILLION NA, BEAST MODE NA #ALDUBMaiDenHeaven
Sat Aug 29 04:59:53 PDT 2015 --  TRENDING PARIN SA PUSO NG MGA ALDUBNATION ANG ALDUB!! #ALDUBMaiDenHeaven
Sat Aug 29 04:59:21 PDT 2015 --  TRENDING PARIN WORLDWIDE!GRABE NA ITO! #ALDUBMaiDenHeaven
Sat Aug 29 04:58:46 PDT 2015 --  BOOOOOOM!!! #ALDUBMaiDenHeaven https://twitter.com/AldubQuezon/status/637594880869466112 …
Sat Aug 29 04:58:43 PDT 2015 --  Good evening! #ALDUBMaiDenHeaven
Sat Aug 29 04:58:26 PDT 2015 --  Guys magmistulang ibon na tayong lahat !! Maabot lang natin ang pinakamimithing 3M ! Kaya ba ? Hahaha #ALDUBMaiDenHeaven
Sat Aug 29 04:55:59 PDT 2015 --  Shoutout kay @mainesadmirer Follow nyo po sya #ALDUBMaiDenHeaven
Sat Aug 29 04:57:45 PDT 2015 --  I HAVE A FEELING.BABALIK TO SA TL.HAHAHA! #ALDUBMaiDenHeaven
Sat Aug 29 04:57:21 PDT 2015 --  THANK YOU PO EAT BULAGA SA PAGBIBIGAY NG SAYA ARAW-ARAW!! #ALDUBMaiDenHeaven
Sat Aug 29 04:57:20 PDT 2015 --  Di mo pa man sinasabi kung anong address mo, alam ko na kung saan ka nakatira. Dito sa puso ko. #ALDUBMaiDenHeaven
Sat Aug 29 03:49:31 PDT 2015 --  @maiden16_pam @aldenrichards02 @MaineAlden16 sigawan galore! pic.twitter.com/gX1qxSSOTT
Sat Aug 29 04:57:13 PDT 2015 --  ALDUB LOVE! #ALDUBMaiDenHeaven https://twitter.com/KGFikawna/status/637594521287528449 …
Sat Aug 29 04:56:32 PDT 2015 --  #ALDUBMaiDenHeaven https://twitter.com/AlDubPampanga/status/637594043350802432 …
Sat Aug 29 04:56:18 PDT 2015 --  For more updates kay Maine please follow @mainesadmirer #ALDUBMaiDenHeaven
Sat Aug 29 04:56:17 PDT 2015 --  #ALDUBMaiDenHeaven https://twitter.com/noivcalderon/status/637586885087330304 …
Sat Aug 29 04:56:15 PDT 2015 --  PABALIKIN NATIN SA TL!!PUSH NA THIS ALDUBNATION!! #ALDUBMaiDenHeaven
