Thu Aug 27 16:50:34 PDT 2015 --  4 new 5sos songs.. #JetBackHeart #ShesKindaHotEP pic.twitter.com/XBwDgyLPb7
Mon Aug 24 14:38:53 PDT 2015 --  WE'RE THE KINGS AND THE QUEENS OF THE NEW BROKEN SCENE #ShesKindaHotVMA https://vine.co/v/ejqJX2BMlIg 
Wed Aug 26 20:32:36 PDT 2015 --  5 Seconds Of Summer Talk Sophomore Album https://m.youtube.com/watch?v=m5dNyEjdrY4 … #ShesKindaHotVMA
Wed Aug 26 23:08:27 PDT 2015 --  @UpdatesWith5SOS #ShesKindaHotVMA pic.twitter.com/IzNXgTbtai
Wed Aug 26 15:42:53 PDT 2015 --  HIS SMILE AT THE END #ShesKindaHotVMA https://vine.co/v/e1Dd6lVtTtd 
Mon Aug 24 05:38:44 PDT 2015 --  When 5sos realise we are 300,000 votes in the lead #ShesKindaHotVMA pic.twitter.com/7cFh8odDz6
Fri Aug 21 08:49:53 PDT 2015 --  netflix and chill pic.twitter.com/gSeXnDeXLu
Sun Aug 23 20:36:23 PDT 2015 --  MICHAEL FANGIRLED WHEN NICK JONAS TOUCHED HIS HAND LOL OK ME #ShesKindaHotVMA https://vine.co/v/OL7q3AVExDa 
Sun Aug 23 21:11:24 PDT 2015 --  11:11 @Calum5SOS calum pic.twitter.com/5OrgV7xzSu
Fri Aug 21 18:20:01 PDT 2015 --  "anxiety isn't that bad" yes it is pic.twitter.com/EBlneQtK7W
Sun Aug 23 21:00:03 PDT 2015 --  stress level: princess Mia driving the stang pic.twitter.com/bUEaF2v9LS
Sun Aug 23 21:00:14 PDT 2015 --  GAAAAAA https://vine.co/v/ep0D3VxYDOn 
Sun Aug 23 21:00:45 PDT 2015 --  here's the picture and story of how our insider Lucy met the boys today! -Celena #ShesKindaHotVMA pic.twitter.com/hhyezPN58x
Sun Aug 23 21:01:08 PDT 2015 --  CUDDDDDLE TIME https://vine.co/v/eD7K9DTJl77 
Sun Aug 23 21:01:30 PDT 2015 --  It's a new voting day, vote off ALL your accounts right now and let's get to that 300k lead! #ShesKindaHotVMA
Sun Aug 23 20:56:00 PDT 2015 --  NO RESPECT NO CHILL https://vine.co/v/eDpXOHBP1vg 
