Fri Aug 28 06:53:45 PDT 2015 --  
Wed Aug 26 22:53:00 PDT 2015 --  Yaya Dub wag maharot, nanay at tatay mo nanunuod. Behave ka. #HappyALDUBWeeksary
Thu Aug 27 02:28:30 PDT 2015 --  We are doing our best to make you guys laugh and kilig every single day! Kalma lang ha, wag tayo magmadali. Let's just enjoy the show!
Thu Aug 27 02:28:30 PDT 2015 --  We are doing our best to make you guys laugh and kilig every single day! Kalma lang ha, wag tayo magmadali. Let's just enjoy the show!
Fri Aug 28 00:19:13 PDT 2015 --  "Bakit parang feeling ko tumataba ka na?" OMG TOTOO BA? KASI KUNG OO ANG SAYA SAYA
Fri Aug 28 03:20:34 PDT 2015 --  @officialaldub16 From YAYA DUB, to the real MAINE MENDOZA @mainedcm. My 2 own sketch of her. #ALDUBGettingCLOSER pic.twitter.com/e5nVgHNQAq
Fri Aug 28 19:49:55 PDT 2015 --  oo nga ako umiyak din https://twitter.com/AlDubCavite/status/637456947566915584 …
Wed Aug 26 04:42:29 PDT 2015 --  Wala na tlgang tatalo sa dubsmash queen ntin!! Galing! #ALDUBAngLihimNiLOLA pic.twitter.com/TeTxMyX3TX
Wed Aug 26 04:57:43 PDT 2015 --  So it means triplets sila? Sino kaya ang nanay ni yayadub? Abangan! #ALDUBAngLihimNiLOLA pic.twitter.com/uKfyMDTpwI
Tue Aug 25 03:30:57 PDT 2015 --  Yaya Dub: Hi Alden! *pabebe wave* @aldenrichards02 <3 @mainedcm #ALDUBLOVEONTOP pic.twitter.com/gqruGmhj5m
Thu Aug 20 23:42:21 PDT 2015 --  It's amazing how fast things change. Speechless ako sa pagtanggap sakin ng mga tao; hindi pa din ako makapaniwala. Maraming salamat po.
Fri Aug 21 17:41:43 PDT 2015 --  Masama na naman ang pakiramdam ko.. Ano kaya ang mangyayari mamaya? Matutuloy kaya ang kasal o mahihimatay na naman ako? Abangan. Charing.
Fri Aug 21 23:56:59 PDT 2015 --  hindi ka mahihimatay nyan ate @mainedcm AKA yaya dub !!!!!!!!!!! TIWALA LANG https://twitter.com/mainedcm/status/634888142265278464 …
Fri Aug 21 23:30:50 PDT 2015 --  dear @EatBulaga thank you! i was crying and laughing and tumbling with so much joy! YOU GUYS ROCK! #ALDUBAgainstALLODDS
Fri Aug 21 23:38:10 PDT 2015 --  MY FOREVER #AlDubAgainstAllOdds Nakakaiyak ung kanina sarap manood ng #kalyeserye #KiligPaMore pic.twitter.com/ZKfsNItesB
Thu Aug 20 23:48:12 PDT 2015 --  What's meant to be will ALWAYS find its way. Naniniwala pa din ako sa forever nating dalawa, Alden. #ALDUBKeepTheFaith
Thu Aug 20 23:50:38 PDT 2015 --  Listen to this cover of It Will Rain http://www.smule.com/recording/bruno-mars-it-will-rain/32561193_2001164?utm_campaign=share&utm_medium=web&utm_source=twitter … via #Smule #SingKaraoke @BrunoMars
Wed Aug 19 20:28:13 PDT 2015 --  DAHIL #ALDUBisforREAL MAY MGA PESTE NA SUMISIRA DITO. SUNDIN LAMANG ANG MGA PARAAN NA NASA IBABA PARA PUKSAIN SILA. pic.twitter.com/MpuHBBqjC2
Thu Aug 20 04:56:30 PDT 2015 --  Best feeling in the world pic.twitter.com/sFEXcTQcL5
Wed Aug 19 17:30:59 PDT 2015 --  ALDUB o MAIDEN? Follow our twitter account: http://www.twitter.com/AldubNation16  #Aldub http://fb.me/7HDJTHmNx 
Wed Aug 19 19:54:53 PDT 2015 --  dalawa syempre kaylangan https://twitter.com/AldubNation16/status/634160665318563841 …
Tue Aug 18 03:55:25 PDT 2015 --  Duhrizz + Frankie = DuhNkie hahahaha may bago na tayong love team #AlDubYouLola #AlDubYouYayaDub
Mon Aug 17 16:59:22 PDT 2015 --  Good morning mga Dabarkads! #AlDubYou
Mon Aug 17 17:30:49 PDT 2015 --  pic.twitter.com/AjLfUYvdtw
Fri Aug 14 23:46:38 PDT 2015 --  Pati sa puso ko naka puntos ka din! Laban!!! #AlDubForYouIWill
Sun Aug 16 02:06:01 PDT 2015 --  #throwback pic.twitter.com/SoLYO7NrgP
Fri Aug 14 23:22:10 PDT 2015 --  Nakaabot si Alden! One point! #AlDubForYouIWill pic.twitter.com/PBJzu5trFh
Sat Aug 15 02:31:06 PDT 2015 --  Yaya Dub @mainedcm as muse of Ginebra? Team exec batting for her selection http://gmane.ws/1TEA3UR  pic.twitter.com/TESKzHP0uM
Sat Aug 15 02:35:37 PDT 2015 --  Waaahhh Cody Simpson @MYXphilippines
Sat Aug 15 02:37:49 PDT 2015 --  selfie muna bago nuod pic.twitter.com/NUIplZoTpG
Sat Aug 15 02:36:25 PDT 2015 --  yes buti naman
