Sun Aug 23 18:08:38 PDT 2015 --  #feartwd
Sat Aug 22 19:31:18 PDT 2015 --  We may not have it all together, but together we have it all. #family my s https://instagram.com/p/6tY5iYqHCZ0rVHG0-a_afzxuU4-9ke8ZlLA8g0/ …
Thu Aug 20 10:50:27 PDT 2015 --  I'm thinking nap time
Wed Aug 19 08:27:36 PDT 2015 --  Tamales heared up on the comal are the best.... #happybaby #preggocravings #fallhasbegan
Fri Aug 14 12:43:49 PDT 2015 --  Oh @Danielaa_Cano thats cus she white...
Fri Aug 14 08:17:15 PDT 2015 --  When u haven't touched your food and ur already full... eeekkk #preggoprublems #thatsmelltho #sickness
Thu Aug 13 08:47:49 PDT 2015 --  When he feeling it.... omg. #2timesinaday #love #gettingbusy
Wed Aug 05 21:09:25 PDT 2015 --  Wasn't even thinkin 'bout ur ass #betterthingstodo #mylifebeperfectrightnow #illdome #youdoyou
Tue Aug 04 20:53:48 PDT 2015 --  I be eating some weird stuff. #chilaquilesconunhuevoestrellado
Tue Aug 04 10:10:42 PDT 2015 --  When ur just happy cause you can be.... #happy #justbecause #lovinglife
Sat Aug 01 18:16:36 PDT 2015 --  Cuando platicas con la fam. And they agree with u on everything... aawww i love yous tios.... #Contigoniencuenta
Sat Aug 01 18:06:35 PDT 2015 --  Valora lo que tienes, Supera lo que te duele y Lucha por lo que quieres. https://instagram.com/p/53KgwMKHBg4tCfejzbmWHx0KkUPD6tEEuvB-Y0/ …
Sat Aug 01 07:45:25 PDT 2015 --  It really hurts so much when you can feel yourself becoming less and less important to the one person who means the most to you
Fri Jul 31 19:54:28 PDT 2015 --  That moment you lose all respect for that person you used to like.
Wed Jul 29 07:39:29 PDT 2015 --  Hellooo!!!!! Hoy es el cumple del pollito loco de mami... omg 5 años.… https://instagram.com/p/5uUXEzKHPeYtr2MNR-jEVaKCkWHanCxFns5ls0/ …
Mon Jul 20 22:11:04 PDT 2015 --  Yyaaaayyy!!!!! Ahora es el Birthday del pollito lloron de mami... omg i cant… https://instagram.com/p/5Ys838qHOm/ 
Mon Jul 20 15:42:45 PDT 2015 --  Off to the park #cuswebored #cookiesandcream #icecream https://instagram.com/p/5YAgsYKHJo/ 
Sun Jul 12 08:32:03 PDT 2015 --  pic.twitter.com/zxhEzbDTLQ
Mon Jul 20 13:54:44 PDT 2015 --  Does this mean im lonely. .. https://twitter.com/engrossingfacts/status/623198229262282752 …
Mon Jul 20 13:54:05 PDT 2015 --  Fo sho https://twitter.com/CraziestSex/status/623153034869252096 …
Mon Jul 20 12:30:22 PDT 2015 --  Sex isn't sex without hair pulling, ass grabbing, neck holding, lip biting, neck sucking, pillow biting, back scratching, etc..
Mon Jul 20 08:15:16 PDT 2015 --  Los Pollos and momma.. https://instagram.com/p/5XNTQdqHFO/ 
Fri Jul 17 17:46:24 PDT 2015 --  Only if this laziness would go away..lol. https://twitter.com/fuzzycuntkins/status/622187515747827712 …
Fri Jul 17 15:52:39 PDT 2015 --  When u wanna be alone cus ur tired n feelin depressed but then every1 leaves..agh its so quiet. Im just gonna go in the shower #lonely
Thu Jul 16 17:00:56 PDT 2015 --  Have u ever craved someone? Not in a sexual way,but you just wanted to hear the sound of their voice or feel the warmth of their body
Wed Jul 15 19:13:17 PDT 2015 --  Yay... https://twitter.com/AHSHotel_/status/621440069480517634 …
Mon Jul 13 17:18:34 PDT 2015 --  Too hot outside.. chillin. #pinknails #hubbywifey #feet https://instagram.com/p/5GJ6ZbKHKW/ 
Mon Jul 13 17:00:42 PDT 2015 --  N i get in trouble when I say I need more. #nailpolish #colors #nails #manicure #onemoredonthurt https://instagram.com/p/5GH06ZqHHX/ 
Thu Jul 09 14:18:00 PDT 2015 --  In need of a short nap.
Sun Jul 05 21:01:32 PDT 2015 --  & maybe Im just in love with the person you use to be.
Wed Jul 01 13:31:22 PDT 2015 --  When everything is great and working fine... wait for it 'cus everythin sooner or later falls apart.. ggrrrr
Sun Jun 28 22:35:35 PDT 2015 --  I love you more today than yesterday, but not as much as tomorrow. #youandme #valdovinos #love… https://instagram.com/p/4gGRIXKHFi/ 
Sun Jun 28 22:28:03 PDT 2015 --  Domingo En Familia. #family #lovely #grandpachava #thebest https://instagram.com/p/4gFZ-oKHEo/ 
Thu Jun 25 05:31:36 PDT 2015 --  "" https://twitter.com/CraziestSex/status/613791813980131328 …
Sun Jun 21 20:42:34 PDT 2015 --  Te amo asi de loco que eres.. to the moon and back. Always n forever. You've been a great dad to our… https://instagram.com/p/4N3v-hKHLD/ 
Sun Jun 21 20:35:44 PDT 2015 --  Happy Father's Day para todos estos papis.los quiero muchicimo les deseo lo mejor de lo mejor...… https://instagram.com/p/4N2_Q0KHJz/ 
Fri Jun 19 14:11:17 PDT 2015 --  Tengo ganas de ti...
Wed Jun 17 07:32:32 PDT 2015 --  This kids thinking is Friday, they've gone mad!!!
Mon Jun 15 01:21:45 PDT 2015 --  Para descansar mejor #love #sleeptight #getbusy #goodnight
Thu Jun 11 11:15:35 PDT 2015 --  esta nececidad!!!!
Wed Jun 10 10:19:40 PDT 2015 --  Shower it is.... https://twitter.com/Fact/status/608537260644900864 …
Wed Jun 10 06:41:48 PDT 2015 --  I miss being a little kid with no stress, worries, or cares in the world.
Sun Jun 07 14:29:02 PDT 2015 --  rubbing your eyes and forgetting you had mascara on <
Tue Jun 09 13:48:41 PDT 2015 --  I wish I had..... https://twitter.com/FRUlTPICS/status/603137448403705856 …
