Sun Aug 02 01:07:56 PDT 2015 --  Sighted on Thika rd. near exit 6 at about 9pm on 1/8/15 @Ma3Route pic.twitter.com/JPWrFjPoge
Sat Jul 25 02:26:13 PDT 2015 --  "Kenya is ready and open for business". @ukenyatta
Thu Jun 25 22:13:56 PDT 2015 --  this ruming support you have to clear langata road is at the expense of #MombasaRoad via @LilyFloret
Tue Jun 16 03:11:29 PDT 2015 --  Idiot following an ambulance to escape jam and even decides to take a moment to buy crisps @Ma3Route pic.twitter.com/cGAQoFz06H
Tue Jun 09 08:05:34 PDT 2015 --  Worst lady driver I have ever seen. Changing lanes haphazardly and zero road courtesy. @Ma3Route pic.twitter.com/saVxQfHxHC
Sat May 30 08:10:34 PDT 2015 --  If Kidero is to blame for Nairobi traffic, then Joho should be crucified. The traffic in Mombasa is epic. @Ma3Route
Thu May 21 06:49:26 PDT 2015 --  Mbagathi way towards T Mall moving very slowly stretching back past Ngummo entrance as at 4:33PM. @Ma3Route
Thu May 14 09:13:25 PDT 2015 --  It's amazing the AU said nothing when violence broke out in Burundi but today they come out to condemn the coup #SelfishLeaders?
Thu May 14 08:31:20 PDT 2015 --  Know her, tell her to put the boy on a car seat, not standing. The airbag deploying would break his neck. @Ma3Route pic.twitter.com/28qX4KN6Nr
Tue May 12 14:22:53 PDT 2015 --  I feel for those stuck on our roads. Be safe. @Ma3Route
Tue May 12 07:51:07 PDT 2015 --  When your fuel gauge moves more than rev meter and speedometer, iko shida #NairobiTraffic @Ma3Route @KideroEvans
Tue May 12 07:24:33 PDT 2015 --  Argwings Kodhek towards town. Don't even bother unless you live in your car. @Ma3Route
Sat May 09 04:41:30 PDT 2015 --  BREAKING NEWS: Airbus A400M airlifter crashes in Seville, Spain https://commons.wikimedia.org/wiki/File:Airbus_A400M_EC-404_SVQ.jpg … Curimedia CC-BY-2.0 #avgeek pic.twitter.com/fWtq6gJYVk
Mon May 04 21:38:53 PDT 2015 --  Mbagathi Way clear all the way to City Mortuary as at 7:31am. @Ma3Route
Sun May 03 06:33:33 PDT 2015 --  Congratulations are in order to @ChelseaFC for cheating, Diving, parking the bus and BORING fans to death on their way to winning the league
Sun May 03 07:25:47 PDT 2015 --  ALL-TIME #BPL TITLES 13 - Man Utd 4 - Chelsea 3 - Arsenal 2 - Man City 1 - Blackburn pic.twitter.com/NWUp7wAJh9
Tue Apr 14 01:55:21 PDT 2015 --  Rumour has it that the drums will be removed. #DrumRolls
Tue Feb 03 18:21:02 PST 2015 --  Three groups spend other people's money: children, thieves, politicians. All three need supervision. - Dick Armey
Mon Feb 02 23:46:08 PST 2015 --  Business grows through constant evaluation and improvement of systems. Among other factors. @Kuza_Biashara
Mon Feb 02 20:41:02 PST 2015 --  Traffic jam on Mombasa rd. stretching back to Panari towards town as at 7:37am. pic.twitter.com/jOzrOx4sjG
Tue Jan 27 06:13:56 PST 2015 --  Woodlands rd. towards Hurlingham not moving. Spillover affecting Lenana rd. 5:13pm @Ma3Route
Sun Jan 25 03:01:11 PST 2015 --  Presidency statement #KeterClip https://m.facebook.com/story.php?story_fbid=331115520423626&id=147569985444848&refid=17 …
Sun Jan 25 02:50:33 PST 2015 --  Wouldn't be too surprised that #Keter is a deliberate diversion from other matters that Kenyans were discusSingh...
Fri Jan 23 01:42:01 PST 2015 --  The government is like a baby's alimentary canal, with a happy appetite at one end and no responsibility at the other. - Ronald Reagan
Thu Jan 22 06:04:14 PST 2015 --  Traffic on Mbagathi towards TMall from the Ngummo mosque as at 5:04pm @Ma3Route
Thu Jan 22 00:42:02 PST 2015 --  Idiot, n. A member of a large and powerful tribe whose influence in human affairs has always been dominant and controlling. - Ambrose Bierce
Wed Jan 21 06:42:02 PST 2015 --  I respect the government only in the same sense that I respect any other dangerous predator who views me as food. - Will Spencer
Mon Jan 19 09:00:47 PST 2015 --  Try grabbing Brookhouse playground. You'll be arrested, tried and convicted so fast you'll make Wadi cry "delayed justice" #OccupyPlayGround
Mon Jan 19 21:38:01 PST 2015 --  In the 90's people said Wangari Mathai was crazy. I guess it's also crazy that Uhuru Park and Karura forest exist
Mon Jan 19 21:30:24 PST 2015 --  #OccupyPlayGround Wangari Mathai fought for Uhuru park relentlessly. In the same spirit we must fight for public land. @bonifacemwangi
Mon Jan 19 20:13:21 PST 2015 --  In Jubilee, the land sharks have a friendly govt they know will wink at their nefarious activities ~ @MachariaGaitho http://bit.ly/1AEQvFv 
Mon Jan 19 10:33:03 PST 2015 --  #OccupyPlayGround; does being a jubilee MP equal to not using your brains?
Mon Jan 19 04:46:13 PST 2015 --  Waiting for a statement from the highest office on this playing field saga. #OccupyPlayGround
Mon Jan 19 01:44:31 PST 2015 --  We have just created a generation of children that will never trust the police or the law to protect them. #OccupyPlayGround
Sun Jan 18 02:36:53 PST 2015 --  Why are Muslims in Niger burning churches because of #CharlieHebdo? The guys were not Christians. #KnowYourEnemy
Sat Jan 17 11:52:38 PST 2015 --  For those wondering,here's just but a snippet of what Mutai said that has gotten him arrested #FreeMutai pic.twitter.com/US3Mklwz5P
Tue Jan 13 02:59:19 PST 2015 --  No one ever changed the world on cruise control. You need to blow an engine or two.
Tue Jan 13 02:00:02 PST 2015 --  Mercy to the guilty is cruelty to the innocent. - Adam Smith
Sun Jan 11 13:00:02 PST 2015 --  The trouble with political jokes is that they often get elected to office. - Tony Pettito
