Thu Jul 16 21:20:52 PDT 2015 --  Assalamualaikum. Wr Wb. minal 'aidin wal faidzin mohon maaf lahir batin kumara fajar & keluarga
Tue Jul 07 21:52:09 PDT 2015 --  Ayo yg Berkeinginan magang di Perusahaan2 Jababeka Cikarang Silahkan Datang ke Kantor AK Presiden. info lebih lanjut Hub 021 89113589
Wed Sep 24 23:00:16 PDT 2014 --  hidup ini penuh dengan tanda tanya
Tue May 27 22:26:04 PDT 2014 --  ku di sini terdiam dan tidak banyak bicara namun ku membuat planing indah buat masa depan ku .
Thu Nov 21 07:20:27 PST 2013 --  Suatu saat kalian akan tau apah itu arti kuhidupan yang blm kalian tau . Jangan bangga dengan hsil skrang
Thu Nov 07 16:57:18 PST 2013 --  Teryata semua yg kita pikirkan blm tentu benar di mata mereka
Mon Jun 17 07:30:25 PDT 2013 --  cpet kirimin bungkusan nya yg tdi d pesen mass hahaha @warisaziiz
Thu Apr 18 17:46:39 PDT 2013 --  karawang di landa banjir yg ke dua kali nya buat yang kena banjir semoga di beri ketabahan . amiinnn
Wed Apr 17 00:35:25 PDT 2013 --  jangan selalu bangga apa yang kita punya sekrang
Sun Mar 31 01:09:36 PDT 2013 --  siap"TO nih besok do'a in y
Sat Feb 23 03:46:00 PST 2013 --  mungkin semua harus seperti ini
Thu Feb 14 01:36:12 PST 2013 --  #JodohPastiBertemu ;) RT @TRAXMagz: Thanx @afgansyah_reza buat kuenya! cc @TrinityOptimaP pic.twitter.com/1mJOXpJa
Thu Feb 14 00:20:53 PST 2013 --  Bm aktif ga ka? Pngen nanya:D" @nukerachma: Apa sayang? :) RT @fitririzqyana: Kaa:-) @nukerachma"
Thu Feb 14 00:16:57 PST 2013 --  Catch the boys and i at konser special valentine MNC tv jam 4 sore today @boywilliam @kvinjulio pic.twitter.com/4tJBeoW0
Thu Feb 14 00:21:16 PST 2013 --  Urat malunya udh putus cix_x" @ecimdtsh: Punya malu? RT @fitririzqyana: Pmnya eci bkin malu yeuh -__- ecimdtsh"
Thu Feb 14 00:02:24 PST 2013 --  cepe y pulang bimbel
