Fri Aug 28 19:20:34 PDT 2015 --  Muchas veces creemos que la vida nos dice "no", cuando solo nos dice "espera".
Fri Aug 28 15:14:20 PDT 2015 --  What do you mean? *tururu di du*
Fri Aug 28 15:23:20 PDT 2015 --  ¡Vamos a aprendernos la canción "Si me das tu corazón" de @mariobautista_ en #MaratonTelehit
Fri Aug 28 14:39:29 PDT 2015 --  Ya estoy en @tvtelehit listo para rumbear con @barbaraig #MarioBautistaEnTelehit CÁMBIENLE
Fri Aug 28 14:38:13 PDT 2015 --  INICIA EL MARATON BACK TO SCHOOL PIDE TU VIDEO UTILIZANDO EL #1818mivideofavorito. pic.twitter.com/n8C7iqcXZj
Fri Aug 28 14:36:38 PDT 2015 --  ¡La espera terminó #Bautisters! @mariobautista_ está en #MaratonTelehit! pic.twitter.com/xHPsinVsw0
Fri Aug 28 14:07:55 PDT 2015 --  Estás viendo "Ginza" de @JBALVIN en #MaratonTelehit
Fri Aug 28 13:50:36 PDT 2015 --  A quien veo mañana aquí mis amores ?🏻 a rumbear!! https://twitter.com/977_fm/status/637325694947557377 …
Fri Aug 28 13:58:19 PDT 2015 --  Un Gangster Judio https://instagram.com/p/68PdQbQMcT/  pic.twitter.com/oOBoaeOyMF
Fri Aug 28 13:31:31 PDT 2015 --  #MyCelebrityPic @PonchoYezka @ATLGarza @gwengl333 @tvtelehit #MaratonTelehit pic.twitter.com/gd0WTnPy6C
Fri Aug 28 12:39:32 PDT 2015 --  Antes de tropezar llegaste tu y me hiciste cambiar.
Fri Aug 28 12:02:26 PDT 2015 --  Viernes de San Luis Potosí 🏼
Fri Aug 28 11:48:57 PDT 2015 --  Feliz viernes de ser triste y mirar al techo preguntando "por que no tengo plan?!"
Thu Aug 27 19:15:44 PDT 2015 --  Esto pasa en este momento con mi vida. Felicidad pic.twitter.com/aBjykBBHgT
Thu Aug 27 19:09:21 PDT 2015 --  HOLA TONY @tonyhawk pic.twitter.com/KgwU6J88lt
Thu Aug 27 18:06:35 PDT 2015 --  ¿YouNow?
Thu Aug 27 16:48:51 PDT 2015 --  Chequen el trailer de #CaminoDeEstupideces que armamos con los tres estupidos @SoyRix @ElJuanpaZurita @jucaviapri http://youtu.be/S2Njg6oshJ4 
Thu Aug 27 16:42:15 PDT 2015 --  Con la mejor viner de México @nathcampost https://instagram.com/p/659bipQMQ3/  pic.twitter.com/JQagKv6aJ8
