Wed Aug 26 21:58:57 PDT 2015 --  また火災か故障で運転見合わせか…
Wed Aug 26 05:02:02 PDT 2015 --  https://www.youtube.com/watch?v=H6JaqngglXQ … いいなーー
Fri Aug 21 12:15:21 PDT 2015 --  @cochonrouge 嫌味じゃなくて本気でほめてるからね
Fri Aug 21 12:14:59 PDT 2015 --  テレビに出られる人は流石で、俺みたいに「金が無いから」とは言わず「恵まれた環境」は「難しい」と言う。 「貧困化」とは言わず「離婚率が高い」と率の話にする。 キャバクラで働かなきゃ、子育の金も満足に得られないとは言わないのも流石である pic.twitter.com/rQdPfCr2P8
Fri Aug 21 02:17:36 PDT 2015 --  アバウトすぎやろ pic.twitter.com/oV5KYRSLBx
Fri Aug 21 04:01:37 PDT 2015 --  バンクシーのテーマパーク「Dismaland」凄いな。難民で溢れ返ったボート、シンデレラの事故現場に群がるパパラッチ、どれも痛烈な社会風刺になってる。ダミアン・ハーストの作品もあるとか。馬が逆さ吊になったメリーゴーランドは色々やばい。 pic.twitter.com/ivSE3QmhB1
Mon Aug 17 16:00:52 PDT 2015 --  衝撃の新事実！すべての謎が氷解した！ himag : 1948年に東京で撮影されたあの35mmフィルムの正体がわかった！！ http://himag.blog.jp/45957239.html  pic.twitter.com/fbjGt75Zy6
Sun Aug 16 06:17:45 PDT 2015 --  しかし家族の死の真相を調べるというプロットは似ているのに、なぜ永遠の(以下略)と軍旗はかくも完成度とメッセージ性が違うのだろうか。製作会社は別としても配給はどっちも東宝︙
Sun Aug 16 06:12:39 PDT 2015 --  とゆーか軍旗など出てこなかった。左幸子が天皇と言う度にビクッとする、珍しい映画体験。
Sun Aug 16 06:08:40 PDT 2015 --  軍旗はためく下に(深作欣二監督):終戦記念日映画として完璧。実験的な演出には時々アレっ？と思う箇所もあるが、深作と新藤らの溢れんばかりの怒りと怨念が叩きつけられ、圧倒されずにいられない。珍しく丹波が主役かと思ったらやはり登場時間は10分程度であった。左幸子映画。
Sat Aug 15 19:58:53 PDT 2015 --  櫻井よしこが、731部隊の存在否定することの重大さがわかっていない方がおられるようなので 薬害エイズ問題で追及された、血液製剤供給企業ミドリ十字は、731部隊関係者が創設し、勤務した企業であり、その辺りの人脈とその隠蔽体質が当時問題に 櫻井は、薬害エイズ追及で名を馳せた人です
Sat Aug 15 08:20:22 PDT 2015 --  意外かつ魅力的な予定が入って軍旗と一番長い日(67年版)はお預け。今日(16日)中にはみたいところだが︙
Fri Aug 14 21:45:01 PDT 2015 --  14：00『ミッドウェイ【地上波吹替版】』太平洋戦争の命運を分けた航空決戦！「特集：戦後70年〜それぞれの戦い、それぞれの視点〜世界各地の戦い」http://ow.ly/Q6yj5 　このあと吹替えで『トラ・トラ・トラ！』。
Fri Aug 14 23:09:37 PDT 2015 --  多くの皆様が「日本のいちばん長い日」見ている時、オイラはムービープラスさんの「ミッドウェイ(吹替版)」を録画中。
Fri Aug 14 22:32:04 PDT 2015 --  地上波版のミッドウェイ、HDマスターとのシンクロじゃ無いのが最初は手抜きかと思ったが、よく見ると音楽や編集、撮影カットもかなり劇場版と違うので納得。違和感なく100分にまとめようという当時のテレビ局の編集技術の高さと吹替に感動。
Fri Aug 14 22:16:57 PDT 2015 --  ムービープラスでミッドウェイの吹替版！英語で見るより全然面白く感じる不思議。元々英語で喋っている日本人役を声優で吹き替えた結果、日本人が日本人に見えなくなる感覚の奇妙さ。スターウォーズとかを見ているような︙
Fri Aug 14 02:02:53 PDT 2015 --  戦争邦画は、1930～40年代がプロパガンダ、50年代が傾向映画、60～80年代前半までが当時の記録と再現と改悛、と来て、90年代は視線の低い点描、ゼロ年代以降は弁明と自画自賛の時代。
Fri Aug 14 01:33:53 PDT 2015 --  天津の大爆発のニュースで、「日本が攻めてきたかと思った」という感想が興味深かった。そんなすぐに攻めてくる奴らと思われてんのか俺ら
Fri Aug 14 01:43:50 PDT 2015 --  「野火」が公開されているわけだが(未見)戦争における人間の卑劣さを克明に描いた映画が少くなってしまった。敗戦した途端に転向する人間とか、部下放り出して逃げる上官とか、リンチする一般市民とか。それに娯楽成分を入れることで面白くもメッセージ性のある映画が出来る。古くは岡本喜八ネ
Thu Aug 13 14:33:06 PDT 2015 --  「ここがヘンだよ、日本人」 TBS 1998〜2002 「所さんのニッポンの出番」 TBS 2014〜現在 どう見たって右傾化だろ
Thu Aug 13 22:35:32 PDT 2015 --  妻と飛んだ特攻兵とかやるからみんな誤解する 飛ばずに逃げた特攻指揮官たち とかきちんと真実を伝えないと
Thu Aug 13 22:21:03 PDT 2015 --  ま、それで済まないケースもあるが、基本思想として持っとかなきゃね
Thu Aug 13 22:20:10 PDT 2015 --  戦うのは簡単だが、戦わないのは本当に勇気のいることだ
Thu Aug 13 13:27:20 PDT 2015 --  じ、ＪＲも・・ww pic.twitter.com/6W0uF4AqJN
Thu Aug 13 09:55:28 PDT 2015 --  やはりかちくしょうくやしぃのぅギギギ https://twitter.com/waribashi333/status/631676776192696320 …
Thu Aug 13 00:43:16 PDT 2015 --  どんな名作でもソ連映画の軍人たちは揃ってお行儀が良すぎるのが難点だったけど、「道中の点検」の兵士たちはパルチザンという設定にしても感情的だったり野蛮だったり、猜疑心の固まりだったりと実に生き生きしてる。だから上映禁止にされたのだろうケド︙
Thu Aug 13 00:38:32 PDT 2015 --  早稲田松竹「道中の点検」「戦争のない20日間」。万人にオススメできるものでは無いが、ソ連映画らしからぬリアルな軍隊描写や体制批判を匂わせるセリフ、男女の描き方の見事さ。日本海映画が配給した当時のままの劣化したフィルムもGood
Thu Aug 13 00:30:57 PDT 2015 --  冬コミ申し込むとかいう余裕ねぇ
Thu Aug 13 00:30:21 PDT 2015 --  ノーマネー
Sat Aug 08 06:18:20 PDT 2015 --  あと半年でやり残したことをやり遂げられる気がしない︙
Sat Aug 08 05:08:58 PDT 2015 --  文学ファンでは全く無いので語る資格はないのかもしれないが、Ｆ沢某の恋愛証明小説は純文学と呼べる代物ではない。好みではなかったものの花火の方がまだ何倍か優れている。あれを純文学と称する当人および取り巻き諸氏に対しては「正気ではない」と言いたい。
Mon Aug 03 11:15:59 PDT 2015 --  （多分）印度産の謎音楽SNSのベータ版の試用に登録したらこんなgif付きのｳｪﾙｶﾑメールが来た。 pic.twitter.com/uyp5kkHmir
Wed Aug 05 03:36:33 PDT 2015 --  【週刊プレイボーイ編集部】❷ 〜戦争がいかにして普通の人々の心まで、簡単に変えてしまうか。ある意味それは原爆以上に恐ろしいことを、自分が大人になった今だからこそ理解できるはずだ。そして戦後70年後、日本は大きな節目を迎えようとしている。それが「今こそ読み返す理由」である。
Wed Aug 05 03:36:28 PDT 2015 --  【今こそ『はだしのゲン』を読み返す理由／週刊プレイボーイ編集部】❶ 原爆投下のピカドンのシーンは物語が始まって250㌻目から。それまではゲン一家が「非国民」と呼ばれ、近所で、学校で、そして憲兵からいじめられる話が描かれる。今『はだしのゲン』を読み返す理由はそこにある。
Tue Aug 04 20:55:02 PDT 2015 --  https://twitter.com/tsukampo/status/628771694518235136 … pic.twitter.com/ArjTWK8LZ6
Mon Aug 03 19:44:11 PDT 2015 --  戦闘停止
Mon Aug 03 07:50:39 PDT 2015 --  剣さんイイネ！ 指輪イイネ！
Thu Jul 30 08:36:07 PDT 2015 --  誰も不幸にならないかぐや姫　その１ pic.twitter.com/dq16mkIb72
Fri Jun 13 07:45:46 PDT 2014 --  「それのどこが差別だ？」と差別者は言う。
Tue Jul 28 07:13:24 PDT 2015 --  先制攻撃って、大日本帝国がさんざんやって最後はボコボコにされた原因じゃないか
Mon Jul 27 19:53:42 PDT 2015 --  うまく言えないけど、一人ひとりのちいさな、しかし身にしみている幸福感や、一人ひとりの失いたくないものを実感できないところから戦争が始まると思うんですよ。論理のみの頭でっかちな人は、逆に簡単に戦争に動因されるようになるのではないか。
Fri Jul 24 09:38:16 PDT 2015 --  ウォーターボーイズがウォーボーイズに見えるあたり、結構ヤバイかもしれない
Fri Jul 24 06:40:10 PDT 2015 --  What a lovely day!!!!!
Fri Jul 24 06:39:34 PDT 2015 --  極上爆音上映のマッドマックスFURYROAD最高っす。席が振動しまくり、アクションは言わずもがな、デュオーンデュオーンのテーマ曲もエレキ野郎のサウンドもビリビリくる！
Fri Jul 24 05:43:20 PDT 2015 --  昼間にマッドマックス映画館でみたせいか、消されたライセンスのタンクローリーのぐたりがヒャッハー！にしか見えない
Fri Jul 24 01:53:51 PDT 2015 --  客と監督に嘘をついてまでのディレクターズカット商法、そして誰一人責任も取らず処分もされずに紙一枚で終了、さすがソニーですな。 観に行かなくて良かった。 今後はソニーのプレスリリースも無断で改変して配布しても良いのかな？　後で謝れば。 https://twitter.com/SonyPicturesJP/status/624232527696269314 …
Fri Jul 17 07:06:42 PDT 2015 --  マッドマックスを観た感想。 pic.twitter.com/dK0WvzTMF4
Thu Jul 23 07:43:22 PDT 2015 --  さっき「ぷらすと」でも話したけど「たった2500億」とか言ってる政治家より、自主制作で『野火』を作った塚本監督の方がこの国の未来を考えてると思うし、どんな映画にも金を出せとは思わないけど、『野火』に予算が集まらない日本映画界って悪い意味で凄いと思う。
Thu Jul 23 09:28:39 PDT 2015 --  #2020年へのドラマはもう始まっている pic.twitter.com/lGRi9UnDLn
Sun Jul 19 06:33:15 PDT 2015 --  おそろしくやる気の出ない試験（やらないとマズイのだが）
Sat Jul 18 01:50:42 PDT 2015 --  米兵の生体解剖記事でヤフコメが見るも無残な荒れっぷり。紛れもない事実を提示されると他の国の全く関係ない事件を提示して正当化する心理は狂気である。彼らは戦争中なら何をしても良いと言っているのも同然なのだから。
Thu Jul 16 06:58:19 PDT 2015 --  これはヤバイ
Wed Jul 15 21:21:42 PDT 2015 --  帰ったら洋画を観よう
Wed Jul 15 21:20:51 PDT 2015 --  戦闘未だ終結せず…
Wed Jul 15 00:17:43 PDT 2015 --  恐ろしく心臓に悪い日だが、泣き言は言わんゾ
Sat Jul 11 06:58:44 PDT 2015 --  ヒャッハー！天井はナシだぁ～！ RT @goking5: 『新国立競技場 怒りのデス・コンペ』 #新国立競技場クソコラグランプリ pic.twitter.com/qo2k9kodIc
Fri Jul 10 08:45:19 PDT 2015 --  オマー・シャリフ逝去。作品選びを含めた知的で高貴な雰囲気とアラブ系の顔の濃さ、ヒゲのドンピシャぶりといい、真のイケメンと呼ぶに相応しい俳優であった。
Wed Jul 08 01:00:48 PDT 2015 --  禁止ワード：ハエの遺伝子 https://twitter.com/cinematoday/status/618690994901512192 …
Tue Jul 07 18:53:35 PDT 2015 --  教授「であるから…この積分が…」 ウェイ「昨日の飲みでさwww」 居眠りしてる人「ｸﾞｰｸﾞｰ」 真面目に受けるぼく「(後で解けなくて困るのはお前らだぞ…)」 〜〜〜 教授「はい、じゃあ皆ここ解いてみて」 ウェイ「解けねえ…」 居眠り「解けねえ…」 ぼく「解けねえ…」
Sun Jul 05 02:41:26 PDT 2015 --  軍オタの掟記事がアリエネーと評判だけど、ああいうネトウヨを抉らせたような中年～老人軍オタ、無視出来ない数いるよ……。そういう人、普通にコミュニケーション困難だから、ネットやSNSでは目立たないか、コミュニケーション取れている人達とは別階層にいるから認識出来ないだけで……
Sun Jun 28 12:08:19 PDT 2015 --  そうそう、イモータン・ジョーはまさにたたき上げ社長だなあ。秘書を囲って子どもを産ませ。社員には「わしがみんなを養っている」。会社の一大事には自ら先頭に立ってしまう癖が抜けない。ウォーボーイズはブラック企業の若手社員で、訓辞を日々受けて洗脳されている。 #マッドマックス
Wed Jul 01 00:27:44 PDT 2015 --  8月のムービープラスが戦争映画祭り！ミッドウェイ、特攻大作戦とかピラニアが地上波吹き替え版とか
Mon Jun 29 01:13:32 PDT 2015 --  #こんな注意する日がくると思わなかった 子ども「モグラって日に当たると死んじゃうって本当？」 モグラ先輩「死ぬわけねーだろ」 多摩動物公園・東京ズーネット記事☞http://www.tokyo-zoo.net/topic/topics_detail?kind=news&inst=tama&link_num=22434 … pic.twitter.com/tOT1aA4Dqn
Mon Jun 29 00:45:49 PDT 2015 --  「差別は許されない」「誰でも差別しうる」という前提があれば「不勉強な分野で差別してしまいました、気をつけます」と認められるはず。「差別してしまった人は永久に退場」のような認識から出発するなら「どうやって差別ではないことにするか」を考えるでしょう。
Sun Jun 28 09:39:18 PDT 2015 --  百田の沖縄紙発言の直後、ネトウヨすらも百田の発言を場をわきまえていないと批判していたのが、百田が開き直って弁明＆逆ギレした瞬間にいつもの沖縄＆マスコミ叩きを展開している。宮台真司はネトウヨを知性というより感情の劣化だとしたケド、この好例ではないだろか。
Thu Jun 25 07:03:35 PDT 2015 --  主人公のイケボぶりが後になってジワジワくる
Thu Jun 25 06:59:02 PDT 2015 --  またマッドマックス見に行きたくなってきた笑。これ中毒性ありますわ。今度は2d大音響で！
Thu Jun 25 00:15:52 PDT 2015 --  予想外に女性の映画で、面白かった
Thu Jun 25 00:10:15 PDT 2015 --  最高だぜマッドマックス！
Tue Jun 23 21:00:51 PDT 2015 --  僕の2代上の幹事長が司会やるそうで、、、 シナ研とSODのパイプが着々とできつつある pic.twitter.com/CNObIxlKXx
Sun Jun 21 20:47:56 PDT 2015 --  徴兵制は現実的でないとは思うけど「素人を訓練する余裕はないから」「足手まといだから」という話はあまり意味がないと思う。徴兵制が再導入されるとすれば「若者が腑抜けてるから叩き直そう」とか「奨学金返せないなら命で返せ」とかそういう精神的な方面から来るだろうから。
Sun Jun 21 19:51:13 PDT 2015 --  ハングオーバーですわ
Sun Jun 21 19:50:24 PDT 2015 --  息抜きしすぎた感
Sat Jun 20 09:47:22 PDT 2015 --  今ではにわかに信じられないだろうが、かつて都条例でマンガが規制されそうになっていた時期、ニコ動では条例に反対する民主党を支持する方が多かったのだ。 <派遣法採決を批判＝岡田氏、維新対応やり玉―野党> http://nico.ms/nw1651988  #niconews
Sat Jun 20 09:45:16 PDT 2015 --  恐るべしコメント欄、思考停止もここまで来れば驚嘆に値する。この期に及んで、与党のトンデモ派遣法を批判する野党を批判するとは・・・ <派遣法採決を批判＝岡田氏、維新対応やり玉―野党> http://nico.ms/nw1651988  #niconews
