Fri Aug 14 16:27:51 PDT 2015 --  Sebentar lagi hari kemerdekaan indonesia ke 70 #RI70
Thu Jul 30 22:55:10 PDT 2015 --  Udah sampai nih. Yg mau lihat #OnePlus2 rituitnya mana??? Nanti kita periscope-an ya. *udahnggadibekasi pic.twitter.com/WeMRrJ3DYT
Sun Jul 26 23:43:13 PDT 2015 --  @SobatHAPE Kasih bocoran dikit - dikit boleh lah bang Mouldie, nanti kalau feedbacknya positif bakal makin cepet datang :-)
Thu Jul 16 09:33:50 PDT 2015 --  RT @esya_nabila: RT @newsuleprikitiw selamat hari raya idhul fitri kang@Esya_Nabila pic.twitter.com/ALMefRkomN
Thu Jul 16 09:32:30 PDT 2015 --  Perahu kertasku kan melaju.. #NowPlaying Perahu Kertas - @maudyayunda #SimfoniKemenangan pic.twitter.com/4b0GE882LG
Thu Jul 16 09:37:41 PDT 2015 --  bersyukur dan berterima kasih tak hanya untuk Tuhan, tapi juga untuk orangtuamu, sahabat, teman, juga kekasihmu ( o. ?)??????
Thu Jul 16 19:50:49 PDT 2015 --  Gigi tanggal dan gusi berdarah dapat menjadi isyarat adanya penurunan kemampuan berpikir. [University of North Carolina]
Thu Jul 16 21:57:20 PDT 2015 --  Selamat Hari Raya Idul Fitri @YamahaIndonesia @YRFI_JatengDIY @yrfi_tangerang @YRFI_Jakarta @YRFIBandung @YRFI_Bogor pic.twitter.com/m3IRrgW6aw
Thu Jul 16 23:06:01 PDT 2015 --  Save you heart for me : )
Thu Jul 16 23:06:00 PDT 2015 --  Orang yang menyebalkan biasanya punya banyak masalah dalam hidupnya!
Thu Jul 16 23:05:56 PDT 2015 --  Begitu mudahnya aku mencintaimu, begitu mudahnya kamu menyakitiku. Tetapi mengapa begitu sulit merelakanmu -_-
Thu Jul 16 23:05:50 PDT 2015 --  kamu jangan pernah bosen ya, buat perhatian sama aku : )
Thu Jul 16 23:05:45 PDT 2015 --  kamu adalah masa depanku, dan sumber kebahagiaanku, karena dirimu, aku selalu semangat menjalani kehidupan ini : )
Thu Jul 16 23:05:21 PDT 2015 --  Dalam cinta, ketika ada yang berbeda, jangan mencari siapa yang salah, karena kamu dan dia adalah tim yang sama dengan tujuan yang sama.
