Mon Jul 27 05:33:11 PDT 2015 --  You see a lot of these in the world of theater @TheatreProblems pic.twitter.com/szl8KrMXOl
Sun Jul 26 07:14:00 PDT 2015 --  If you threaten to quit a show in production because you disagree with the director, you have no business in show business @TheatreProblems
Sat Jul 25 19:00:38 PDT 2015 --  Actors and singers are a dime a dozen. Composers and lyricists of new musicals are exceedingly rare--and we need new shows @TheatreProblems
Sun Jul 05 07:05:31 PDT 2015 --  I have a friend who can predict when someone is about to sneeze. I call him Nostrildamus.
Sat Jul 04 18:34:55 PDT 2015 --  I can't wait until I can wish people a "Happy Fourth Thursday of November". #4thofJuly
Thu Jul 02 20:47:52 PDT 2015 --  Good science never has answers. Great science has good questions. The highest level of science seeks neither. #science
Thu Jul 02 20:42:32 PDT 2015 --  Guess who I get to see in the morning: pic.twitter.com/jgcL888TqN
Thu Jul 02 20:36:13 PDT 2015 --  This is going to be the technique I use for Prime in 'AntiHero'. pic.twitter.com/BcG3agKkNg
Thu Jul 02 20:31:28 PDT 2015 --  The difference in good actors and bad actors? The good actors know they are bad actors. #TheatreProblems
Thu Jul 02 19:17:01 PDT 2015 --  It's not the 25th of December, it's Christmas. It's not the 4th of July, it's Independence Day. Know what you are celebrating #4thofJuly
Thu Jul 02 08:20:54 PDT 2015 --  Wild speculation makes for good scientific conjecture, but is terrible for scientific conclusions.
Mon Jun 29 09:11:56 PDT 2015 --  No one is "born a man"--God help mothers if they were. #CaitlynJenner
Sun Jun 28 19:10:06 PDT 2015 --  pic.twitter.com/ezoBBHZFeh
Fri Jun 26 09:24:54 PDT 2015 --  The government will force churches to perform same sex "marriages"--and people will cheer.
Wed Jun 24 15:10:26 PDT 2015 --  Doing "couch to 5 K"--where is the couch! pic.twitter.com/CkjyvmJpu5
Tue Jun 23 19:14:08 PDT 2015 --  Art is taking something a little less than real and making it a little more than real. #art #TheatreProblems (Laura Foley, 6/23/15)
Mon Jun 22 20:43:14 PDT 2015 --  I had a beautiful evening! #blessed #grateful
Sun Jun 21 06:26:37 PDT 2015 --  Happy Father's Day, Dad! I miss you, though you were hard-headed and we had trouble seeing eye to eye. #StarWars pic.twitter.com/5LwQnEGqWv
Sat Jun 20 19:35:45 PDT 2015 --  pic.twitter.com/nY0PGeyUxS
Sat Jun 20 19:17:34 PDT 2015 --  My Papaw--a wonderful man and the inspiration for 'Papaw' in my musical, 'The Generations'. pic.twitter.com/JAiyH4NS6x
Sat Jun 20 11:13:55 PDT 2015 --  Getting more fit: pic.twitter.com/gGM1cntEiC
Sat Jun 20 10:03:54 PDT 2015 --  Someone asked me, "where is the best place to get your eyebrows done?" I said, "on your forehead."
Thu Jun 18 14:56:55 PDT 2015 --  Hello, shin splints! It's been awhile! pic.twitter.com/dOf3J9tU05
Wed Jun 17 19:38:31 PDT 2015 --  I found a book I just can't put down! it's covered in super glue. #reading #books
