Fri Aug 28 04:01:31 PDT 2015 --  i;m hiatus AnD uPdated okff
Fri Aug 28 03:12:44 PDT 2015 --  jimin dyed his hair on black ok bye im gonna leave this world pic.twitter.com/NnbQUfifNe
Wed Aug 26 01:57:49 PDT 2015 --  how can someone still looks so cute while being flicked on the forehead ONLY PARK JIMIN pic.twitter.com/RoKTz9h5pg
Thu Aug 20 08:21:46 PDT 2015 --  "for we've been together , and forever will be with you , bangtan"~ ♡ @BTS_twt #BTS800Days #800DaysWithBTS! pic.twitter.com/syBoLLRPwc
Wed Aug 19 04:47:01 PDT 2015 --  HAPPY 9TH ANNIVERSARY BIGBANG! Here’s to more successful and fun years to come, with VIPs! I LOVE YOU… TO INFINITY AND BEYOND!
Wed Aug 19 04:36:07 PDT 2015 --  Happy 9th anniversary to the group who's currently ruining me and recognized as the kings of kpop! KEEP SLAYING! pic.twitter.com/rsTtWnc7Kp
Wed Aug 19 05:01:37 PDT 2015 --  It's amazing how when you look back and realize how far they've come. #VIP고객감동9주년
Tue Aug 18 21:38:28 PDT 2015 --  pls give bts some rest, they are all so tired. armys are worried pls take care of them, their health is billion more important @bts_bighit
Tue Aug 18 18:59:12 PDT 2015 --  I CAN'T STOP LAUGHING HAHAHAHHAHAHA THIS IS EPISODE WAS ALL ABOUT HOBI pic.twitter.com/UzbJd5VrzO
Tue Aug 18 19:59:20 PDT 2015 --  get well soon, my baby @BTS_twt pic.twitter.com/N0PE8vru5k
Tue Aug 18 05:50:04 PDT 2015 --  오늘 팬미팅 오신 분들과 걱정하고 계시는 아미들 걱정끼쳐드려 미안해요 무대에서 빠지니 정말 쑥스럽고 부끄럽네요 지금 잘 쉬고 있으니까 걱정마세요! -JM pic.twitter.com/pBdXJjNNUX
Tue Aug 18 06:53:37 PDT 2015 --  "Jimin fell off the stage during the Osaka fan meeting because he temporarily lost consciousness" my babyyy pic.twitter.com/UqzHWqSxp4
Sun Aug 16 21:03:14 PDT 2015 --  옆에 누구게 #JIMIN #jhope pic.twitter.com/lCKurZlqHN
Tue Aug 18 01:52:02 PDT 2015 --  you always will be my baby ~ belated happy birthday babe! thankyou for inspiring me so much! ❥ #Happy28GDay pic.twitter.com/9ZtzA1FKhn
Tue Aug 18 02:13:19 PDT 2015 --  BLESSING YOUR TL WITH THIS DAMN RUDE GUY UGH I HATE HIM #Happy28GDay pic.twitter.com/4BDWmbmC2C
Mon Aug 10 02:32:34 PDT 2015 --  [BTS ISAC UPDATES] [10.08.2015] Jimin was only 0.06 seconds away from the person who won 1st place in his race!
Mon Aug 10 02:48:41 PDT 2015 --  #ISAC today -Yoongi as the team captain of his group -Yoongi shouted "SWAG" during his dunk -BTS x SEVENTEEN x GOT7 interactions.
Mon Aug 10 03:51:44 PDT 2015 --  [ #ISAC2015] Jimin helped on passing out the medals & he even personally put Min Suga's medal. #TodayIsYoonMinDay
Mon Aug 10 18:22:11 PDT 2015 --  BANGTANS MEDAL ON #ISAC!! gold medal - basketball: YOONGI'S TEAM gold medal - 400m : Jimin, V, Jhope second place - 60m: JM, JK
