Mon Aug 24 13:49:26 PDT 2015 --  Pedro high stepping down the line with Kris like a boss https://vine.co/v/ejqZBWYZYrg 
Sat Aug 22 17:52:56 PDT 2015 --  Happy birthday to the 3 faggot @SHumps24 @joshkarl11 @lilfoot96 Good Luck in College boyz
Wed Aug 12 19:35:02 PDT 2015 --  . @ARizzo44's balancing act. https://vine.co/v/eddwxxwI7aL 
Sat Aug 08 08:44:49 PDT 2015 --  WATCH Ross Barkley ties it up for #Everton with a beautiful strike #ForeverFaster http://snpy.tv/1gmoEaa 
Mon Jul 27 20:41:49 PDT 2015 --  . @KrisBryant_23 unloads a two-run #walkoff homer! #Cubs win!
Mon Jun 29 17:02:11 PDT 2015 --  When Coleman sent Cazorla back to Malaga https://vine.co/v/MiPMVAq1pTu 
Sat May 09 16:57:45 PDT 2015 --  . @KrisBryant_23 crushes a go-ahead three-run blast in the 3rd inning for his 1st @MLB home run! #LetsGo
Sat Mar 28 17:48:24 PDT 2015 --  Incredible game. @samdek1 is cold blooded. #OnWisconsin
Thu Mar 26 18:31:30 PDT 2015 --  Showalter most athletic walkon in America
Thu Dec 11 21:09:27 PST 2014 --  Pitt HC Paul Chryst is on way to Madison and is set to meet with UW, sources tell @FOXSports. Chryst appears to be front runner for the job.
Wed Dec 10 14:40:49 PST 2014 --  Just my $,.02, but I cannot wait for Paul Chryst to be the next coach of @BadgerFootball.
Wed Dec 03 15:01:17 PST 2014 --  Get your shit together @Everton!!!
Thu Oct 02 17:41:43 PDT 2014 --  Primetime game in Lambeau AND the running game going?? Spoiler alert: Jordy with a big play off playaction.
Wed Oct 01 22:18:18 PDT 2014 --  @lilfoot96 and I are killin it fright now on Fifa 15 pro clubs! Lmao
Sat Sep 27 06:41:36 PDT 2014 --  Phil Jagielka's 92nd minute equaliser! https://vine.co/v/OZ6rJVe5Fjj 
Wed Aug 06 20:49:20 PDT 2014 --  Caleb 1, Pep 0
Wed Aug 06 20:53:29 PDT 2014 --  Bayern coach shames the game and shows no class by not shaking hands after the loss. | https://vine.co/v/MVuVJltJjaJ 
Sun May 25 18:11:47 PDT 2014 --  HAHAHAHAHAHA DONOVAN HAHAHAHAHA I DIDNT EVEN NOTICE HE BROKE THE MLS GOAL SCORING RECORD UNTIL MY PHONE NOTIFIED ME HAHA #LegenD
Sun May 18 10:02:08 PDT 2014 --  Guy at the bar was beating up his girl... Until this guy came. #PeaceKeeper #ProudBrother pic.twitter.com/4oNowVH6pE
Sun May 04 17:42:48 PDT 2014 --  Great to have @lilfoot96 at UWP over the weekend. Appreciate it fam!
Sun Mar 30 07:37:02 PDT 2014 --  Everyone take a moment and look at what Reid did hahahahah. I love Reid pic.twitter.com/9XWQIuvjOY
Sun Mar 23 19:42:52 PDT 2014 --  @ReidKuepers1 very patriotic tonight!! #PerkinsRun pic.twitter.com/OCFfCG4foi
Sun Mar 23 13:36:53 PDT 2014 --  @drewmorrissey just referenced Wichita State as "we". #CmonBro #TooFar
Sat Mar 22 19:32:34 PDT 2014 --  HUGE game @BadgerMBB Keep it going out here in California....
Sat Mar 08 18:00:27 PST 2014 --  One of the best goals of 2013 https://vine.co/v/M7gIvjmWQOz 
Tue Feb 11 20:37:27 PST 2014 --  #nextyear
Fri Jan 24 19:25:54 PST 2014 --  Reid Kueper with the buzzer beater
Sun Sep 01 15:34:06 PDT 2013 --  Sole American male left in US Open is Tim Smyczek. Signed to little known brand Athletic DNA this year.
Wed Aug 28 09:01:17 PDT 2013 --  Tottenham to sign Erik Lamela from Roma in deal worth up to £30m #SSN
Mon Jul 08 17:49:57 PDT 2013 --  new single dropping tomorrow: "Honest Abe"
