Fri Aug 28 17:19:17 PDT 2015 --  Vc e o cara man !! https://twitter.com/Falcao12oficial/status/637418748627021824 …
Thu Aug 27 19:55:35 PDT 2015 --  Chupa r7 kkkkk https://twitter.com/Zeiro_Guerreiro/status/637090919934726144 …
Thu Aug 27 17:17:23 PDT 2015 --  Passou da hora ,esse e o cara @BrunoVicintin pic.twitter.com/4GKslQ71kB
Thu Aug 27 15:21:15 PDT 2015 --  Sou Cruzeiro nas boas e nas maus tbm ate morrer #Maiordeminas #incaivel pic.twitter.com/ccwO64O76g
Thu Aug 27 15:18:30 PDT 2015 --  #ForaTinoco #ForaLuxa pic.twitter.com/4b7NOUW4QZ
Thu Aug 27 06:09:47 PDT 2015 --  Bom dia p..nenhuma O luxa ja caiu @Cruzeiro ?
Wed Aug 26 20:23:17 PDT 2015 --  Cruzeiro a um ponto do Z4 e o treinador falando de distância para o quinto colocado. É por isso que os ET's não socializam com a gente.
Wed Aug 26 20:30:27 PDT 2015 --  Pelo jeito so reza braba pra tirar esses encostos no cruzeiro viu?cada derrota uma atitude mais ridicula pedi pra sair tbm gilvan
Wed Aug 26 20:26:45 PDT 2015 --  Como vcs queria que o luxa sairia hj se o presidente foi mais cedo e acham que o malandrao abriria mao da multa?vai vendo...
Wed Aug 26 20:11:13 PDT 2015 --  To querendo dormi, mas so depois de ver a queda do luxa sera?rsrs
Wed Aug 26 20:03:42 PDT 2015 --  #ForaGilvan pic.twitter.com/a72DoR7qep
Wed Aug 26 19:08:55 PDT 2015 --  Olha a preocupação dele agora .. --- --- Enviado através do WhatsApp pic.twitter.com/l82DwAefrq
Wed Aug 26 18:49:01 PDT 2015 --  Vinícius: "Temos que honrar a camisa do Cruzeiro, jogar como Cruzeiro". Alguém que vê o tamanho do clube.
Wed Aug 26 18:40:14 PDT 2015 --  SERÁ HOJE A ULTIMA NOITE DE LUXEMBURGO EM BELO HORIZONTE
Wed Aug 26 17:21:47 PDT 2015 --  So sei que tem tripice coroa so o maior de minas lamento frangas rsrs
Wed Aug 26 17:12:12 PDT 2015 --  Detalhe: de novo, Xavier, Arrascaeta e Willians fora. Ausência do trio é 'argumento' de corrente que questiona Luxemburgo.
Wed Aug 26 17:15:21 PDT 2015 --  http://g1.globo.com/mundo/noticia/2015/08/jornalistas-de-tv-morrem-em-tiroteio-durante-entrevista-ao-vivo.html … cara e pscopata foi pra vala tbm
Wed Aug 26 04:27:55 PDT 2015 --  Quem comparar o que Dilma diz hoje com o que falou no passado concluirá que são duas pessoas. A coluna: http://glo.bo/1KMMKmt 
Mon Aug 24 12:46:52 PDT 2015 --  Todo Cruzeirense que quer a Demissão deste cidadão vai dar RT #ForaLuxa pic.twitter.com/dgNf2Ebjuc
Mon Aug 24 11:51:02 PDT 2015 --  #ESPN 'Torcedor do Cruzeiro trocaria o Luxemburgo por qualquer outro técnico', diz Alex: O comentarista Alex a... http://bit.ly/1KI9HY0 
Mon Aug 24 11:56:42 PDT 2015 --  #ForaLuxa https://twitter.com/dias_vinicius_/status/635882391794352129 …
Mon Aug 24 08:40:30 PDT 2015 --  Tomara #ForaLuxa https://twitter.com/PablitoTFC/status/635837900589035520 …
Mon Aug 24 07:43:52 PDT 2015 --  Quem avisa amigo é https://twitter.com/FechadoComOCEC/status/633013359898677248 …
