Fri Aug 28 17:26:43 PDT 2015 --  Just posted a photo https://instagram.com/p/68naZtDCZ1/ 
Thu Aug 27 14:51:22 PDT 2015 --  Cleeeeeeeeeeeeveland.
Wed Aug 26 10:36:48 PDT 2015 --  So does X Factor start tonight/today ?
Wed Aug 26 10:43:48 PDT 2015 --  Just the premiere tonight then ha ! Got my days mixed up !
Wed Aug 26 10:44:24 PDT 2015 --  Can't wait for it to start !!
Wed Aug 26 11:15:15 PDT 2015 --  Part 2 of my Australia trip is on http://idlelane.com  now, where I met Tilly http://wp.me/p5tdtK-Mk  pic.twitter.com/onXJh86sEm
Wed Aug 26 11:48:33 PDT 2015 --  Here’s the official video for @jamielawsonuk’s ‘Wasn’t Expecting That’ https://youtu.be/Y-lI_tgQMMk  album out 9th Oct http://smarturl.it/JamieLawsoniTunes …
Wed Aug 26 04:31:00 PDT 2015 --  Was only joking about the lion https://instagram.com/p/62FDNSEpG_/ 
Wed Aug 26 02:37:39 PDT 2015 --  Payno watch you're back !
Wed Aug 26 02:37:05 PDT 2015 --  Siiiiiiiiiiiiiiiiiiiiiiiiick show tonight !!!
Tue Aug 25 07:23:16 PDT 2015 --  Photos from my @boohoo FIT campaign are out 🏼 more on Facebook http://www.facebook.com/officialdcp  pic.twitter.com/Iobq0JqoUv
Tue Aug 25 07:17:36 PDT 2015 --  I’ve now got a YouTube channel for Gingerbread Man Records, go subscribe - first music video coming tomorrow x https://youtu.be/ZF30ngvLEJ8 
Sun Aug 23 05:05:47 PDT 2015 --  Congratulations to my two beautiful artists @jagoward and @lynniewennekes so proud to coach such fantastic talent xxxx
Mon Aug 24 11:47:18 PDT 2015 --  Loved Chicago last night .. top quality crowd. Soldier field is a great stadium too .. Thanks for having us
Mon Aug 24 04:15:36 PDT 2015 --  Let's do this! Retweet! @TheVoiceAU https://twitter.com/missjahan/status/635732846745808896 …
