Wed Aug 12 08:08:56 PDT 2015 --  Do I have time for your bullshit? no no no no no no no no no no no no
Tue Aug 11 07:10:41 PDT 2015 --  nyesek sek sek sek sekkkkkkk~
Tue Aug 11 07:07:12 PDT 2015 --  engga' mb @anien_maulidha itu pas ak main kebetulan ad acra itu, kaka' ndk ikut lgi praktek :D pgn pulng katae
Sat Aug 08 22:48:54 PDT 2015 --  anniv ke 4 CB gresik mb, jambore CB seluruh indonesia katae kaka' :D @anien_maulidha
Sat Aug 08 16:15:49 PDT 2015 --  Mb @anien_maulidha ayuk ke gresik lg main ksini pic.twitter.com/DCRFjL9wh9
Fri Aug 07 15:28:50 PDT 2015 --  HBD mb cantik ({}). Forget your past. Face your future with enthusiasm and do your best. Happy birthday :* @anien_maulidha
Wed Aug 05 02:41:45 PDT 2015 --  Happy birthday adek @me_viinaa cantiik :'D hv a long live and happy forever.. May Allah swt bless u :* :* pic.twitter.com/DwuIxShmQ1
Thu Aug 06 10:08:07 PDT 2015 --  maaci mb cantik :* @anien_maulidha kangennn ({})
Tue Aug 04 10:26:39 PDT 2015 --  Happy 20th @Nyass_SmallBig pic.twitter.com/S36IJ25ejz
Tue Jul 14 16:14:16 PDT 2015 --  bandenge besar" mb :D punck acra.ny ntr mlm @anien_maulidha
Mon Jul 13 17:44:26 PDT 2015 --  mb anin ({}) ayuk ke gresik lg pasar bandeng :D @anien_maulidha
Sun Jul 12 16:11:58 PDT 2015 --  Tak perlu kau pulang kan lagi atas apa yg ku berikan biarlah menjadi luka maavpun tak kan bisa merubah kenyataan.
Sun Jul 05 01:07:51 PDT 2015 --  :) bismillah lancarkan ya Allah
Sat Jul 04 00:40:57 PDT 2015 --  minggu dpn PSSSMMLP legrek nak --"
Mon Jun 29 07:40:22 PDT 2015 --  kangen embul :(
Thu Jun 25 05:33:11 PDT 2015 --  :) mungkin dia sudah lupa
Sun Jun 21 15:48:15 PDT 2015 --  kl km nanya knp nggk marah ? krna ak ud cukup dewasa buat ngrti smuany ka' :)
Sat Jun 20 23:31:53 PDT 2015 --  :D yg hbs beli ikan “ @anien_maulidha: Morning pasar Sembayat, Gresik :)”
Fri Jun 19 05:06:18 PDT 2015 --  Waktu Indonesia bagian berusaha terlihat baik-baik saja meskipun kangen
Tue Jun 16 05:22:27 PDT 2015 --  KKN slmt datang di kotaku mb cantik ({}) :D “ @anien_maulidha: UAS done.. Welcome KKN !!! ·___·”
Sun Jun 14 05:30:01 PDT 2015 --  seharian rasanya males banget pengen tidur mulu~
Mon Jun 08 17:13:09 PDT 2015 --  Dendam? Benci? Oh tidak. Saya sudah cukup dewasa. Saya tau, Tuhan itu adil.
Mon Jun 08 05:57:31 PDT 2015 --  aku mah raurus situ mau ngomong ap :D
Wed Jun 03 10:32:39 PDT 2015 --  blom mb :o “ @anien_maulidha: Dek ... sms ku masuk?? RT @me_viinaa: ujiannya 7 keterampilan lagi :D mangats”
Wed Jun 03 06:21:32 PDT 2015 --  ujiannya 7 keterampilan lagi :D mangats
Sat May 30 07:41:18 PDT 2015 --  smpk 1mnggu sblm lebaran mb “ @anien_maulidha: Woo... menur?? :" smpe kpn dek?? Aku (cont) http://tl.gd/njt2k4 ”
Sat May 30 06:56:08 PDT 2015 --  KKN di sembayat ta mb ? dket rumahku mb :D @anien_maulidha ak praktek di menur mb RSJ pas puasa jg :'( sedih gabisa lebaran di rmh
Sat May 30 03:55:09 PDT 2015 --  kabarny K.O mb :'( @anien_maulidha praktek maraton
Fri May 29 05:25:47 PDT 2015 --  Fix, aku kangen kamu. Kangen banget. Banget banget banget banget banget banget banget banget banget banget banget banget banget banget
Fri May 29 05:21:36 PDT 2015 --  Sometimes you just have to pretend that you are happy just to stop everyone from asking what happened pic.twitter.com/B6Q1G9obAt
Tue May 26 08:18:27 PDT 2015 --  Suasana kampung halaman Abaikan kaos hijau si vina lg ngasih makan ikan pic.twitter.com/VMxezk35mm
Tue May 26 08:15:10 PDT 2015 --  Hayati lelah pic.twitter.com/VtxpucfzyJ
Mon May 25 16:01:01 PDT 2015 --  ﺍَﻟﻠَّﻬُﻢَّ ﻻَ ﺳَﻬْﻞَ ﺇِﻻَّ ﻣَﺎ ﺟَﻌَﻠْﺘَﻪُ ﺳَﻬْﻼً ﻭَﺃَﻧْﺖَ ﺗَﺠْﻌَﻞُ ﺍﻟْﺤَﺰْﻥَ ﺇِﺫَﺍ ﺷِﺌْﺖَ ﺳَﻬْﻼ
Wed May 20 15:29:10 PDT 2015 --  In case you don't find what you're looking for, you're missing what you had before, I'll be waiting, you just want to come home
Sat May 09 15:58:38 PDT 2015 --  Perasaan sayang nggak perlu ditunjukan dengan cara berlebihan, secukupnya aja supaya dia tetap nyaman :x
Sat May 09 15:50:38 PDT 2015 --  kaka' yang itu :D @anien_maulidha: Hayooo kaka' sapaa (?) RT @me_viinaa: si kaka' mah gitu orangnya -,-”
Fri May 08 00:17:42 PDT 2015 --  Senam td pagi :D pic.twitter.com/qBbWf6cHm7
Wed May 06 03:12:31 PDT 2015 --  Should have given all my hours when I had the chance with you :(
Mon May 04 03:51:43 PDT 2015 --  163 cm 50kg yuhuuu :D
Thu Apr 23 06:30:26 PDT 2015 --  kalau mamamu sukanya sama aku, pacarmu bisa apa :D
Wed Apr 22 16:47:32 PDT 2015 --  See how much I love you, even though we didn't make it through, I am always here for you ;) :P
Fri Apr 03 05:54:07 PDT 2015 --  Yg beginian fav.ny kaka' kl pulng pic.twitter.com/WYcZnWR4bv
Fri Apr 03 05:50:53 PDT 2015 --  selamat malam gresik pic.twitter.com/TiddMRrUOc
