Fri Aug 14 09:07:45 PDT 2015 --  .. #mood jah blessed. god bless. everything. https://instagram.com/p/6XrLgqER7K/ 
Sun Aug 09 19:03:36 PDT 2015 --  Maryland in the house RT @DailyNorseman: CAAAAAAAAAAAAAAAAAAN YOUUUUUUUUUUUUUU DIGG IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIT! pic.twitter.com/ai4NIrpzBZ
Sun Aug 09 18:49:10 PDT 2015 --  Price is having a sick game so far @Vikings @ArifHasanNFL
Sat Aug 01 05:50:19 PDT 2015 --  #NoOneLikesADoNothingBitch lol I LOVE @RondaRousey!! https://goo.gl/DJhUPJ  #Inspiring pic.twitter.com/nSTXOAx8cA
Fri Jul 24 16:53:10 PDT 2015 --  Can't wait RT @just_franklin: Mini weekend away? Sure, let's try to pack everything I own into a carry on. #DressToImpress
Thu Jul 16 21:04:47 PDT 2015 --  Howard print http://nativeshoes.com/shop/adults/apollo/apollo-moc-14688 … #keepitlite
Thu Jun 18 07:08:01 PDT 2015 --  @just_franklin ahahaha this is perfection. I just posted it on FB and it warms my heart that you thought of me <3
Mon Jun 15 16:58:47 PDT 2015 --  RETWEET and FOLLOW for a chance to win a GameBoy Color with a copy of Pokemon Red + the case! Winner will be DM'd! pic.twitter.com/ZUPEcrC4uP
Sun May 17 17:00:12 PDT 2015 --  I JUST WANNA FUCK pic.twitter.com/Be9T3xzBUN
Sat May 30 16:42:19 PDT 2015 --  Beer pong partner for life RT @BestComedyVine: This nigga is crazy pic.twitter.com/QaYVGgyHgy
Sun May 24 18:05:30 PDT 2015 --  When u finally have the money to pay EVERYONE back that u owe http://vine.co/v/eqti7KXXTB7 
Mon May 25 11:52:22 PDT 2015 --  Mcdonalds worker:"I'm a magician & can make the penny disappear under the water bottle. look for it in the bottle" pic.twitter.com/UlaIm39M6a
Sat May 30 16:39:46 PDT 2015 --  RT @BestComedyVine: Fried Watermelon " Why Lord ?" pic.twitter.com/W1atfGi29K
Sat May 30 16:39:27 PDT 2015 --  RT @BestComedyVine: Fried Watermelon " Why Lord ?" pic.twitter.com/W1atfGi29K
Wed May 27 08:36:05 PDT 2015 --  LolRT @misslanajayne: I absolutely love watching people dig themselves into a lie. Cool story, bro. tell it again.
Tue May 26 20:10:53 PDT 2015 --  I'm weak pic.twitter.com/BUbArkzmIm
Tue May 26 20:16:22 PDT 2015 --  lmaooo pic.twitter.com/mcqxdxPnSP
Tue May 26 20:32:21 PDT 2015 --  Lmao RT @RickiRoma: When you get an A on a group project that you did do a goddamn thing on pic.twitter.com/r3zWHsJseH
Tue May 26 09:39:04 PDT 2015 --  Adrian Peterson does realize the #Vikings had more wins without him in 2014 than they did with him in 2013, right? Right??
Tue May 26 09:59:22 PDT 2015 --  RT if this is how your feeling about this AP talk.... pic.twitter.com/bLzxzkCr2Q
Tue May 19 12:36:02 PDT 2015 --  Only in MD lmao RT: Someone caught a substitute teacher beating students with a belt on video. http://trib.al/RYsTkUI  pic.twitter.com/iQkMhUJCZQ
Thu May 14 04:57:02 PDT 2015 --  How excited are you @misslanajayne pic.twitter.com/2crIzFmAwk
Thu May 07 12:55:32 PDT 2015 --  Ball hawks. Game changers. Legends. BUT... Who was better? VOTE: #Polamalu or #Reed pic.twitter.com/bQAi0a8i3w
Sat May 02 21:52:19 PDT 2015 --  Mayweather vs The Big Show at Wrestlemania was better than #MaywatherPacquiao
Tue Apr 28 09:20:19 PDT 2015 --  #DragonBallSuper, first new series in 18 years, coming in 2015: http://ow.ly/MeEvX  pic.twitter.com/UHTdLfLy4C
Mon Apr 27 21:38:34 PDT 2015 --  RT @YourFavoriteZoe: A Different World was a powerful show. This was 1992. It's 2015 now pic.twitter.com/Vz1a4VXMxb"
Mon Apr 27 20:43:55 PDT 2015 --  https://twitter.com/justin_fenton/status/592887036845137920 …
Wed Apr 22 20:59:28 PDT 2015 --  RT @itheeayb: I'm giving away a signed Anthony Barr jersey; I'll choose the winner draft night! retweet this ... http://tmi.me/1f3qQi 
Wed Apr 15 09:50:29 PDT 2015 --  Emails to Yeezus: A Look Inside Kanye West's Inbox - http://pigeonsandplanes.com/2015/04/kanye-west-emails/ … @_NoraElizabeth
Wed Apr 15 07:58:15 PDT 2015 --  REPORT: Aaron Hernandez plans to appeal his verdict on grounds that by law, no #Patriots are allowed to be found guilty of anything they did
Wed Apr 15 07:31:29 PDT 2015 --  Will the Pouncey brothers be offering discounts on their remaining "Free Hernandez" gear? Asking for a friend.
Thu Apr 09 19:52:05 PDT 2015 --  Akira and There Will Be Blood are equally my 2 favorite movies of all time.
Wed Apr 08 06:19:49 PDT 2015 --  Sheesh Dove is good at feelings: Dove Choose Beautiful | Women all over the world make a choice: https://youtu.be/7DdM-4siaQw 
Tue Mar 31 19:26:06 PDT 2015 --  #NoNewFriends
Tue Mar 31 09:34:17 PDT 2015 --  Big women who cooked for dudes all winter about to lose their starting QB spot to the tenders in two piece swimsuits. That's life
Tue Mar 24 17:38:51 PDT 2015 --  RT @PurpleForTheWin: Goodell: Mike, the #Vikings have been selected to be on Hard Knocks. Zimmer: ... http://tmi.me/1f1IXl 
Tue Mar 24 10:08:23 PDT 2015 --  #VikingsMail do you think with the addition of MW what are the chances we still draft a WR in the first
