Fri Aug 28 04:10:23 PDT 2015 --  Günlük takipçi istatistiğim, Gelen takipçi: 319, Giden takipçi: 126 via http://twitpalas.com/index.html?utm_source=twitter&amp;utm_medium=mehmetoru18&amp;utm_campaign=notif1&amp;utm_content=28.08.2015.14.10&amp;twpTweet=1 …
Thu Aug 27 18:02:59 PDT 2015 --  Hayırlı Cumalar pic.twitter.com/5Wt9ZdsFIc
Thu Aug 27 18:01:57 PDT 2015 --  pic.twitter.com/RyRPZwZHdj
Thu Aug 27 18:01:40 PDT 2015 --  pic.twitter.com/V7tS7rT3er
Thu Aug 27 18:01:23 PDT 2015 --  pic.twitter.com/WrsmWbIbto
Thu Aug 27 18:01:07 PDT 2015 --  pic.twitter.com/MAWjolwk9A
Thu Aug 27 18:00:41 PDT 2015 --  pic.twitter.com/xp4pibbVfu
Thu Aug 27 18:00:27 PDT 2015 --  pic.twitter.com/rozJYFTPuy
Thu Aug 27 17:59:58 PDT 2015 --  pic.twitter.com/SJliqfUi0N
Thu Aug 27 17:02:59 PDT 2015 --  Cenâb-ı Hak buyuruyor: “Sana tâbî olan mü’minlere alçak gönüllü davran!” (Şuarâ, 215) #Ayet
Thu Aug 27 04:09:23 PDT 2015 --  Günlük istatistik, Gelen takipçi: 463, Giden takipçi: 85 via http://twitpalas.com/index.html?utm_source=twitter&amp;utm_medium=mehmetoru18&amp;utm_campaign=notif1&amp;utm_content=27.08.2015.14.09&amp;twpTweet=1 …
Wed Aug 26 23:37:24 PDT 2015 --  “Edebin ne kadar önemli olduğunu bilseydiniz, Allah’tan rızık yerine edep isterdiniz.” Hazreti Ali
Wed Aug 26 23:37:00 PDT 2015 --  “Bir kimse sırf Allah rızası için bir yetimin başını okşarsa, elinin dokunduğu her saç teline karşılık ona sevap vardır.” İbni Hanbel #Hadis
Wed Aug 26 23:36:42 PDT 2015 --  Resûlullah sallallahu aleyhi ve sellem şöyle dua etti: “Ey kalpleri yönlendiren Allahım! Kalplerimizi sana itaate yönelt!” Müslim...
Wed Aug 26 23:36:20 PDT 2015 --  “İnsanların en cahili, ahiretini başkasının dünyası için satandır.” Hazreti Ömer
Wed Aug 26 23:36:06 PDT 2015 --  “Sırrını saklamasını bilen, işinin hâkimi olur.” İmam Şafii
Wed Aug 26 23:35:52 PDT 2015 --  Cenâb-ı Hak buyuruyor: “Sana tâbî olan mü’minlere alçak gönüllü davran!” (Şuarâ, 215) #Ayet
Wed Aug 26 23:35:42 PDT 2015 --  Cenab-ı Allah şöyle buyurdu: “Sana yakîn (ölüm) gelinceye kadar Rabbine kulluk et!” (Hicr, 99) #Ayet
Wed Aug 26 23:35:30 PDT 2015 --  Rasûlullah (sav) buyurdular: “Kalbinde zerre kadar kibir bulunan kimse Cennetʼe giremez.” (Müslim, Îmân, 147)
