Mon Dec 24 23:39:22 PST 2012 --  check out http://goo.gl/1uf8Z 
Tue Dec 18 14:58:48 PST 2012 --  This rocks! I earned $165.95 this week taking a couple of surveys. http://apps.facebook.com/252064858254623 
Mon Dec 17 18:29:42 PST 2012 --  The New Breed Supplement called Raspberry Ketones Weight Loss http://www.onlynowpmc.de/easebinbrianwalker/ …
Mon Dec 17 14:29:23 PST 2012 --  I love this! I made $107.16 this week just taking a couple of surveys. http://apps.facebook.com/305247559592497 
Sun Dec 16 12:46:20 PST 2012 --  Sweeeet! I earned $164.60 so far just filling out surveys. http://apps.facebook.com/141755732640966 
Sat Dec 15 16:02:52 PST 2012 --  Aweesomeee! I made $167.34 this week just filling out some surveys. http://apps.facebook.com/141815275969512 
Sat Dec 15 14:53:47 PST 2012 --  Raspberry Ketone Weight Loss Benefits http://ibeautyathome.com/coughingentrance/36garydoyle/ …
Fri Dec 14 12:39:38 PST 2012 --  Sweeeet! I got $171.94 this week just doing some surveys. http://apps.facebook.com/517720411591826 
Thu Dec 13 14:12:01 PST 2012 --  Awesome! I got $160.65 this week so far just taking surveys. http://apps.facebook.com/473549676016887 
Wed Dec 12 11:47:07 PST 2012 --  This rocks! I earned $191.02 this week just doing a couple of surveys. http://apps.facebook.com/312131102236069 
Wed Dec 12 09:28:02 PST 2012 --  Raspberry Ketone Promo http://karaogluyapimarket.com/cryarrange/71iantaylor/ …
Tue Dec 11 12:41:45 PST 2012 --  Aweesomeee! I got $170.43 this week so far just filling out some surveys. http://apps.facebook.com/501354853230643 
Mon Dec 10 19:07:27 PST 2012 --  I love this! I got $175.12 this week filling out some surveys. http://apps.facebook.com/427984600603159 
Sun Dec 09 15:28:14 PST 2012 --  Make some extra cash for your family's Xmas prezzies today! http://apps.facebook.com/530073413671500 
Fri Dec 07 12:57:18 PST 2012 --  Sweeeet! I earned $174.13 this week so far just doing a couple of surveys. http://apps.facebook.com/520152578003357 
Thu Dec 06 16:18:35 PST 2012 --  I just made $855 today working a few hour from home! Check out now http://teplodobro.ru/boardacquire/74justinjones/ …
Thu Dec 06 12:49:02 PST 2012 --  Awesome! I made $194.00 so far taking a couple of surveys. http://apps.facebook.com/131431013678716 
Wed Dec 05 13:43:13 PST 2012 --  Sweeeet! I got $172.65 this week taking a couple of surveys. http://apps.facebook.com/472970949422275 
Tue Dec 04 11:32:32 PST 2012 --  This rocks! I got $101.94 so far just taking some surveys. http://apps.facebook.com/415318911874786 
Mon Dec 03 13:12:43 PST 2012 --  This rocks! I got $162.59 so far just doing surveys. http://apps.facebook.com/395394147203252 
Sun Dec 02 22:09:54 PST 2012 --  I love this! I made $160.52 this week so far just taking a couple of surveys. http://apps.facebook.com/225323437599645 
Fri Nov 30 17:51:33 PST 2012 --  Awesome! I made $104.29 so far just doing some surveys. http://apps.facebook.com/306187489487970 
Thu Nov 29 11:27:14 PST 2012 --  This rocks! I got $107.69 so far just doing a couple of surveys. http://apps.facebook.com/472110659498475 
Mon Nov 26 12:25:21 PST 2012 --  Aweesomeee! I earned $197.75 this week so far just taking some surveys. http://www.facebook.com/308312259277945 
Mon Nov 26 05:39:10 PST 2012 --  http://valporicacid.com/courtbear/33ianbailey/ …
Sun Nov 25 14:46:56 PST 2012 --  Aweesomeee! I made $167.70 this week so far taking surveys. http://www.facebook.com/446291282098028 
Sat Nov 24 21:38:50 PST 2012 --  http://juanpabloquiroga.com/beautyattention/78carlferguson/ …
Sat Nov 24 11:42:29 PST 2012 --  Awesome! I made $197.19 this week so far doing surveys. http://www.facebook.com/388407237905596 
