Sat Aug 29 05:22:00 PDT 2015 --  " @97_followback: if you don't want anyone to do wrong to you,you must not do it to the others"
Sat Aug 29 02:44:33 PDT 2015 --  pic.twitter.com/6q97RFjFwm
Sat Aug 29 01:27:12 PDT 2015 --  " @bestfriendze: 5 Rules of Happiness: 1. Don't hate 2. Don't worry 3. Give more 4. Expect less 5. Live simply."
Fri Aug 28 22:39:50 PDT 2015 --  " @Fact: Don’t believe everything you hear. There are always three sides to a story: yours, theirs and the truth."
Fri Aug 28 22:39:17 PDT 2015 --  " @ZaynsterAarzunn: True shit !! pic.twitter.com/iOLqnyQgx8"
Fri Aug 28 21:09:46 PDT 2015 --  " @Factsionary: Psychology says, friendship is not about who you spend the most time with, it’s about who you have the best time with."
Fri Aug 28 21:09:35 PDT 2015 --  " @Factsionary: If the relationship doesn't make you a better person, then you are with the wrong one."
Fri Aug 28 21:09:25 PDT 2015 --  Women feel the emotional pain of a breakup more acutely than men, but men take longer to get over their former lover, research shows."
Fri Aug 28 21:08:58 PDT 2015 --  "Rich people without a college degree: Abraham Lincoln Walt Disney Bill Gates Mark Zuckerberg Henry Ford Thomas Edison Steve Jobs"
Fri Aug 28 21:08:42 PDT 2015 --  A psychology study suggests that when you're single, all you see are happy couples - When you're committed, you see happy singles."
Fri Aug 28 21:08:25 PDT 2015 --  " @Fact365: You have a second brain in your gut, called the Entreric Nervous System. This is where the term 'gut feeling' comes from."
Fri Aug 28 20:15:26 PDT 2015 --  " @ReaIstagram: Don't let your pride get in the way of what your heart wants to say.ㅤㅤ"
Fri Aug 28 20:14:41 PDT 2015 --  " @Factsionary: Mentally talking to yourself during tasks is actually a good way to keep yourself focused."
Fri Aug 28 20:14:28 PDT 2015 --  " @ReaIstagram: I can't imagine my school life without my crazy friends.ㅤㅤ"
Fri Aug 28 20:14:00 PDT 2015 --  Life is easier when you're not complaining, worrying, or stressing about bullshit."
Fri Aug 28 20:13:50 PDT 2015 --  A true relationship is when you can tell each other anything and everything. No secrets and no lies. ."
Fri Aug 28 20:13:26 PDT 2015 --  " @Fact: Many teens who sleep less than 8-9 hours suffer from irritability, mood swings and even depression."
Fri Aug 28 19:58:00 PDT 2015 --  If you're too afraid to say what you want, you probably won't get what you want."
Fri Aug 28 19:57:47 PDT 2015 --  " @TheseDamnFacts: Your pupils can expand by as much as 45% when looking at someone you love."
Fri Aug 28 19:57:23 PDT 2015 --  " @ScientificIdeas: pic.twitter.com/ApjtH5E1UI"
Fri Aug 28 19:43:18 PDT 2015 --  pic.twitter.com/f5O01DpJpb
Fri Aug 28 19:33:32 PDT 2015 --  The worst feeling is when someone makes you feel special, then suddenly leaves you hanging, and you have to act like you don't care at all.
Fri Aug 28 19:33:09 PDT 2015 --  " @BestLoveNotes: Love is when you can act like lovers and best friends at the same time."
Fri Aug 28 19:32:58 PDT 2015 --  " @psychologicaI: A fake friend likes to see you do good, but not better than them. Pay attention."
Fri Aug 28 19:32:40 PDT 2015 --  " @engrossingfacts: A deck of cards, if shuffled properly, will become a deck that is quite possibly never seen in the history."
Fri Aug 28 19:32:06 PDT 2015 --  " @psychologicaI: "Orgasnom" is the term used to describe the chills you get after eating something extremely delicious."
Fri Aug 28 19:32:00 PDT 2015 --  Misophonia is a condition in which you are easily annoyed or angered by little things. Such as a person who eats or breathes too loudly."
Fri Aug 28 19:30:35 PDT 2015 --  " @FactSoup: When you’re right, no one remembers. When you’re wrong, no one forgets."
Fri Aug 28 09:16:23 PDT 2015 --  " @wordpowerz: “Invest in as much of yourself as you can, you are your own biggest asset by far.""
Fri Aug 28 09:09:38 PDT 2015 --  " @wordpowerz: When you have spoken the word, it reigns over you. When it is unspoken you reign over it"
Fri Aug 28 09:09:24 PDT 2015 --  " @wordpowerz: One great use of words is to hide our thoughts."
Fri Aug 28 09:09:08 PDT 2015 --  " @FactSoup: While you're busy looking for the perfect person, you'll probably miss the imperfect person who could make you perfectly happy."
Fri Aug 28 09:08:53 PDT 2015 --  : Vibes speak louder than words."
Fri Aug 28 09:08:38 PDT 2015 --  " @loveromantic60: : The hardest thing to do is walk away from someone you can’t forget."
Fri Aug 28 09:07:52 PDT 2015 --  " @About_YourLife_: Don't ever be ashamed of who you are."
Fri Aug 28 09:07:45 PDT 2015 --  " @About_YourLife_: Words mean nothing until they're proven and shown."
Fri Aug 28 09:07:38 PDT 2015 --  " @About_YourLife_: Honesty is the first chapter in the book of wisdom."
Fri Aug 28 09:07:29 PDT 2015 --  " @About_YourLife_: A faith that has not been tested can't be trusted."
Fri Aug 28 09:07:08 PDT 2015 --  " @About_YourLife_: Don't let the shadows of yesterday spoil the sunshine of tomorrow. Live for today."
Fri Aug 28 09:06:57 PDT 2015 --  " @About_YourLife_: We cannot learn without pain."
Fri Aug 28 09:06:47 PDT 2015 --  " @About_YourLife_: The will to do springs from the knowledge that we can do."
Fri Aug 28 09:06:40 PDT 2015 --  " @About_YourLife_: A true friend is someone who understands your past, believes in your future, and accepts you today just the way you are."
Fri Aug 28 09:06:28 PDT 2015 --  " @About_YourLife_: Work your hardest. Think your smartest. Dream your biggest. Be your greatest. Love your fullest. Smile your brightest."
Fri Aug 28 09:06:19 PDT 2015 --  " @About_YourLife_: You can forget what hurt you in the past, just never forget what it taught you."
Fri Aug 28 09:06:11 PDT 2015 --  " @About_YourLife_: Be Yourself. The original is worth more than the copy."
Fri Aug 28 09:06:04 PDT 2015 --  " @About_YourLife_: Respect people's relationships."
Fri Aug 28 09:05:56 PDT 2015 --  " @About_YourLife_: Sometimes you have to walk away from what you want to find what you deserve."
Fri Aug 28 09:05:47 PDT 2015 --  It is great knowing that at the end of the day, it really doesn't matter what people think. It only matters if you let it matter."
Fri Aug 28 09:05:35 PDT 2015 --  " @About_YourLife_: You have to be willing to take chances, otherwise you'll never know what you could be."
Fri Aug 28 09:05:29 PDT 2015 --  Art of conversation is not only to say the right thing at the right time, but also to leave unsaid the wrong thing at the tempting moment."
Fri Aug 28 09:05:15 PDT 2015 --  " @About_YourLife_: Pain never really goes away; you just elevate and get used to it by growing stronger."
Fri Aug 28 09:05:08 PDT 2015 --  " @About_YourLife_: Be thankful for the breath you just took, because someone out there just took their last."
Fri Aug 28 09:05:00 PDT 2015 --  " @About_YourLife_: Never make a promise you can’t keep. You can tell a lot about someone by the promises they keep and break."
Fri Aug 28 09:04:50 PDT 2015 --  " @About_YourLife_: Life is a gift. Never take it for granted."
Fri Aug 28 09:04:41 PDT 2015 --  " @About_YourLife_: When you want something you've never had, you have to do something you've never done."
Fri Aug 28 09:04:34 PDT 2015 --  " @About_YourLife_: Being hurt doesn't give you the right to hurt anyone."
Fri Aug 28 09:04:26 PDT 2015 --  " @About_YourLife_: No matter how strong of a person you are, there's always someone who can make you weak."
Fri Aug 28 09:04:19 PDT 2015 --  " @About_YourLife_: Every day may not be good, but there’s something good in every day."
Fri Aug 28 09:04:09 PDT 2015 --  " @About_YourLife_: In relationships: 1) Don't lie. 2) Don't cheat. 3) Don't make promises you can't keep."
