Tue Aug 25 07:24:01 PDT 2015 --  Ya All BeTa TInK TWiCee B4 FigHTiN wIt a PReETy GiRL.
Tue Aug 25 07:18:52 PDT 2015 --  sumtyms i argue just to ensure if d pple ar still stupid........i mean lyk criouslly "IDGAF".
Sun Aug 23 04:50:01 PDT 2015 --  Sleep + social life = bad grades. Good grades + sleep = no social life. Good grades + social life = no sleep.""
Tue Jun 16 17:04:33 PDT 2015 --  no means NO except if you are offering me food and I say no then I actually mean yes but I say no bc im trying to be polite"
Tue Jun 23 08:16:10 PDT 2015 --  If you don't like me that's your problem. I know you find it hard to understand but I don't live to please you."
Fri Aug 07 01:35:58 PDT 2015 --  Single Taken idk wtf is going on"
Fri Aug 07 01:36:09 PDT 2015 --  shoutout to low maintenance friends, the ones u don't talk to for months bc ur both living life but when u meet up, there's nothing but love
Fri Aug 07 02:04:37 PDT 2015 --  "money doesn't buy happiness" ok give it to me i'll show u how it's done"
Fri Aug 07 02:05:50 PDT 2015 --  so thankful my childhood was filled with imagination & bruises from playing outside, instead of apps & how many likes u can get on a selfie"
Fri Aug 07 02:06:15 PDT 2015 --  the people who say "1 second has passed’ when ur like ‘just give me a sec’ are the people u need to avoid and sacrifice to the aztec gods"
Sun Aug 09 19:40:29 PDT 2015 --  when people offer me food its like wow are u being for real like bless u and ur family i hope all ur dreams come true amen
Tue Aug 11 19:03:01 PDT 2015 --  my self esteem has two levels: im a worthless piece of shit who deserves no love and bow down before me bitches i am your queen"
Sat Aug 22 00:29:58 PDT 2015 --  GOD IS THE REASON WHY: - In pain, I smile - In confusion, I understand. - In betrayal, I trust. - In fear, I push forward."
Sat Aug 22 01:43:20 PDT 2015 --  Just a crush 3Months 9Months 1Year 5Years 10Years 20Years 50Years Heaven RETWEET if you want this"
Sat Aug 22 13:04:25 PDT 2015 --  :) I’m :) trying :) to :) be :) a :) better :) person :) but :) some :) people :) are :) testing :) me"
Sun Aug 23 09:37:19 PDT 2015 --  "Hey" "Hey" "How r u" "Good u" "Good" "What r u doing" "nothing u" "nothing" Retweet if you hate these convos""
Sun Aug 23 09:40:02 PDT 2015 --  someone take me out. either in the date way or the assassination way
Sun Aug 23 09:40:02 PDT 2015 --  i dont insult people, i describe them
Sun Aug 23 09:36:09 PDT 2015 --  cries before math exam cries during math exam cries after math exam
Sun Aug 23 08:37:10 PDT 2015 --  Ain't nun wrong with chick with stretch marks on there butt !
Sun Aug 23 08:54:02 PDT 2015 --  pic.twitter.com/VoEyejPRHS
Sat Jun 27 05:01:32 PDT 2015 --  A person doesn't have to be perfect to be exactly what you need.
Wed Jul 01 07:35:35 PDT 2015 --  Keep calm, you may be weak but God is strong.
Sun Jul 12 19:38:06 PDT 2015 --  Big or small, lies are lies.
Mon Jul 20 00:05:53 PDT 2015 --  Every girl knows this struggle pic.twitter.com/YTvO7vCSRt
Thu Aug 20 09:22:25 PDT 2015 --  Be brave even if your not, pretend to be. No one can tell the difference.
Thu Aug 20 07:06:36 PDT 2015 --  Saying that women who are promiscuous deserved to be raped is like saying men who enjoy swimming deserve to drown. 🏻️
Fri Jul 03 01:25:42 PDT 2015 --  Worldwide news directly under your Fingertips. Follow Xinhua News.
Thu Aug 13 05:21:04 PDT 2015 --  Deadly Disease Worse than HIV that Condoms Can’t Stop! see more clik heare >>>> http://bit.ly/1TwULkf  pic.twitter.com/d6BZG81Obp
Thu Aug 20 01:33:40 PDT 2015 --  Wise men speak because they have something to say; fools because they have to say something.
Wed Aug 19 11:22:37 PDT 2015 --  pic.twitter.com/KHmJmL5g2W
Wed Aug 19 11:20:04 PDT 2015 --  I dnt get played......, i play along. pic.twitter.com/OM0eVoSnQo
Mon Aug 17 15:12:07 PDT 2015 --  This Dad got a tattoo of a cochlear implant so his daughter wouldn't feel different http://twitter.com/FreddyAmazin/status/632935884296454145/photo/1pic.twitter.com/BJEntYkDuu 
Sun Aug 16 14:27:43 PDT 2015 --  honestly do u ever get to a point with a friend where u just realize “holy shit I don’t actually like you, like, at all”
Sun Aug 16 13:25:15 PDT 2015 --  me pic.twitter.com/mW72sT39Lf
Sun Aug 16 13:30:18 PDT 2015 --  Most people aren't actually anti-social. They choose to be alone because they hate spending time with stupid people.
Wed Jul 29 15:25:04 PDT 2015 --  When you told yourself you'll be more positive but life keeps trying you pic.twitter.com/rk4UT7sVjy
Sat Aug 15 20:56:53 PDT 2015 --  I don't stay mad, eventually I'll just stop caring.
Sat Aug 15 08:00:17 PDT 2015 --  we’re the generation of women who will teach their sons to act respectfully instead of teaching our daughters to beware
Thu Aug 13 17:34:13 PDT 2015 --  i hate when ur boob starts falling out of ur bra like excuse me ma’am please return to your assigned seat
Sun Aug 09 05:24:48 PDT 2015 --  Don't change the way you are just to make someone else happy. If that person truly loves you, there's no reason for a change.
Thu Apr 02 13:20:34 PDT 2015 --  Ameeeeeeen! pic.twitter.com/01Gtzc14jU
Thu Aug 13 10:37:53 PDT 2015 --  pic.twitter.com/c8nZ4X0Ri3
