Wed May 13 17:30:41 PDT 2015 --  when u don't have your shit together http://twitter.com/girlposts/status/598555182188879872/photo/1pic.twitter.com/TuHHZqsqxz 
Thu Apr 30 13:54:36 PDT 2015 --  Haylee Overholt leads off the bottom of the 4th inning with a solo HR!! Lady Senators lead 1-0 #WSsoftball15
Thu Apr 30 13:00:13 PDT 2015 --  Emily Kendrick, Haylee Overholt, Olivia Lawson and Amber Cook have been named to the All TCCAA Softball First Team #WSsoftball15
Mon Apr 27 13:00:07 PDT 2015 --  this video makes me SO happy pic.twitter.com/yVr2T62cqA
Sun Apr 26 13:14:57 PDT 2015 --  SFB: After 2 innings, Walters State leads Motlow State 8-0 #WSCCSoftball
Sun Apr 12 13:06:55 PDT 2015 --  SOFTBALL: Walters State sweeps No. 4 Chattanooga State 4-3 and 8-1 to take the series 3-1.. Lady Senators now 30-7! #WSCCSoftball
Sun Apr 12 10:51:04 PDT 2015 --  SOFTBALL GAME 1 FINAL: Walters State 4, No. 4 Chattanooga State 3.. Lady Senators have won two of first three in series #WSCCSoftball
Mon Mar 30 11:51:36 PDT 2015 --  SFB: Haylee Overholt's RBI double breaks the ice! Lady Senators lead 1-0 in the 5th #WSCCSoftball
Mon Mar 30 14:26:13 PDT 2015 --  SOFTBALL: Walters State sweeps Montreat 7-0 and 4-1 to improve to 23-6 on the year! #WSCCSoftball #LadySenatorStrong #WeAreWalters
Wed Oct 29 06:07:26 PDT 2014 --  NCAA Rules Gurley Eligible November 15 - Bulldawg Illustrated http://ow.ly/DvI5D 
Wed Oct 29 06:04:27 PDT 2014 --  Todd Gurley must sit a total of 4 games, donate to charity & complete 40 community service hours for taking $3,000+ for autographs.
Fri Apr 18 16:22:16 PDT 2014 --  @hayyy20 @misschristi73 @ashbpowell pic.twitter.com/SYDYpeYnkh
Wed Aug 07 19:38:44 PDT 2013 --  @cochran_morgan @amyunderwood811 @callieamber4 @hayyy20 Welcome! Definitely some of the best ball players Franklin has had 
