Wed Aug 05 21:55:04 PDT 2015 --  Физики: фуллерены превратили медь и марганец в магнитные материалы http://bit.ly/1KS21VL 
Mon Apr 13 19:30:43 PDT 2015 --  Feliz cumple mi gran hermano!! Todo de mejor para ti! Te extraño capi! @Carles5puyol pic.twitter.com/Cpvw14MSJK
Tue Apr 21 05:18:34 PDT 2015 --  когда-то лучший российский футболист https://twitter.com/premierleague/status/590482765327552512 …
Sat Mar 21 10:43:05 PDT 2015 --  Ronaldinho is 35 today. Happy birthday @10Ronaldinho! https://vine.co/v/MQVzrrOedJQ 
Tue Feb 24 17:53:27 PST 2015 --  Got some goodies for ya. @Avengers #AgeOfUltron pic.twitter.com/dS09aikrOY
Mon Feb 09 17:51:26 PST 2015 --  Программа США по доставке на Марс Curiosity - $2,5 млрд (567 млн.км) Дорога Адлер - "Красная Поляна"- $9 млрд (48 км) pic.twitter.com/cYQDqM8kcu
Wed Feb 04 23:39:56 PST 2015 --  Анекдот об Украине) http://coub.com/view/4v166 
Mon Jan 26 14:41:50 PST 2015 --  #Repost @fundacaoamorhorizontal ・・・⁰Sinta - e viva - a felicidade ao seu redor #DoarFa... http://ift.tt/15DFlbJ  pic.twitter.com/Kd6ZQyt484
Sun Jan 25 05:11:52 PST 2015 --  I just ran 5,04 km with Nike+. #nikeplus
Wed Jan 14 11:23:05 PST 2015 --  #SiempreGallos ! pic.twitter.com/zeb3J7e9Em
Tue Dec 16 10:48:55 PST 2014 --  Good luck my friend @ThierryHenry. Soccer will miss you. Congratulations for all you have done. pic.twitter.com/Kmjl81aXjx
Sun Oct 12 00:16:15 PDT 2014 --  Поддерживаете ли вы возвращение памятника Феликсу Дзержинскому на Лубянскую площадь? Да - ретвит, Нет - избранное pic.twitter.com/LbFk464v6m
Sun Jul 13 14:59:21 PDT 2014 --  #Месси получил Золотой мяч. http://www.vesti.ru/fifaworldcup/broadcast.html?v=1&id=927 … #ЧМ2014 #WC2014 #Brazil2014 #GERvsARG pic.twitter.com/A8hHREGiz5
Fri Jul 11 13:01:35 PDT 2014 --  Президент встретился с Фиделем Кастро http://bit.ly/1oNU2hV 
Wed Jul 09 15:56:44 PDT 2014 --  Вот такой финал нас ждёт! http://www.vesti.ru/fifaworldcup/  #ЧМ2014 #WC2014 #Brazil2014 #WorldCup pic.twitter.com/IxMphDjE1q
Tue Jul 08 14:10:56 PDT 2014 --  BREAKING: Live picture of Brazil's Christ the Redeemer statue pic.twitter.com/qVwhfydUTY
Tue Jul 08 14:47:21 PDT 2014 --  На один гол бразильцы наиграли! 1-7 http://www.vesti.ru/fifaworldcup/broadcast.html?v=1&id=924 … #Brasil2014 #WC2014 #WorldCup #Бразилия2014 #ЧМ2014 pic.twitter.com/d1wstQLfjS
Thu Jul 03 01:37:40 PDT 2014 --  В тот же день было сделано уникальное фото – за моей спиной здание Госплана СССР. Сейчас это Государственная Дума. pic.twitter.com/OJAbLEReHP
Mon Apr 21 05:34:38 PDT 2014 --  Солженицын про войну с Украиной. pic.twitter.com/ZKlOF3Si7j
Fri Apr 04 17:37:08 PDT 2014 --  Holy sh... Письмо Джобса где он накидывает черновые планы по продуктам. http://cdn2.vox-cdn.com/assets/4244355/DX489_Rev_03-07-14.pdf … Вы только почитайте. Там все и даже больше!
Mon Mar 31 03:10:10 PDT 2014 --  NSFW... kidnaped and tortured in DayZ (by a very weird person) https://www.youtube.com/watch?v=PLveMFmNTmw …
Mon Mar 03 09:05:06 PST 2014 --  Скончался создатель легендарных МиГов Ростислав Беляков http://vesti.ru/t?1343166 
Sun Jan 05 02:36:37 PST 2014 --  Всех с Новым годом!!!
Mon Dec 23 09:30:41 PST 2013 --  Умер Михаил Тимофеевич Калашников. Слава и гордость страны. http://www.1tv.ru/news/social/248948 … pic.twitter.com/1Wh22J1jGS
Mon Dec 23 09:10:09 PST 2013 --  Ушел великий Калашников. Человек при жизни стал легендой, на много десятилетий - символом и гордостью страны. Искренние соболезнования.
Mon Dec 16 04:41:37 PST 2013 --  “ @vesti_news: Калашников находится в тяжелом состоянии http://vesti.ru/t?1167730 ” надеемся на выздоровление великого советского конструктора
Wed Nov 27 23:33:43 PST 2013 --  Сегодня наушники Apple Earpods для наших подписчиков по лучшей цене в Москве — 999 рублей. Одному из ретвитнвуших этот твит — подарим! RT!
Thu Oct 03 08:35:02 PDT 2013 --  Скончался легендарный баскетболист, зажегший огонь Олимпиады-80 http://vesti.ru/t?1137673 
Wed Aug 28 14:21:08 PDT 2013 --  Зацените какую мышу Logitech для MacBook’ов замутил. http://bit.ly/1dnGV2Z 
Sat Aug 17 02:13:08 PDT 2013 --  В общем, я тоже подписался в партнерскую программу Apple. http://www.apple.com/ru/itunes/affiliates/ … Посмотрим, что за зверь и с чем его едят. :)
Fri Apr 12 08:22:11 PDT 2013 --  Четыре года прошло с момента этой рекламы iPhone 3G. http://www.youtube.com/watch?v=TSLbNAb6oqo … WP8 сегодня смотрится хуже, у них нет «приложений для этого».
Thu Feb 21 06:13:21 PST 2013 --  Хаха! Почему нет? Если этот ТВИТ наберёт 222 222 ретвита, то я поменяю имя на Оппа и буду не Никита, а Оппа! Оппа Джигурда...
Thu Feb 14 01:39:47 PST 2013 --  Внимание, если этот ТВИТ наберёт 2013 ретвитов - я станцую HARLEM SHAKE на Арбате - сделаем ФЛЕШМОБ! И сниму это на видео!!!
