Fri Aug 28 17:05:04 PDT 2015 --  gimme. pic.twitter.com/1QgukzUCgG
Sat Aug 22 14:25:00 PDT 2015 --  my chakras are fine, everybody. thank you very much for asking. also naruto is 100% scientifically accurate.
Sat Aug 22 20:09:05 PDT 2015 --  Nice. @bwecht #charka #naruto #science pic.twitter.com/0Y1YURvsHe
Wed Aug 26 09:57:03 PDT 2015 --  Give this man a cookie pic.twitter.com/2SNrEjegVN
Tue Aug 25 13:59:30 PDT 2015 --  Co-Optional Podcast is going swimmingly so far with @JimSterling http://twitch.tv/totalbiscuit  pic.twitter.com/xRJqdyAUlo
Sun Aug 23 21:56:26 PDT 2015 --  I've been getting messages like "I don't understand. I've played this game twice and remember these bosses better than you" SHRUG IDK DUDE
Fri Aug 21 12:02:24 PDT 2015 --  THIS IS MY NEW FAVORITE IMAGE ON THE INTERNET pic.twitter.com/UPmRrXWElD
Fri Aug 21 17:33:23 PDT 2015 --  pants
Fri Aug 21 17:27:19 PDT 2015 --  I'm 100% comfortable with my sexuality but nothing makes me more feminine than when I'm in the shower and Taylor Swift comes on
Fri Aug 21 10:54:29 PDT 2015 --  @mjd77777 https://twitter.com/engadget/status/634775740077240321 …
Fri Aug 21 12:41:02 PDT 2015 --  Pokken Tournament looks stunning https://www.youtube.com/watch?v=69p_yJQyQtc …
Fri Aug 21 03:29:16 PDT 2015 --  Incredibles 2 is exciting for sure, but I swear the canonical sequel was the shitty PS2 game 'Rise of the Underminer'. Did we forget this?
Thu Aug 20 15:47:28 PDT 2015 --  $850 Gaming Build - NZXT S340 / Pentium G3258 / GTX 770 https://youtu.be/Ng2IIdmiU9I  via @YouTube
Tue Aug 18 18:43:51 PDT 2015 --  Civ V offers a unique perspective on what history would be like if Polynesia and Japan went to war with Portugal because what am I saying
Sat Aug 15 06:15:04 PDT 2015 --  Piss off, sun! pic.twitter.com/6qLnujdvb2
Thu Aug 13 15:00:36 PDT 2015 --  The quest begins... pic.twitter.com/TC8lUgPRGi
Sat Aug 15 12:54:35 PDT 2015 --  Stoked to see @GameGrumps @RubberNinja playing the new King's Quest game!! I drew this a few weeks back! #gamegrumps pic.twitter.com/t2yO06UtHH
Sat Aug 15 12:56:58 PDT 2015 --  A disclaimer: I was saying that Anne-Marie belches loudly and for long periods of time, and is not gross.
Sat Aug 15 11:04:28 PDT 2015 --  Just got recognized as "that dude from the 3DS Zelda commercial" :)
Sat Aug 15 10:36:50 PDT 2015 --  Thank mr skeletal for strong bones and calcium.
Sat Aug 15 08:57:36 PDT 2015 --  People think my burps are gross like lol have you seen my girlfriend
Thu Aug 13 14:15:22 PDT 2015 --  Well, at least he's honest... pic.twitter.com/Oe1ICZmqGZ
Tue Aug 11 12:15:16 PDT 2015 --  Join us in our wild new SONIC DREAM!!! https://www.youtube.com/watch?v=WIAqPa1ttjc …
Sat Aug 08 22:27:04 PDT 2015 --  My parents found me at 1:30 at my computer babbling about Mumbai and Bratislava. Thanks Civ 5
Sat Aug 08 08:51:49 PDT 2015 --  It makes a lot of sense really. They're both adorable and act innocent until they bite you and look sad if you're mad about being bitten
Sat Aug 08 08:42:04 PDT 2015 --  My dog and my girlfriend get more likes on my own Instagram than I do
Sat Aug 08 05:33:12 PDT 2015 --  Another reminder to those at RTX, doing a panel at 11:30am today with @ExtraLife4Kids at the Hilton! Come to it :) pic.twitter.com/xASDcGZ4YS
Fri Aug 07 12:58:19 PDT 2015 --  I usually hate deep tweets but does anyone ever get so angry their stomach hurts or is it just my natural permanent rage
Wed Aug 05 20:56:24 PDT 2015 --  People hate on @dexbonus too much for her playthroughs. I like it when she makes fun of the background characters and does funny voices
Wed Aug 05 07:55:11 PDT 2015 --  still LOVE this video :D https://twitter.com/brentalfloss/status/628940094154477568 …
Tue Aug 04 17:31:48 PDT 2015 --  @mjd77777 @MichElaine99 also he's stupid
Tue Aug 04 12:09:03 PDT 2015 --  This is what you get when you don't pay attention to what book you pick for summer reading pic.twitter.com/dlJD9rlrzM
Mon Aug 03 13:21:01 PDT 2015 --  I just had an idea for an e-cigarette smoking simulator game. But it'll never get released so I guess it's vaporware...
Sun Aug 02 21:53:16 PDT 2015 --  An adorable picture of me and @rubberninja by @relivelastnight! https://instagram.com/p/56JQALoIG7/ 
Sun Aug 02 10:30:26 PDT 2015 --  see i have a reason @mjd77777 https://twitter.com/highoffdrugs/status/627893196094337025 …
Sat Aug 01 08:57:17 PDT 2015 --  Stuff Blender Users Say https://youtu.be/X1O_vRoVmiA  via @YouTube the fact that I think this video is funny probably makes me such a nerd
Fri Jul 31 16:36:45 PDT 2015 --  My processor can't handle the cup I just made. Gotta love that crappy pentium processor pic.twitter.com/0qwNiSdibB
Fri Jul 31 16:08:09 PDT 2015 --  Well that's good pic.twitter.com/hS8ZKtR5cn
Fri Jul 31 16:04:04 PDT 2015 --  Blender is going to set my processor on fire :/
Fri Jul 31 07:49:10 PDT 2015 --  She likes to help with computer things pic.twitter.com/IWRw6ITrG9
Thu Jul 30 19:51:58 PDT 2015 --  Sitting at my computer marathoning @dexbonus play life is strange and trying to tell her when to rewind pic.twitter.com/gErDnWdBFr
Mon Jul 27 20:29:23 PDT 2015 --  People tell me I'm obnoxious no matter if I'm loud or quiet, angry or happy, or tired or energized. I guess it's just a trait of mine.
Mon Jul 27 12:30:24 PDT 2015 --  'Oh, hi there neighbor human. Do you want to come over for a blood moon bbq?' pic.twitter.com/21B5XZ3Hex
Mon Jul 27 06:21:16 PDT 2015 --  Giving away 1 Taken King limited PS4! If you're following and RT, you'll be entered to win. pic.twitter.com/OVyo1zCGq6
Sat Jul 25 10:00:59 PDT 2015 --  Hello and welcome back to Opinions on the Internet, where everyone's a scrublord and the points don't matter. I'm XxXDrewCarrey420.
Fri Jul 24 20:15:21 PDT 2015 --  Whenever you login to Steam... pic.twitter.com/0I6SDfDrjQ
Fri Jul 24 16:20:00 PDT 2015 --  Flashback this Friday with classic Kanto Gym battles on #PokemonTV! http://bit.ly/p15tv22g  pic.twitter.com/DExEAKbrzI
Thu Jul 23 21:28:21 PDT 2015 --  https://www.youtube.com/watch?v=Scx6cd6o_jI … - People actually watch this shit? What a fucking asshole.
Thu Jul 23 00:33:08 PDT 2015 --  Had a mighty fine second Pokemon Art Academy session with @Razzadoop. Expect 5 more episodes soon! Off to sleep now!
Wed Jul 22 16:50:35 PDT 2015 --  I didn't like a game that others did. Big deal. I'm not waging a damn war, haha. No need to try and turn me against people who liked it.
Wed Jul 22 12:35:51 PDT 2015 --  I made an ugly coffee cup. I scaled it wrong so it's really warped and I think the coffee would spill out the handle pic.twitter.com/HB4CADm26d
Tue Jul 21 20:34:03 PDT 2015 --  The @GameGrumps lineup is so awesome I can't decide which to watch. I hope these series last a long time. pic.twitter.com/yehpWrgD4L
Tue Jul 21 15:15:39 PDT 2015 --  #GrowingUpInKentucky struggling to learn to play the banjo for the annual hill billy festival
Tue Jul 21 06:57:37 PDT 2015 --  When will we stop using "too short for the price" as a complaint towards games?
Wed Jul 15 20:22:14 PDT 2015 --  please take one second to RT this & help me with this experiment. You might meet a new friend & help my portfolio! pic.twitter.com/ukuGXuOBnR
Sun Jul 19 18:15:15 PDT 2015 --  The Gaben Five pic.twitter.com/5HGdBnBUVK
Sun Jul 19 08:42:10 PDT 2015 --  Final Fantasy II (SNES) https://twitter.com/the90slife/status/622754119095328768 …
Sun Jul 19 05:39:01 PDT 2015 --  Early game expert mode in a nutshell [x-post from /r/terraria] pic.twitter.com/90FteumVfJ
Sat Jul 18 21:21:15 PDT 2015 --  "Steal My Goal" thanks to @blazermaz for helping me write this song while we played #RocketLeague together pic.twitter.com/kCCJtjhTz7
Sat Jul 18 09:36:02 PDT 2015 --  Skittles: so awesome that the awesome can be seen from Pluto with the naked eye. #nowputsomeclothesonyoureye
Sat Jul 18 02:21:29 PDT 2015 --  They should rename Rocket League to Butt Clenching League because that's all it makes me do when I play it.
Thu Jul 16 13:58:12 PDT 2015 --  Who's watching #CakeWars this Monday at 8pm @FoodNetwork me and Mario from @NintendoAmerica get crazy! pic.twitter.com/LFB38AYu8z
Fri Jul 17 13:07:21 PDT 2015 --  My panel is starting in 10 minutes in my bathtub! W/ special guest @ChickfilA capacity is 1 so get there before I do. pic.twitter.com/1STU0qIFsk
Fri Jul 17 12:26:25 PDT 2015 --  I've already spent too much money. pic.twitter.com/l8YPZOnPSs
