Sat Aug 29 07:01:19 PDT 2015 --  Vote for Canganelli as the offensive player of the week http://highschoolsports.cleveland.com/news/article/-8712671363375271993/vote-for-high-school-football-top-offensive-performer-from-week-1-2015-offensive-game-balls-poll/#incart_hssn-rr-1 …
Sat Aug 29 05:16:21 PDT 2015 --  Vote for @Lil_Cangs for Player of the Week!!! http://highschoolsports.cleveland.com/news/article/-8712671363375271993/vote-for-high-school-football-top-offensive-performer-from-week-1-2015-offensive-game-balls-poll/#incart_hssn-rr-1 …
Thu Aug 27 11:15:14 PDT 2015 --  THISS!!!!! pic.twitter.com/3v6nXWbN16
Thu Aug 27 06:45:10 PDT 2015 --  How the fuck do you jump out of a pool????? pic.twitter.com/4ooZQfJSpn
Wed Aug 26 07:57:13 PDT 2015 --  Just announced: @CLE_state partners w/ @TheQArena to grow @CSU_basketball & book @WolsteinCenter events pic.twitter.com/bJHKP5BWY9
Sun Aug 23 16:41:56 PDT 2015 --  I don't have school tomorrow lololol
Sun Aug 23 08:05:06 PDT 2015 --  Your 19-24 1st place winners @ Sunny Lake https://instagram.com/p/6uvKpPhVPe_m7Hv136VWN9EUTmFfAsuJYYZ2A0/ …
Fri Aug 21 12:55:31 PDT 2015 --  "I'm the best person in the world" - me after I cook anything at all
Fri Aug 21 12:40:00 PDT 2015 --  In honor of my mom on Sunday, there is a 5k run in Aurora at Sunny Lake! Message me if you are interested and need details!
Fri Aug 21 10:16:03 PDT 2015 --  Nothing makes me happier than seeing fall boots and clothes in stores
Thu Aug 20 11:34:45 PDT 2015 --  My mom just said I better not suck in the 5k we are running Sunday.....
Wed Aug 19 15:25:17 PDT 2015 --  Crying and laughing is my favorite https://twitter.com/buzzfeed/status/634127946618277888 …
Wed Aug 19 11:42:42 PDT 2015 --  Was this made for Nick and I?¿?¿ pic.twitter.com/xXooXBQBdS
Tue Aug 18 07:00:35 PDT 2015 --  4 more months of summer break!!!!! (help me I'm poor)
Mon Aug 17 11:21:43 PDT 2015 --  Happy 21st @Kennaka !!! (Stay 21 as long as you can)
Sun Aug 16 13:27:53 PDT 2015 --  Come run a 5k next Sunday in my Mom's honor More info and online registration on http://JohnRobertsSpa.com  pic.twitter.com/YnHvRDtSrD
Sun Aug 16 10:54:40 PDT 2015 --  One thing I can promise is that I will never be a middle aged mom drunkenly grinding to Pitbull at The Feast/anywhere🏻️
Sun Aug 16 07:40:23 PDT 2015 --  Thanking God that the Feast is only one weekend a year @ The Feast… https://instagram.com/p/6cqxezhVAij5Tp6AS6ceilGL_kJVi9o7KEcd40/ …
Thu Aug 13 17:22:16 PDT 2015 --  Carey Spear out there for the PAT. Representing Mayfield Ohio!
