Fri Aug 14 17:03:03 PDT 2015 --  http://ohsalud.com/mundo-curioso/encuentran-ovni-una-grabacion-emitida-la-nasa/?utm_source=dlvr.it&utm_medium=twitter …
Wed Jun 24 19:10:17 PDT 2015 --  Ni Marty McFly lo hubiera imaginado mejor: Así es la 'hoverboard' de Lexus http://exp.mx/n006PVQ 
Tue Jun 16 17:40:44 PDT 2015 --  ¿Sabías que el vínculo entre un perro y su dueño es similar al de una madre con su hijo? - http://www.ohvirales.com/verde/sabias-que-el-vinculo-entre-un-perro-y-su-dueno-es-similar-al-de-una-madre-con-su-hijo/ …
Sat Jun 06 12:29:28 PDT 2015 --  Dos disparos peligrosos de Luis Suárez en un minuto https://vine.co/v/eMDaWJDwtQb 
Fri Jun 05 08:42:09 PDT 2015 --  Vamos den un excelente partido
Thu Jun 04 20:55:54 PDT 2015 --  @tercer_cuarto @Senteins @Billopirata @fischer_carlos "Si Coach!" Si en el Soccer mexicano hubiera un poco de esta disciplina seria potencia
Tue May 26 10:08:53 PDT 2015 --  Les traemos otra entrega de #8BitsMX en esta oportunidad estuvimos en el @AcuarioInbursa http://www.8bits.uy/2015/05/8bitsmx-estuvimos-en-el-acuario-inbursa.html … pic.twitter.com/2IAj4femQc
Thu May 28 18:49:50 PDT 2015 --  Me gustó un video de @YouTube de @denissewolf http://youtu.be/YrmY1Cs8TR4?a  ACUARIO INBURSA, excelente paseo familiar! con Denisse Wolf
Fri May 29 12:03:22 PDT 2015 --  Acabo de salir del Acuario Inbursa y tengo dos comentarios: 1. Está muy padre. 2. Voy de camino por unos sabrosos mariscos.
Fri May 29 10:14:16 PDT 2015 --  pic.twitter.com/WT7mEsLQ21
Thu May 28 13:20:39 PDT 2015 --  Fotos: 10 alimentos que combaten el cáncer-Vino 5472 http://www.muyinteresante.es/salud/fotos/10-alimentos-que-combaten-el-cancer/alimentos-contra-cancer-vino …
Sun Apr 26 18:40:12 PDT 2015 --  pic.twitter.com/zKirSeRe3x
Wed Feb 04 20:48:55 PST 2015 --  Joe Montana Doug Flutie Bo Jackson Herschel Walker ATT Commercial Pricel...: http://youtu.be/oMwEm6xkDNc 
Sun Jan 18 20:20:33 PST 2015 --  ElEconomista.mx: Fondo de inversión, el mejor aliado para el 2015. http://google.com/newsstand/s/CBIwsfbz_R8 …
Thu Sep 11 17:08:37 PDT 2014 --  Cierran centrales de Periférico Norte por encharcamiento http://m.eluniversal.com.mx/notas/metropoli/2014/cierran-centrales-de-periferico-norte-por-encharcamiento-1037545.html …
Wed Jul 02 20:12:35 PDT 2014 --  K tal como te va
