Fri Aug 28 21:41:30 PDT 2015 --  شايب مختل عقلياً ومريض نفسياً #الصرامي_يشتم_جمهور_الهلال
Fri Aug 28 13:51:36 PDT 2015 --  #النصر_القادسيه يا شبيه صويحبي حسبي عليكك 70 pic.twitter.com/0rXT0nZj8K
Fri Aug 28 10:54:20 PDT 2015 --  رقم 70 عقده لللفقراويه #النصر_القادسيه
Tue Aug 25 14:39:41 PDT 2015 --  وليد الفراج لرئيس الاتحاد الاسيوي تحرگ اذا انت منت قدها امش فيه الف رجال بدالك https://www.youtube.com/watch?v=gIwiSZq83y8 … #اتحاد_اسيوي_مشبوه
Tue Aug 25 16:24:53 PDT 2015 --  #الهلال_لخويا اهداء للنصراويين pic.twitter.com/KCd9Q4zamq
Tue Aug 25 15:59:53 PDT 2015 --  #الهلال_لخويا كل شي يذكرني ب شي pic.twitter.com/Tc23WV0sjC
Sun Aug 23 00:33:40 PDT 2015 --  الهلال #حدثني_عن_الحب_احدثك_عن pic.twitter.com/Vkx1oySlW2
Sat Aug 22 20:38:06 PDT 2015 --  جحفلي #اقترح_لنا_اسم_مدرب_للنصر
Sat Aug 22 06:44:44 PDT 2015 --  #جمهور_النصر_يضرب_عن_الاكل الي ركب المقطع مطلوب حياً او ميت pic.twitter.com/uvRCEk4aJE
Sat Aug 22 04:32:26 PDT 2015 --  #كلام_اخير_للاجازه نلتقي على خير pic.twitter.com/V7lZfaOvuJ
Fri Aug 21 16:32:05 PDT 2015 --  متأثر من الجحفله للحين المسكين #تصريح_السهلاوي_والانضباط
Fri Aug 21 04:22:08 PDT 2015 --  هذي والله العقول الناقصه يالله لا تبلانا بما بلاهم #النصر_يفتتح_الدوري_السعودي
Wed Aug 12 23:20:04 PDT 2015 --  صباحكم بطل لندن#الهلال_بطل_السوبر pic.twitter.com/EdDYa95qL5
Wed Aug 12 14:12:37 PDT 2015 --  #الهلال_النصر السهلاوي يبكي من جحفلي رافع الضغط عندهه pic.twitter.com/wjYbq8kEC3
