Tue Aug 25 00:19:06 PDT 2015 --  pic.twitter.com/h7M211asO7
Sat Aug 15 02:51:56 PDT 2015 --  pic.twitter.com/e0fdaufOgj
Sat Aug 15 02:40:53 PDT 2015 --  People Who Curse All The Time Are Hotter, Confident And Less Stressed http://elitedaily.com/news/world/people-curse-time-hotter-confident-less-stressed/994289/ …
Sat Aug 15 02:39:41 PDT 2015 --  Ladies, The Smarter You Are, The More Likely You Are To Be Single http://elitedaily.com/women/intelligent-women-likely-single/678309/ …
Sat Aug 15 02:15:48 PDT 2015 --  Petition | Maximum Penalty For Jason Gentry For Bludgeoning Two Puppies With A Baseball Bat "Like A Pinata"! http://www.petitionhub.org/Maximum-Penalty-For-Jason-Gentry-For-Bludgeoning-Two-Puppies-With-A-Baseball-Bat-Like-A-Pinata-t-2737 …
Fri Aug 14 01:02:07 PDT 2015 --  Trust your heart. Why you should always follow your dreams: http://elitedai.ly/1gzJ6ok  pic.twitter.com/PFfMygZtJU
Fri Aug 14 01:31:06 PDT 2015 --  6 reasons why having a girl best friend is better than a girlfriend: http://elitedai.ly/1Tq3Oc4  pic.twitter.com/hGdN5VDymp
Thu Aug 13 15:50:16 PDT 2015 --  they're all in their thirties and still look better than any man i have ever seen pic.twitter.com/T1J280QcJ8
Fri Jul 31 01:07:22 PDT 2015 --  Timothy G. Hicks, James Corbett: Please drop all charges, including the Neglect charge against Christ... https://www.change.org/p/timothy-g-hicks-james-corbett-please-drop-all-charges-including-the-neglect-charge-against-christine-bishop-of-christine-s-critter-caf%C3%A9-rescue?recruiter=288487845&utm_source=share_petition&utm_medium=twitter&utm_campaign=share_twitter_responsive&rp_sharecordion_checklist=control … via @Change
Thu Jul 30 07:45:51 PDT 2015 --  Petition | Maximum Penalty For Jason Gentry For Bludgeoning Two Puppies With A Baseball Bat "Like A Pinata"! http://www.petitionhub.org/Maximum-Penalty-For-Jason-Gentry-For-Bludgeoning-Two-Puppies-With-A-Baseball-Bat-Like-A-Pinata-t-2737/ …
Wed May 20 11:17:07 PDT 2015 --  Petition | Punish Vietnamese Men For Mistreating And Inhumanely Destroying A Dog While Recording The Ordeal! http://www.petitionhub.org/Punish-Vietnamese-Men-For-Mistreating-And-Inhumanely-Destroying-A-Dog-While-Recording-The-Ordeal-t-1913/ …
Fri May 01 05:17:39 PDT 2015 --  Ladies, The Smarter You Are, The More Likely You Are To Be Single http://elitedaily.com/women/intelligent-women-likely-single/678309/ … via @EliteDaily
Fri May 01 05:15:30 PDT 2015 --  People Who Curse All The Time Are Hotter, Confident And Less Stressed http://elitedaily.com/news/world/people-curse-time-hotter-confident-less-stressed/994289/ … #scienceofyou via @EliteDaily
Wed Apr 22 15:52:42 PDT 2015 --  *because I don't get tired https://twitter.com/haleynichole777/status/591011588930281472 …
Fri Apr 03 22:31:01 PDT 2015 --  pic.twitter.com/7PFedsEooo
Thu Feb 05 23:40:28 PST 2015 --  “ @taylor_1298: Sex ruins everything tbh. ” lies.
Thu Feb 05 23:49:24 PST 2015 --  “ @ThatGoreKid697: “ @taylor_1298: Sex ruins everything tbh. ” lies.”I don't agree 100% but friends last longer...
Thu Feb 05 10:57:47 PST 2015 --  Congrats! Kevin Sullivan! http://fb.me/2UXOdLtWx 
Thu Feb 05 23:14:56 PST 2015 --  what what
Sat Jan 31 10:54:39 PST 2015 --  @FeministaJones Maybe that's something to consider. Wouldn't including instead of excluding be more empowering?
Sat Jan 31 10:54:39 PST 2015 --  retweet another gain tweet in 3 mins get stalking or you miss it
Wed Jan 28 15:55:09 PST 2015 --  pic.twitter.com/Ro39MJe26I
Wed Jan 28 15:54:47 PST 2015 --  pic.twitter.com/XTTntpX4iW
Mon Dec 15 21:18:23 PST 2014 --  pic.twitter.com/46BtNP2lzi
Sun Nov 30 11:54:40 PST 2014 --  @ishankalia lucky u :)) @atorneybharti
Mon Nov 24 05:42:42 PST 2014 --  “ @murdock_bonnie: @OceanDrive . Absolutely!!” - it's a question! Tell me why it's dangerous Bonnie ?
Sun Nov 23 11:10:05 PST 2014 --  من وصف القرآن للمطر (فإذا أصاب به من يشاء من عباده إذا هم يستبشرون) أي يفرحون بالمطر كما جاء في تفسير البغوي @alebewy
Sun Nov 23 13:55:55 PST 2014 --  @ValentinChb Bah surtout en anonyme..
Sun Nov 23 13:47:57 PST 2014 --  Hey toi ça fait fragile de faire ça mais sache que je t'aime — Euh.... D'accord http://ask.fm/a/behb8544 
Sat Nov 22 16:14:44 PST 2014 --  Jy go, goodnight everybody #off
Sat Nov 22 21:29:36 PST 2014 --  Freddy
Sat Nov 22 16:10:56 PST 2014 --  #RT et je te follow. #FAV pic.twitter.com/VaRc0x0YVB
Thu Nov 20 16:47:22 PST 2014 --  Dear GOP...... pic.twitter.com/h0TK4tPPtZ
Sat Nov 22 12:07:58 PST 2014 --  Did you get paid yesterday? Buy my book! $8 using code: PrePTB I'm only signing pre-orders. https://feministajonesbooks.myshopify.com/  pic.twitter.com/QVqgBwwMgo
Tue Nov 18 22:59:38 PST 2014 --  I
Tue Nov 18 21:39:03 PST 2014 --  “ @abbbby17: Currently talking to Abraham Lincoln.. @oliviaaareneee pic.twitter.com/V0LK8pux0X”
Tue Nov 18 21:34:16 PST 2014 --  http://www.marleyson.com/?m=1 
Tue Nov 18 01:23:09 PST 2014 --  pic.twitter.com/jIwHPq7Cph
