Tue Aug 25 12:01:20 PDT 2015 --  La difícil tarea de remar en el Umia http://ow.ly/Rm7RJ  pic.twitter.com/KKYJ7inKDi
Sun Aug 16 01:32:59 PDT 2015 --  Carolina Marín aguanta entre risas el himno con la letra franquista en Indonesia http://ow.ly/QXfKX  pic.twitter.com/AUqFIjpK2C
Wed Aug 05 10:31:34 PDT 2015 --  ¡¿Libre y gratuito?! Esto es a los que muchos llaman #Derecho. #YoElijoLaVida #AbortoCERO pic.twitter.com/5dFJDF6y1L
Thu Jul 30 14:18:13 PDT 2015 --  Descargar la Biblia en audio 100% gratis y en mp3 http://vidaextrema.org/descarga-la-biblia-en-audio-100-gratis/ … vía @vidaextremaorg
Mon Jul 20 13:08:12 PDT 2015 --  Mensaje positivo pic.twitter.com/izaqsSn3kp
Wed May 06 02:13:22 PDT 2015 --  Este año la campaña @Xtantos se centra en "lo cotidiano" de la Iglesia cc @Confepiscopal pic.twitter.com/eH51sTteBb
Wed May 06 02:19:34 PDT 2015 --  Testimonio de sor Carmen Señor.Aparece en el spot de @Xtantos.Se dedica a cuidar enfermos. #detrasdecadaX
Wed May 06 02:25:48 PDT 2015 --  Sor Carmen Señor, sierva de Jesús: "Estoy para contribuir. El Señor me ha llevado x sitios inimaginables". @Xtantos pic.twitter.com/uI6OAotE0s
Wed May 06 02:26:48 PDT 2015 --  Sor Carmen Señora: Emocionada contando su experiencia."Me encanta la ternura de Dios.La vida hay que vivirla con pasión". #detrasdecadaX
Wed May 06 02:20:04 PDT 2015 --  Testimonio de Sor Carmen:“Quiero contribuir a la vida de la Iglesia en lo que haga falta”.Ha sido misionera en Filipinas #xtantos
Wed May 06 02:05:22 PDT 2015 --  “Detrás de cada x hay una historia”. Presentación de la campaña XTantos 2015 pic.twitter.com/plRFsJJ9p5
Wed May 06 02:28:32 PDT 2015 --  Sor Carmen después de haber sido misionera ahora cuida de ancianos en una residencia:“Es un regalo poder cuidar de estos mayores” #xtantos
Wed May 06 10:21:01 PDT 2015 --  --- --cardenal prefecto de la vida consagrada. Nivel pic.twitter.com/s3YeEB9px5
Sun Apr 12 13:00:20 PDT 2015 --  He publicado 12 fotos en Facebook en el álbum "Concierto - Oración #44SemanaVR". http://fb.me/3ItFuLdIF 
Wed Mar 18 08:30:10 PDT 2015 --  @nevy87 @itziaracosta @Siervas_Jesus aquí podéis volver a ver el vídeo: http://www.rtve.es/v/3049489/ 
Tue Mar 17 05:56:25 PDT 2015 --  Unas fans muy especiales de @ed_tve su historia hoy @Siervas_Jesus pic.twitter.com/qgmnaC3yox
Tue Mar 17 05:21:48 PDT 2015 --  @crepresa @Nidiaenlared @Socialniuscom @CECEMADRID @ecatolicas @carfergue aquí podéis verlo de nuevo: http://www.rtve.es/alacarta/videos/espana-directo/ed-acoso-160315/3047208/ …
Sun Feb 22 04:31:31 PST 2015 --  Yo voy!!! Apuntaos pic.twitter.com/zhesJoOFzy
Thu Jan 01 00:07:02 PST 2015 --  Son las 8 y yo siguo masticando las uvas... a todos los frutetos del pais: EXISTEN UVAS MÁS PEQUEÑAS!! A que viene tanta mala leche?
Thu Dec 18 07:32:06 PST 2014 --  Esto se pone realmente interesante, voy a por palomitas.... pic.twitter.com/Qog9cr8u0A
Sun Nov 09 21:43:52 PST 2014 --  El Violinista en el Tejado en Español Latino
Sun Oct 05 21:31:20 PDT 2014 --  Descargar Hours 2013 DVDRip español Latino Mediafire - Latino Mega http://latinomega.org/descargar-hours-2013-dvdrip-espanol-latino-mediafire/ …
Fri Oct 03 13:36:55 PDT 2014 --  RT @archpics: A building shedding like a snake pic.twitter.com/vGQCFUUNrF
Thu Oct 02 00:23:34 PDT 2014 --  Un transexual pide ser hombre de nuevo: "Es demasiado agotador ser mujer" http://mdia.st/1vzC3jf  pic.twitter.com/LlaNdEbIiv
Mon Sep 29 05:16:40 PDT 2014 --  "¿El mejor titular de todos los tiempos? Me gusta pensar que sí." http://www.elmundo.es/loc/2014/09/27/5425af6b268e3e76158b4592.html?a=0789fe7786fb4450863de07d27240e6e&t=1411837730 … -via @99centimos pic.twitter.com/Iph3dcbTXd
Sat Sep 27 09:48:17 PDT 2014 --  Oye,que viva la celulitis, las arrugas,los calvos y la barriga,NO busques la "PERFECCION"....busca ser FELIZ, Y al resto ¡QUE LE DEN!
Sat Sep 27 09:42:53 PDT 2014 --  Por salud tengo que engordar y los medios bombardean continuamente con dietas,aparatos,medicamentos etc. No ayuda a salir de un TCA.
Sat Sep 27 09:40:07 PDT 2014 --  Siguen las criticas en los medios a @taniallasera, sociedad hipocrita. Revisad el orden de prioridades. Veis que de un TCA se muere?
Thu Sep 25 11:50:58 PDT 2014 --  'Hoy en la Red': Twitter le juega a la Agencia EFE una mala pasada, por @Karl_Langas http://mdia.st/ZeVMJd  pic.twitter.com/Jb10akvOEM
Wed Sep 24 21:48:02 PDT 2014 --  buenos dias... y animo con este nuevo y soleado dia gallego!!!! a por setas o castañas.
Wed Sep 24 06:33:37 PDT 2014 --  paseo con jrilo mi can a la tarde. y...por qué no,en busca de setas.
Tue Sep 23 21:29:52 PDT 2014 --  dia nuevo y victoria al eterno rival... #CeltaDepor maravilloso
Tue Sep 23 13:09:50 PDT 2014 --  #celtadepor mola empezar gañando...e aghora que?
Tue Sep 23 13:04:45 PDT 2014 --  3' Goooool deeel Celtaaaa!!! Golitoo deee... golitooo deee... golitoo deee Nolitoo!!! | CEL 1-0 DEP | #onosoderbi #RCCVLive
Tue Sep 23 04:28:52 PDT 2014 --  el modo batalla...ahi está el quiz !! @CarmenEstevez06 este find ... a puñetazos y robos!!!
Mon Sep 22 23:32:58 PDT 2014 --  Veo en mi perfil ,enfermas activas que me siguen. si os quereis curar ..dejar de retroalimentaros entre vosotras en las redes sociales.ya!
Mon Sep 22 23:30:42 PDT 2014 --  estoy mas que Harta de las PRO ANA o MIA(ANOREXICAS) yo casi me muero de esta enfermedad. DEJAD DE JUGAR CON LA VIDA DE OTROS.BASTA YA!
Sun Sep 21 23:28:03 PDT 2014 --  lucha interna ,hoy medico de los que te ponen mas paranoica
