Sat Aug 15 09:21:09 PDT 2015 --  Nice one https://twitter.com/red_dotmc/status/632546544160534529 …
Thu Aug 06 07:33:34 PDT 2015 --  Thank you @HashtagRadio for the amazing interview with @RushClaremont owner Chanette Goosen talking #rushmovement pic.twitter.com/K5D8jM6APX
Sat Aug 15 04:31:51 PDT 2015 --  Rush activation #rushmovement @RushClaremont opening next Saturday 22 August Claremont StadiumOnMain @KFMza pic.twitter.com/HSmSNKC4Vb
Sat Aug 15 04:32:06 PDT 2015 --  Rush activation #rushmovement @RushClaremont opening next Saturday 22 August Claremont StadiumOnMain pic.twitter.com/jgupnlFTpM
Sat Aug 15 04:32:24 PDT 2015 --  Rush activation #rushmovement @RushClaremont opening next Saturday 22 August Claremont StadiumOnMain pic.twitter.com/yvHNtUnigT
Sat Aug 15 04:32:50 PDT 2015 --  Rush activation #rushmovement @RushClaremont opening next Saturday 22 August Claremont StadiumOnMain pic.twitter.com/EGszSr3eJE
Sat Aug 15 04:33:05 PDT 2015 --  Rush activation #rushmovement @RushClaremont opening next Saturday 22 August Claremont StadiumOnMain pic.twitter.com/xWZGCddzef
Sat Aug 15 04:33:23 PDT 2015 --  Rush activation #rushmovement @RushClaremont opening next Saturday 22 August Claremont StadiumOnMain pic.twitter.com/FpfQFRKPxD
Sat Aug 15 04:33:57 PDT 2015 --  Rush activation #rushmovement @RushClaremont opening next Saturday 22 August Claremont StadiumOnMain @KFMza pic.twitter.com/pKdZ7G4hr3
Sat Aug 15 04:34:12 PDT 2015 --  Rush activation #rushmovement @RushClaremont opening next Saturday 22 August Claremont StadiumOnMain pic.twitter.com/IvwPuOoBEx
Sat Aug 15 04:35:13 PDT 2015 --  Rush activation #rushmovement @RushClaremont opening next Saturday 22 August Claremont StadiumOnMain pic.twitter.com/TeSzZNeNve
Sat Aug 15 06:49:29 PDT 2015 --  #rushmovement pic.twitter.com/jt2HEGn4mZ
Sat Aug 15 06:48:07 PDT 2015 --  #rushmovement pic.twitter.com/XZJfGiE7Zc
Sat Aug 15 06:47:22 PDT 2015 --  #rushmovement pic.twitter.com/Nc4V021C3p
Sat Aug 15 06:47:07 PDT 2015 --  #rushmovement pic.twitter.com/5hUFLKVUpu
Sat Aug 15 06:46:07 PDT 2015 --  #rushmovement pic.twitter.com/Ot3B5BtQlf
Sat Aug 15 06:45:12 PDT 2015 --  #rushmovement pic.twitter.com/fRccKVaWu9
Sat Aug 15 06:44:59 PDT 2015 --  #rushmovement pic.twitter.com/ltZnCQVeaP
Sat Aug 15 06:44:08 PDT 2015 --  #rushmovement pic.twitter.com/mXAW29RVox
Fri Aug 14 11:37:11 PDT 2015 --  pic.twitter.com/14IN6CC8R6
Fri Aug 07 09:25:55 PDT 2015 --  pic.twitter.com/6c0mKbM7Qc
Mon Jul 13 13:32:08 PDT 2015 --  pic.twitter.com/RHRYj7yJqb
Mon Jul 13 13:31:38 PDT 2015 --  pic.twitter.com/mT9s8ibEu4
Thu Jul 09 04:11:09 PDT 2015 --  Work.....urgh pic.twitter.com/pIHryIGk8H
Sat Jul 04 04:24:03 PDT 2015 --  #LOVEIT pic.twitter.com/UcyBMMoLms
Mon Jun 29 04:17:18 PDT 2015 --  Work moments pic.twitter.com/QN50SlKc1x
Wed Jun 24 13:19:58 PDT 2015 --  Finally I'm back
