Wed Aug 26 14:31:29 PDT 2015 --  18° so cold
Wed Aug 26 11:10:02 PDT 2015 --  POW! Jessie J has released a lyric video for her new song #AintBeenDone http://capitalfm.co/VwDsbU 
Wed Aug 26 14:12:38 PDT 2015 --  trees .... by simurgphotography #photo pic.twitter.com/oqfmsB4UAc
Wed Aug 26 14:18:01 PDT 2015 --  Your weird goes well with my weird.
Wed Aug 26 14:18:27 PDT 2015 --  Old/new photo of Kylie. #JennerUpdates pic.twitter.com/t9Bl4ljL5E
Wed Aug 26 12:10:03 PDT 2015 --  You sat down next to me and I forgot how to breathe.
Wed Aug 26 07:41:59 PDT 2015 --  "I hope u will bring me back Jakarta", "Come On Jakarta", *tweet in bahasa*, "Love You Jakarta", "Ariana terharu when singing My Everything"
Wed Aug 26 07:35:05 PDT 2015 --  @ArianasIndo DAN TAHUN DPN DIA BAKAL MAU PERFORM LG DISINI.AMEEEN!!! #HoneyMoonTourJakarta
Wed Aug 26 07:34:55 PDT 2015 --  I LOVE YOU BABE AKU CINTA KAMU!!!!! https://twitter.com/ArianaGrande/status/636547126571364352 …
Wed Aug 26 07:31:22 PDT 2015 --  Jadi Model Baju Renang, Kylie Jenner Pamer Bodi Seksi - Kylie tampak lihai berpose menggoda dalam balutan pakaian ... http://ow.ly/33eSe7 
Wed Aug 26 07:27:35 PDT 2015 --  Katakanlah Aamiin atau Retweet, jika doa malam ini adalah doa Anda juga. Love you! pic.twitter.com/DWpB8S2CVZ
Wed Aug 26 07:33:56 PDT 2015 --  Jakarta babes, thank u so much!! You sang every word as louuud as you could. Y'all touched my heart tonight !!! Terima kasih! Aku Cinta Kamu
Wed Aug 26 07:25:16 PDT 2015 --  We got a big PROBLEM, guys.. : the concert ends.. #HoneymoonTourJakarta @DyandraMasEnt pic.twitter.com/OCGZ9Fdgxz
Wed Aug 26 07:20:06 PDT 2015 --  #HoneymoonTourJakarta pic.twitter.com/xlTPxqAMGn
Wed Aug 26 07:21:54 PDT 2015 --  "I hope you will bring me back, Jakarta"- Ariana Grande #HoneymoonTourJakarta
