Sun Aug 09 03:19:24 PDT 2015 --  One Direction Is my pick for http://Billboard.com  Fan Army #Directioners http://www.billboard.com/fan-army-bracket … ..
Sun Aug 09 03:19:12 PDT 2015 --  One Direction Is my pick for http://Billboard.com  Fan Army #Directioners http://www.billboard.com/fan-army-bracket … .
Sun Aug 09 03:19:04 PDT 2015 --  One Direction Is my pick for http://Billboard.com  Fan Army #Directioners http://www.billboard.com/fan-army-bracket …
Fri Jul 24 07:48:26 PDT 2015 --  :)My #TeenChoice for #ChoiceSelfieTaker is @onedirection! http://www.teenchoice.com/article/wave-2-nominees?cmpid=tsm:twt:-FOX?cmpid=tsm:twt:-FOX-tweet-text?cmpid=tsm:twt:-FOX-tweet-text …
Fri Jul 24 07:48:11 PDT 2015 --  My #TeenChoice for #ChoiceSelfieTaker is @onedirection! http://www.teenchoice.com/article/wave-2-nominees?cmpid=tsm:twt:-FOX?cmpid=tsm:twt:-FOX-tweet-text?cmpid=tsm:twt:-FOX-tweet-text …
Fri Jul 24 07:47:52 PDT 2015 --  .My #TeenChoice for #ChoiceSummerTour is #OnTheRoadAgainTour! @OneDirection http://www.teenchoice.com/article/wave-2-nominees?cmpid=tsm:twt:-FOX?cmpid=tsm:twt:-FOX-tweet-text?cmpid=tsm:twt:-FOX-tweet-text …
Fri Jul 24 07:47:43 PDT 2015 --  My #TeenChoice for #ChoiceSummerTour is #OnTheRoadAgainTour! @OneDirection http://www.teenchoice.com/article/wave-2-nominees?cmpid=tsm:twt:-FOX?cmpid=tsm:twt:-FOX-tweet-text?cmpid=tsm:twt:-FOX-tweet-text …
Fri Jul 24 07:47:32 PDT 2015 --  My #TeenChoice fr #ChoiceSummerMusicStarGroup is #onedirection! http://www.teenchoice.com/article/wave-2-nominees?cmpid=tsm:twt:-FOX?cmpid=tsm:twt:-FOX-tweet-text?cmpid=tsm:twt:-FOX-tweet-text …
Fri Jul 24 07:47:18 PDT 2015 --  My #TeenChoice for #ChoiceSummerMusicStarGroup is #onedirection! http://www.teenchoice.com/article/wave-2-nominees?cmpid=tsm:twt:-FOX?cmpid=tsm:twt:-FOX-tweet-text?cmpid=tsm:twt:-FOX-tweet-text …
Fri Jul 24 07:46:45 PDT 2015 --  My #TeenChoice fr #ChoicePartySong is #NoControl by @OneDirection! http://www.teenchoice.com/article/wave-2-nominees?cmpid=tsm:twt:-FOX?cmpid=tsm:twt:-FOX-tweet-text?cmpid=tsm:twt:-FOX-tweet-text …
Fri Jul 24 07:46:23 PDT 2015 --  My #TeenChoice for #ChoicePartySong is #NoControl by @OneDirection! http://www.teenchoice.com/article/wave-2-nominees?cmpid=tsm:twt:-FOX?cmpid=tsm:twt:-FOX-tweet-text?cmpid=tsm:twt:-FOX-tweet-text …
Fri Jul 24 07:45:57 PDT 2015 --  My #TeenChoice for #ChoiceLoveSong is #NightChanges by @OneDirection! http://www.teenchoice.com/article/wave-2-nominees?cmpid=tsm:twt:-FOX?cmpid=tsm:twt:-FOX-tweet-text?cmpid=tsm:twt:-FOX-tweet-text …
Fri Jul 24 07:45:35 PDT 2015 --  My #TeenChoice for #ChoiceInternationalArtist is @onedirection! http://www.teenchoice.com/article/wave-2-nominees?cmpid=tsm:twt:-FOX?cmpid=tsm:twt:-FOX-tweet-text?cmpid=tsm:twt:-FOX-tweet-text …
Wed Jul 22 15:08:01 PDT 2015 --  #5YearsOfOneDirection thank you for changing our lives pic.twitter.com/Iw5JgVHkAo
Wed Jul 22 22:36:50 PDT 2015 --  FIVE YEARS AGO TODAY. #5YearsOfOneDirection pic.twitter.com/ifVbDxnjzl
Wed Jul 22 22:37:35 PDT 2015 --  RIP to the fans who didn't make it this far to celebrate the boys 5th year anniversary we love you angels #5YearsOfOneDirection
Wed Jul 22 20:44:47 PDT 2015 --  And thank you for @1DtoIndonesia @1DAsiaCrew @NiallCrews_ID @Niall_Updatess ,always give a lot of information about 1D #5YearsOfOneDirection
Wed Jul 22 21:45:37 PDT 2015 --  #5YearsOfOneDirection SO PROUD OF YOU BOYS HOPE TO SEE YOU AGAIN REAL SOON! @Louis_Tomlinson @NiallOfficial @Harry_Styles @Real_Liam_Payne
Wed Jul 22 13:16:37 PDT 2015 --  To you who support us, in any way, thank you. We wouldn't be here without you. You did this and we thank you for having us. All the love
Wed Jul 22 06:34:04 PDT 2015 --  @netmediatama Tomorrow is 5th anniv of one direction, could #NetShouldPlayThisIsUs , pleasee Directioned will be happy
Wed Jul 22 06:35:29 PDT 2015 --  @netmediatama please tgl 23 jully 2015 #NetShouldPlayThisIsUs buatlah Directioners Indo senang pic.twitter.com/Sc4oknp20N
