Sat Aug 29 08:27:43 PDT 2015 --  urgh tired
Wed Aug 26 07:57:59 PDT 2015 --  Job applications in 2015 are like: “We’re looking for someone aged 22-26 with 30 years experience”
Mon Aug 24 00:58:58 PDT 2015 --  cengeng lah kau ni
Sat Aug 22 10:51:03 PDT 2015 --  Jenis aku lah. Tak suka mula conversation dulu. Tak kisah tunggu berapa lama janji orang yang start. Tapi kalau dah sayang...
Sat Aug 22 19:40:44 PDT 2015 --  
Sat Aug 22 08:26:21 PDT 2015 --  org lain pun ada discussion dik. kau mengilai mcm hanat bengang tak @fiyazahari
Sat Aug 22 07:43:01 PDT 2015 --  Berada di tempat kedua, @FAPahang dan @FASelangorMy di tempat ketiga carta #MSL2015. #KamiTeamMalaysia
Sat Aug 22 07:41:56 PDT 2015 --  Pasukan Johor Darul Ta'zim berjaya mengekalkan takhta sebagai JUARA Liga Super musim ini! #KamiTeamMalaysia
Sat Aug 22 07:41:11 PDT 2015 --  buat assignment pun memekak ke budak budak ni
Fri Aug 21 21:14:54 PDT 2015 --  rindu mummy daddy lahhh !
Fri Aug 21 20:51:56 PDT 2015 --  According to a survey, men can listen to their male friends for ages, but he can only listen to his girlfriend or wife for six minutes.
Fri Aug 21 13:00:02 PDT 2015 --  I'm shy at first but... I do the stupidest random shit when I get comfortable with someone.
Tue Aug 11 10:05:30 PDT 2015 --  Andai lelaki tahu perempuan tu macam mana pic.twitter.com/E9gHp3Rti4
Mon Aug 17 23:08:13 PDT 2015 --  ! tak boleh pakai memasing
Mon Aug 17 18:40:08 PDT 2015 --  Bercakap itu lebih baik daripada diam, tapi diam itu lebih baik daripada bercakap perkara yang merapu.
Mon Aug 17 19:02:57 PDT 2015 --  Apa ada pada mencarut? Sekadar mempaparkan apa yang ada di dalam telah mereput. Muhasabah.
Mon May 11 02:07:36 PDT 2015 --  Your wives are your partners not your servants. Nabi ﷺ said; Beware! I advise you to treat your women kindly. pic.twitter.com/fHMsE9u89b
Mon Aug 17 08:34:17 PDT 2015 --  https://twitter.com/Harrods/status/633296763718402048 …
Mon Aug 17 08:24:32 PDT 2015 --  puaka
