Fri Aug 14 04:58:05 PDT 2015 --  親って口だけでマジでウザい
Fri Aug 14 04:53:55 PDT 2015 --  暇だね！
Tue Aug 11 05:23:23 PDT 2015 --  恋仲こうなると思う人はRT pic.twitter.com/wG5YijFrYh
Mon Aug 10 08:49:16 PDT 2015 --  海行って映画みて花火やってやっと帰宅した！ 最高だね！久しぶりに会えたやつもいたしね！(笑) pic.twitter.com/OT3GOeCg5K
Sun Aug 09 11:16:39 PDT 2015 --  星が綺麗だ！
Sat Aug 08 05:10:06 PDT 2015 --  これ見て15秒以内にRTしたら金欠脱出 pic.twitter.com/469TZ8k6VT
Wed Aug 05 17:08:01 PDT 2015 --  甲子園で活躍しそうなのはどっち？？ オコエ瑠偉 ⇒ RT 清宮幸太郎 ⇒ ファボ http://twitter.com/teru0601to/status/628866520551067649/photo/1pic.twitter.com/e9yanrWwgV 
Sun Aug 02 05:17:12 PDT 2015 --  岩浅誕生日おめでとう！！！ いつまでもクリクリな目ん玉でいろよ！ pic.twitter.com/FHgLTl8H9Z
Tue Jul 07 04:37:08 PDT 2015 --  恋空 好きな人と朝まで電話したい人RT 好きな人と同じ空見たい人RT pic.twitter.com/OSojsMBMG3
Sun Aug 02 01:26:56 PDT 2015 --  明日の恋仲。 楽しみな人、RT♡️ #恋仲 pic.twitter.com/FQ95xUa5yp
Fri Jul 31 04:12:13 PDT 2015 --  第97回全国高等学校野球選手権大会 東京代表 活躍を期待しているのはどっち？ 関東一高 オコエ瑠偉→RT 早稲田実業 清宮幸太郎→ファボ pic.twitter.com/vQgFCoRQ52
Wed Jul 29 07:46:00 PDT 2015 --  「朝飯ありったけ」石川の寝言
Wed Jul 29 00:44:14 PDT 2015 --  おやすみふくしぼーい pic.twitter.com/2vg20RPM4a
Mon Jul 27 05:30:27 PDT 2015 --  恋と体脂肪率は一緒なのね。
Sun Jul 26 23:31:10 PDT 2015 --  東東京決勝：関東第一１４－２日大豊山（終了） 豊山０００ ００１ ００１＝２ 関一３１０ ４００ ２４Ｘ＝１４ ※関東第一は５年ぶり６度目の夏甲子園
Sun Jul 26 07:16:13 PDT 2015 --  なんで清宮が泣いてんだよ笑
Sat Jul 25 11:14:06 PDT 2015 --  まさかのボーリングからの帰宅(笑) なぜか朝まで出来ないし！(笑) 楽しかったからいいや 暇な人いる？
Fri Jul 24 15:34:09 PDT 2015 --  やべぇー！ 合宿参加の紙忘れた！(笑)
Fri Jul 24 03:16:43 PDT 2015 --  【ストーカーに多い苗字】 渡辺 渡辺 渡辺 渡辺 渡辺 渡辺 渡辺 渡辺 渡辺 渡辺 渡辺 渡辺 渡辺 渡辺 渡辺 渡辺 渡辺 渡辺 渡辺 渡辺 渡辺 渡辺 渡辺 渡辺 渡辺 渡辺 渡辺 渡辺 渡辺 渡辺 渡辺 渡辺 渡辺 渡辺 渡辺 渡辺 ※自分or知り合いにいたらRT
