Sun Aug 16 17:25:48 PDT 2015 --  GO PLL GO PLL GO PLL! YOU DESERVE IT! #PLL @ABCFpll @TeenChoiceFOX
Mon Aug 17 08:53:48 PDT 2015 --  These beauties last night! #PLL #TeenChoiceAwards pic.twitter.com/UThPEcz991
Sun Aug 16 12:47:49 PDT 2015 --  Stripes in Seaside, FL! Wearing the perfect beach dress! #HelloGorgeous #LillyPulitzer #30A http://www.angelalanter.com/2015/08/stripes-in-seaside.html … pic.twitter.com/6PSBOPqONW
Sun Aug 16 12:15:14 PDT 2015 --  True… #PrettyLittleLiars pic.twitter.com/Bikqmh5CLO
Sun Aug 16 04:18:18 PDT 2015 --  Harris J - Salam Alaikum | Official Music Video By far the best song from awakening records @HarrisJOfficial 🏼 http://youtu.be/u_-McEvEGvI 
Sat Aug 15 20:55:55 PDT 2015 --  #OnceUponATime: Watch the Season 5 Premiere's Opening Scene http://thr.cm/57wj7y  #OUAT pic.twitter.com/c1vJhR2MRi
Sun Aug 16 00:12:14 PDT 2015 --  Someone definitely recorded me singing Chicken Fried at karaoke in the French Quarter. Nailed it. Hard.
Sun Aug 16 00:08:05 PDT 2015 --  Legs legs legs (I look like the cover of a girl group album) https://instagram.com/p/6b3A0PJmK3/ 
Tue Aug 11 17:13:50 PDT 2015 --  U guys know that I'm A right? Ask @lucyhale
Sat Aug 15 20:11:45 PDT 2015 --  What is your favourite fruit? (Mine is pineapple (even tho I'm a little allergic) / Orange / Mango)
Sat Aug 15 21:23:18 PDT 2015 --  Beautiful ladies @LanaParrilla @ginnygoodwin https://twitter.com/onceabc/status/632701882197082113 …
Sat Aug 15 21:23:22 PDT 2015 --  Happy Birthday #JenniferLawrence !
