Thu Aug 27 16:37:17 PDT 2015 --  I'm hanging out with my cousin listening to Katy Perry music
Mon Aug 24 20:42:34 PDT 2015 --  ‘Teen Wolf’ Finale Recap: [SPOILER] Dies At The Hands Of Theo http://hollywoodlife.com/2015/08/24/teen-wolf-scott-dies-season-5a-finale-recap/ … via @Hollywoodlife
Fri Aug 21 02:23:51 PDT 2015 --  Sofia Carson - Rotten to the Core (From "Descenda…: https://youtu.be/-kv66hKVU34  @SofiaCarson
Mon Feb 02 10:41:17 PST 2015 --  Me and Miele @Miele_Lynphea_ & Bloom and Daphne #sisters #forever pic.twitter.com/jv0H9X0rjh
Fri Jul 17 09:18:30 PDT 2015 --  Me VS guitar . Who will win fav for me RT For guitar. pic.twitter.com/YceJDtOlmr
Fri Jul 17 09:21:06 PDT 2015 --  Me couture i love this pic. Am pretty . fav and Rt if yes tnx pic.twitter.com/IFvyVJpW8E
Thu Aug 13 13:19:07 PDT 2015 --  RT if you want Musa and Riven to get Back Together #WinxClub
Tue Aug 04 18:04:28 PDT 2015 --  RT if you are ready to come #FacetoFace with A next Tuesday at 8/7c! #PLL https://amp.twimg.com/v/67c07b67-9e03-4915-bd43-709dece42ac9 …
Sun Aug 02 10:11:42 PDT 2015 --  RT FOR THE BOYS! #MTVHottest one direction pic.twitter.com/RE83qKyD1z
Wed Jul 15 13:00:14 PDT 2015 --  Silento- Watch Me (Whip/Nae Nae) #WatchMeDanceOn: https://youtu.be/uBWrpVrazzA  This Is So Adorable You Have To watch this
Thu Jun 11 04:58:05 PDT 2015 --  #RT for #Emison #Fav for #Paily pic.twitter.com/NTZQBDMjX2
Tue Jun 02 20:09:24 PDT 2015 --  Can't wait for Teen Wolf #TeenWolf #TeenWolfSeason5
Tue Jun 02 19:58:12 PDT 2015 --  Can't wait for #DisneyDescendants So Excited #BestSummerEver @DoveCameron @TheCameronBoyce @booboostewart @KChenoweth
Tue Jun 02 18:54:37 PDT 2015 --  RT if you saw #PrettyLittleLiars tonight
Tue Jun 02 18:15:06 PDT 2015 --  Let's torch this place ! #SummerOfAnswers @ABCFpll pic.twitter.com/SHwLwB0TZk
Tue Jun 02 18:27:35 PDT 2015 --  #PrettyLittleLiars That was a awesome episode ever #PrettyLittleLiarsSeasonSix #SummerOfAnswers @imarleneking @ABCFpll @ABCFpll
Tue Jun 02 15:48:01 PDT 2015 --  RT if you'll be watching PLL with us TONIGHT at 8/7c on ABC Family! #SummerOfAnswers pic.twitter.com/RNBFcipIWz
Tue Mar 17 17:41:11 PDT 2015 --  RT if you love #Spoby! #PLL pic.twitter.com/dMugZIWAyU
Tue Mar 03 16:59:58 PST 2015 --  RT if you're watching the new episode of Pretty Little Liars RIGHT NOW! #PLLSocialHour pic.twitter.com/aFVMFhqWjO
Mon Dec 08 10:34:55 PST 2014 --  " @irederober: @ENews #HottieOfTheWeek #bigtimerush OMG!!! I LOVE THAT PICTURE!!! pic.twitter.com/4TTvKMqJKk"
Thu Dec 04 02:00:05 PST 2014 --  RT if you like R5 pic.twitter.com/Gdp93E0hrl
