Sat Apr 25 03:47:01 PDT 2015 --  NISKA n'a pas percé nan bébé...
Sat Apr 11 06:42:39 PDT 2015 --  Fuites sur la PlayStation 5 et GTA VI - Post de hepiq http://bit.ly/1DvqWfy  pic.twitter.com/BQnaEchBkt
Wed Apr 08 04:22:18 PDT 2015 --  Aujourd'hui oublier quelqu'un c'est trop difficile, il faut le supprimer de Facebook, Twitter, Instagram, etc... Mieux vaut le tuer
Fri Apr 03 02:10:51 PDT 2015 --  Wesh Paul tu as combien de Facebook? @paulfaure85 Joyeux Anniversaireee toi, Profite!!
Wed Mar 11 07:44:50 PDT 2015 --  Let's Smoke RT To Pass The Twitter Blunt PUFF PUFF PASS pic.twitter.com/TZhxIv7t1Y
Sun Mar 29 03:15:38 PDT 2015 --  Douma Kalash x Cahiips - c'est facile sa donne la force avant le match
Tue Mar 24 10:16:01 PDT 2015 --  Ils veulent tous fais semblant d'avoir des millions,les gens sont prêts a portés des contrefacons pour faire comme s'ils etaient riche
Wed Oct 08 22:24:33 PDT 2014 --  Les Qataris offre tout au PSG, mais pas les déplacements & l'amour du maillot la #TeamPSG ? #TeamOM #AntiPSG #QSG pic.twitter.com/rAKJKjhoS5”
Tue Mar 17 08:04:02 PDT 2015 --  Trop de zoulous qui font les lions sur Twiter, en vrai c'est des kagnas... #OnVousTrompe #AyDoulLeu #CeSontDesNarrateurs..
Tue Mar 17 00:27:35 PDT 2015 --  Petit message à la Dk team n'oubliez pas que Douma Kalash n'était pas présent l'hors du tournage du clip suite à... http://fb.me/59eHOPYxa 
Mon Mar 02 10:12:35 PST 2015 --  pic.twitter.com/CP8eBb4MLU
Sat Mar 07 16:36:09 PST 2015 --  Sheguey squad #Team221 pic.twitter.com/E0Ls7eXimX
Tue Mar 03 10:43:59 PST 2015 --  2015 Tu va leur cassé le cul sur la tête de ma remé #FreeDoumakalash
Sat Feb 28 15:15:39 PST 2015 --  Sheguey Squad #Chicha oklm pic.twitter.com/pK0Gzgl9D3
