Tue Jul 28 20:30:07 PDT 2015 --  I HEARD YOU WERE TALKING SHIT pic.twitter.com/EN2fQrF3yU
Wed Jul 29 19:35:58 PDT 2015 --  7th grade breakup pic.twitter.com/uYYoSDWiSc
Tue Jul 14 17:17:45 PDT 2015 --  This is crazy https://vine.co/v/er7DAEFlZjp 
Tue Jul 21 11:55:31 PDT 2015 --  Psychologically, one of the most devastating things in life is when someone you care about gives up on you.
Tue Jul 14 14:39:10 PDT 2015 --  These turtles have got it going on pic.twitter.com/ERTvoLe5SR
Sun Oct 12 07:39:56 PDT 2014 --  10 WEEKENDS BEFORE CHRISTMAS
Sat Aug 02 07:38:00 PDT 2014 --  “ @TheComedyHumor: when ur mom tells u to wash the dishes pic.twitter.com/EkP36B9MEU” @destanimccawley
Wed Jul 30 15:51:23 PDT 2014 --  Hanna Marin and I are the same pic.twitter.com/IwJVBWSDzn
Thu Jul 24 16:11:50 PDT 2014 --  This is me all day pic.twitter.com/4riYaBaI1R
Thu Jul 17 10:10:08 PDT 2014 --  I haven't had one of these in years. pic.twitter.com/c9tTUr5e39
Fri Jul 11 10:37:20 PDT 2014 --  parents: you do realize one day you will have to pay for all your own things me: yes but today is not that day
Wed Jul 09 12:11:28 PDT 2014 --  "wow, u are so short" pic.twitter.com/lt3P9bTqGl
Tue Jul 08 06:26:07 PDT 2014 --  I’m 17 and somehow still able to lose my mom in a supermarket
Tue Jul 08 07:15:10 PDT 2014 --  Favorite part of The Notebook 12: pic.twitter.com/mZ1Df5oo53
Sun Jul 06 19:07:34 PDT 2014 --  all i want in life is - fast wifi - fast metabolism - fast food - fast shipping
Fri Jun 27 16:44:39 PDT 2014 --  "that's the thing about food, it demands to be eaten" -the fault in our diets
Wed May 21 18:56:55 PDT 2014 --  If you already know someone is taken, please respect their relationship. Don't be the reason they end up single.
Sun May 11 19:00:18 PDT 2014 --  Me every weekend. pic.twitter.com/iO2occnmdj
Fri Apr 18 20:18:10 PDT 2014 --  me: why am i still single brain: youre weird as hell body: and youre fat face: plus youre ugly food: but im here for you
Sun Apr 06 22:32:19 PDT 2014 --  RELATIONSHIP STATUS: single in a relationship married engaged divorced EATING
Sat Mar 29 07:34:36 PDT 2014 --  me in class pic.twitter.com/aetEyFg2BB
