Sun Jul 05 06:33:57 PDT 2015 --  #valoresdechile los profesores no son capaces de escribir una comunicación sin faltas de ortografía
Tue Jun 30 06:43:55 PDT 2015 --  Buenos Días a Todos http://www.tvn.cl/programas/buenosdiasatodos/deberían … sacar a la Karen hasta cuando vamos a financiar alMEO?
Sun Jun 21 06:35:01 PDT 2015 --  Buena discusión
Sun Jun 21 06:32:20 PDT 2015 --  #valoresdechile de felicitaciones por el programa
Wed Apr 22 07:05:39 PDT 2015 --  Por la ley invocada debo recibir notificaciones multas transito de la propietaria anterior. No tengo comunicación con ella. Que hago?
Wed Sep 10 17:44:48 PDT 2014 --  " @AhNoticiasMega: Filtran 5 millones de cuentas y contraseñas de Gmail: Revisa aquí si fuiste hackeado http://www.ahoranoticias.cl/share/?TTCCdC "//
Mon Jul 14 15:04:56 PDT 2014 --  Diario Constitucional http://www.diarioconstitucional.cl/noticias/accion-de-proteccion/2014/07/04/cs-confirmo-sentencia-y-acoge-proteccion-contra-universidad-que-nego-iniciar-tramites-de-titulacion-por-deuda/ … vía @DiarioConst
Thu Jan 23 08:55:09 PST 2014 --  Estoy viendo la señal en vivo de la "La Red". http://www.lared.cl/online/ ¿Como pueden tener a Coloma en pantalla? Puros resentidos, de miedo
Thu Jan 23 08:53:39 PST 2014 --  Estoy viendo la señal en vivo de la "La Red". http://www.lared.cl/online/ 
Mon Nov 25 07:45:09 PST 2013 --  Estoy viendo la señal en vivo de la "La Red". http://www.lared.cl/online/no  contestan el telefono. 22255071, llamenme
Mon Nov 25 07:44:24 PST 2013 --  Estoy viendo la señal en vivo de la "La Red". http://www.lared.cl/online/ 
Thu Oct 27 07:58:30 PDT 2011 --  @juantrucha seguro que despues de esta delicadeza encuentras pega
Thu Oct 27 07:56:23 PDT 2011 --  @sebastianpirana maricon es el que.......... escondido en una ofensa para "identificarse" y disparar otra ofensa
Thu Oct 27 07:39:52 PDT 2011 --  @Carabdechile Todo mi apoyo en las demandas a parlamentarios. No se dejen amedrentar y tampoco ningunear. GRACIAS por todo lo que hacen
Thu Oct 27 07:25:33 PDT 2011 --  @SoledadOnetto Que preocupante, esto no se va a resolver suave
Mon Oct 24 17:37:05 PDT 2011 --  @latorrediputado que nivel de reaccion, impresionante conducta "democrata"
Mon Oct 24 17:35:17 PDT 2011 --  @latorrediputado ¿porque en los videos se ve otra conducta?
Mon Oct 24 17:34:32 PDT 2011 --  @latorrediputado preocupante conducta de los "honorables". ¿Sera ese el lugar del dialogo? o actualmente es un lugar para los empujones?
Fri Oct 21 07:53:39 PDT 2011 --  http://www. @caroladurocher
Fri Oct 21 07:21:39 PDT 2011 --  @JPQueralto Interesante saber si la Iglesia otorga nulidad Neira-Diaz, abierta contradiccion con sus declaraciones post ceremonia.
Fri Oct 21 06:46:42 PDT 2011 --  @maylwino Por favor en honor a nuestros antepasados democratas no avalen esto. ¿tendremos que volver a comprar maiz?
Fri Oct 21 06:44:05 PDT 2011 --  @GAscencio la agresion es agresion, no necesariamente fisica, La violencia puede ser tanto fisica, sicologica, economica o sexual. OJO
Fri Oct 21 06:41:10 PDT 2011 --  @ignaciowalker ¿y no le causa extrañeza que un diputado insulte y agreda a una carabinera? ¿y sus derechos?
Fri Oct 21 06:24:33 PDT 2011 --  @alvarez_monse ¿como no ven el peligro de respaldar estas acciones? que irresponsable
Fri Oct 21 06:23:39 PDT 2011 --  @alvarez_monse @polo_ramirez ¿como no ven el peligro de respaldar estas acciones? que irresponsables
Wed Oct 05 14:48:20 PDT 2011 --  #TT
