Sat Aug 29 02:14:49 PDT 2015 --  The power of UNITY! #ALDUBMaiDenHeaven pic.twitter.com/2OE4nf3oOs
Sat Aug 29 02:13:46 PDT 2015 --  Asan pala si VP @allanklownz naka miss yun pag tutukso nya Kay @mainedcm #ALDUBMaiDenHeaven
Sat Aug 29 02:15:35 PDT 2015 --  Throwback muna tayo! Pampagood vibes! ^^ #ALDUBMaiDenHeaven pic.twitter.com/Gq1o5cu0dw
Sat Aug 29 02:17:43 PDT 2015 --  We don't lose friends, we just learn who our real ones are. #ALDUBMaiDenHeaven
Sat Aug 29 02:18:16 PDT 2015 --  TAMA!! #ALDUBMaiDenHeaven https://twitter.com/SenyoritaTidora/status/637553834106077184 …
Sat Aug 29 02:12:18 PDT 2015 --  SI YAYA TULOG SA UNAN NI ALDEN, TAPOS YUNG UNAN NA BINIGAY SA AKIN NI ALDEN AMOY LAWAY NIYA, #ALDUBMaiDenHeaven
Sat Aug 29 02:11:36 PDT 2015 --  UPDATE: two point Three Two MILLION TWEETS about #ALDUBMaiDenHeaven
Sat Aug 29 02:19:37 PDT 2015 --  Dahil dyan ALDUB YOU PO! #ALDUBMaiDenHeaven https://twitter.com/gagay_rose/status/637554384436527104 …
Sat Aug 29 02:09:20 PDT 2015 --  YEAH!!!! TRUE!! #ALDUBMaiDenHeaven https://twitter.com/SenyoritaTidora/status/637549901677658112 …
Sat Aug 29 02:22:24 PDT 2015 --  GRABE PINAKAMAEFFORT NA LOVETEAM EVER! ALDUB IS THE BEST!! #ALDUBMaiDenHeaven
Sat Aug 29 01:48:55 PDT 2015 --  Kaloka talaga tong si Lola! #ALDUBMaiDenHeaven https://twitter.com/AkoSiLolaNidora/status/637544886007234560 …
Sat Aug 29 01:52:14 PDT 2015 --  Heart heart ni bae alden kgbi. #ALDUBMaiDenHeaven pic.twitter.com/hFEMpW5IAw
Sat Aug 29 02:03:15 PDT 2015 --  UPNOW at MARQUEE MALL, PAMPANGA. #ALDUBMaiDenHeaven pic.twitter.com/kWhdOR6y2j
Fri Aug 28 23:53:21 PDT 2015 --  PURO KAYO HOPIA!TUWANG TUWA NMAN KAYO SA WETLOOK NI BAE!LOL WALANG HOPIA!!! @aldenrichards02 @AlDubarkads @allanklownz #ALDUBMaiDenHeaven
Fri Aug 28 23:34:43 PDT 2015 --  ANG SAKIT MAHOPIA! Bakit nman ganun? HAHA. Pero iba tlga kyo! Sna malapit na ang TAMANG PANAHON! #ALDUBMaiDenHeaven https://twitter.com/SastreBarbara/status/637513273726795776 …
Sat Aug 29 00:49:26 PDT 2015 --  NAKU ALDEN YUNG LAING BAKIT MAS MARAMI PA SILI KESA SA GULAY #ALDUBMaiDenHeaven
Fri Aug 28 23:46:51 PDT 2015 --  Paglalanguyin ko sa PACIFIC OCEAN ang magsabi ng dissapointed! #ALDUBMaiDenHeaven
Fri Aug 28 23:46:57 PDT 2015 --  Hello guys kung tunay kayong ka aldub walang maiinip walang magsasawa dapat maghintay tau sa tamang panahon sabe ni lola #ALDUBMaiDenHeaven
Fri Aug 28 23:17:25 PDT 2015 --  YEHEY NAGTAGUMPAY SI BAE ALDEN SA HAMON NI LOLA. #ALDUBMaiDenHeaven
Fri Aug 28 22:57:34 PDT 2015 --  Secret hihi RT @raeleykean: Ang gwapo mo ngayon paps @sam_yg inspired ka ba sa opening number kanina? #ALDUBMaiDenHeaven
Fri Aug 28 22:45:21 PDT 2015 --  @michaelbitoygma! Idol. Love ka namin dto sa bicol sorsogon! Ang data ni lola iba location #ALDUBMaiDenHeaven
Fri Aug 28 22:58:31 PDT 2015 --  Busog na ko sa HOPIA! Haha #ALDUBMaiDenHeaven https://twitter.com/aldubdubai/status/637503969967779841 …
Fri Aug 28 22:42:59 PDT 2015 --  SOMEDAY. HART HART! #ALDUBMaiDenHeaven pic.twitter.com/HDsG9oMJhb
Fri Aug 28 22:42:46 PDT 2015 --  WALANG SINUMAN ANG NAKAKAALAM KUNG ANO ANG MANGYAYARI MALIBAN SA MGA STAFF NG EB! #ALDUBMaiDenHeaven
Fri Aug 28 22:43:13 PDT 2015 --  Spread this!Haha. We hope too! https://twitter.com/FrankieArinolli/status/637500127276503040 …
Fri Aug 28 22:43:08 PDT 2015 --  Backstage CTTO #ALDUBMaiDenHeaven pic.twitter.com/MAOLYHnUNU
Fri Aug 28 22:42:28 PDT 2015 --  ganda nman ng idea mo lolo #ALDUBMaiDenHeaven https://twitter.com/FrankieArinolli/status/637500127276503040 …
Fri Aug 28 22:41:52 PDT 2015 --  @dopamine_drip @officialaldub16 @RealisticIRON @AlDubBatangas LIVE STREAMING!! Enjoy. http://www.ustream.tv/channel/aldub-live … #ALDUBMaiDenHeaven
Fri Aug 28 22:40:33 PDT 2015 --  @IamSuperYsh kahit stolen oh... #ALDUBMaiDenHeaven @aldenrichards02 @officialaldub16 pic.twitter.com/RIvNmuchGs
Fri Aug 28 22:41:42 PDT 2015 --  Nasa Sta. Cruz Manila talaga sila ayon kay Ryan. Ang tanong Nasaan si LOLa NIDORA? #ALDUBMaiDenHeaven
Fri Aug 28 22:41:24 PDT 2015 --  HOPIA BA ? LET SEE #ALDUBMaiDenHeaven
Fri Aug 28 22:40:52 PDT 2015 --  MAGKIKITA NA KAYA SI MAINE AT ALDEN NGAYON?!ABANGAN...HAHAHAHA! #ALDUBMaiDenHeaven
Fri Aug 28 22:38:17 PDT 2015 --  #ALDUBMaiDenHeaven Laban! pic.twitter.com/CRUvIFG71R
Fri Aug 28 22:38:41 PDT 2015 --  Paki ingatan si Bae mga Rogelio's #ALDUBMaiDenHeaven pic.twitter.com/d1HYDKA8qu
Fri Aug 28 22:38:45 PDT 2015 --  Sa reaksyon ni yaya today! Parang nanghuhula siya sa mangyayari. Pagmasdan niyo. #ALDUBMaiDenHeaven
Fri Aug 28 22:38:54 PDT 2015 --  Kulit kulit #ALDUBMaiDenHeaven pic.twitter.com/KKb0lGgXfc
Fri Aug 28 22:37:57 PDT 2015 --  Mga kinginang Rogelios na yan oooh... Hahaha #ALDUBMaiDenHeaven pic.twitter.com/lLEb3K7sj0
Fri Aug 28 22:32:04 PDT 2015 --  Wala ata aldub Ngayon ! MAIDEN ang nsa screen Ngyon haha #ALDUBMaiDenHeaven
Fri Aug 28 22:32:21 PDT 2015 --  YIIEEEE ANG LAING AT PINANGAT! hihi #ALDUBMaiDenHeaven
Fri Aug 28 22:30:54 PDT 2015 --  Nagtatago si Lola Ni Dora haha #ALDUBMaiDenHeaven
Fri Aug 28 22:30:35 PDT 2015 --  Nasaan kaya si Lola Nidora? #ALDUBMaiDenHeaven pic.twitter.com/I3CUhQatZB
Fri Aug 28 22:30:41 PDT 2015 --  Wag niyo naman nilalason ang utak ni yaya-Lola nidora #ALDUBMaiDenHeaven
Fri Aug 28 22:25:27 PDT 2015 --  Anjan na si Maine!!!! #ALDUBMaiDenHeaven
Fri Aug 28 22:25:38 PDT 2015 --  YAYA!! WE MISS YOU! HAHAHA #ALDUBMaiDenHeaven
Fri Aug 28 22:25:39 PDT 2015 --  Ayan na si Yaya dub ! #ALDUBMaiDenHeaven
Fri Aug 28 22:26:46 PDT 2015 --  Pogi talaga ni Bae!!! #ALDUBMaiDenHeaven
Fri Aug 28 22:27:00 PDT 2015 --  Kiniklig si Yaya Dub ! Este maine ppala ! Hahaha #ALDUBMaiDenHeaven
Fri Aug 28 22:27:25 PDT 2015 --  Wala ba si Lola Nidora Ngyon ? #ALDUBMaiDenHeaven
