Fri Aug 28 22:43:21 PDT 2015 --  tbt to the one time a guy pulled the naked man on me
Sun Aug 23 09:27:04 PDT 2015 --  "Slut" is attacking a women's right to say yes. "Friend zone" is attacking a woman's right now say no
Thu Aug 20 16:48:44 PDT 2015 --  everyday pic.twitter.com/odCBIWwryx
Sat Aug 15 23:52:18 PDT 2015 --  I think @laurenlaparl 's dog is mad at me and that is definitely keeping me up right now. Like I just wanna be friends, Tan.
Tue Aug 11 16:31:59 PDT 2015 --  My mom told me that as a child I had to stand up in front of my church & say what I was thankful for. Apparently, I said french fries.
Thu Aug 06 15:04:43 PDT 2015 --  Friends in Ann Arbor: come over, say goodbye to me, & watch me try to pack while I drown my sorrows in all the wine left in my fridge
Tue Aug 04 15:06:52 PDT 2015 --  What is the opposite of #SquadGoals pic.twitter.com/v50cpKAJK5
Thu Jul 30 20:26:43 PDT 2015 --  #MeekThatsWeak
Wed Jul 29 09:34:53 PDT 2015 --  Is it inappropriate to pack a snack for a 3-hour interview? I mean that's a really long time to go without a snack! .... asking for a friend
Mon Jul 27 19:15:08 PDT 2015 --  There's a spider that lives in our sink and we're too afraid to kill him so we named him Harold and now I leave little snacks for him.
Sun Jul 26 08:27:27 PDT 2015 --  IDFWU pic.twitter.com/bXhJ1sJCGm
Thu Jul 23 06:47:35 PDT 2015 --  Happy #NationalHotDogDay! pic.twitter.com/rVOjrzOh1r
Wed Jul 22 18:47:08 PDT 2015 --  MY PARENTS GOT WEENIE PUPPIES!! Meet the newest members of the Hatch House pic.twitter.com/eo7k6iPgmv
Fri Jul 17 19:30:13 PDT 2015 --  "My house has air conditioning" -my pickup line for the night
Thu Jul 16 09:36:57 PDT 2015 --  I won’t stop until every meal I eat ends like the Bruce scene from Matilda
Sun Jul 12 14:24:32 PDT 2015 --  HBD HOTTIE @Nat_Shaffer pic.twitter.com/CiySLU2doJ
Sun Jul 12 01:24:30 PDT 2015 --  looking to un-invite everyone from post game popcorn
Sat Jul 11 13:38:54 PDT 2015 --  FaceTiming our favorite pic.twitter.com/wpxsIl3nmU
Fri Jul 10 21:05:46 PDT 2015 --  Someone proposed at the Jug and she said YES! WHAT IS HAPPENING
