Fri Aug 28 01:05:07 PDT 2015 --  Just heard someone tut in a lift. Made me smile after watching #VeryBritishProblems.
Thu Aug 27 13:49:35 PDT 2015 --  So pleased can finally talk about #strictly. So excited but all the has left my feet v sore! #strictly
Thu Aug 27 05:44:07 PDT 2015 --  England have announced their squad for #RWC2015 http://ow.ly/RrxJT  #Carrythemhome pic.twitter.com/F35BHKnWRE
Wed Aug 26 07:57:31 PDT 2015 --  Happy birthday @angelaeileen - hope @mattletiss7 is spoiling you. Have a lovely day x
Tue Aug 25 06:02:56 PDT 2015 --  CONGRATULATIONS @GregJRutherford - you did it! Olympic, European, Commonwealth & now WORLD CHAMPION! @MCSaatchiMerlin are very proud!
Fri Aug 21 11:00:40 PDT 2015 --  Book your child a place on our Final Week, Online! 5-12 Yrs. FUN!!!http://www.mltnaturalcoaching.com/soccer-schools-feb.html … @mattletiss7 (2/2) pic.twitter.com/XMy2W5u4VV
Mon Aug 24 13:46:55 PDT 2015 --  Good luck @GregJRutherford for tomorrow's long jump @BritAthletics #WorldChampionships
Sat Aug 15 05:47:08 PDT 2015 --  #newburystyle #hollaforadollar pic.twitter.com/t6TEtttlpt
Sat Aug 15 01:04:56 PDT 2015 --  Wonderful eve hosting great Sir Alex Ferguson's charity dinner, we broke the target on money raised, thank you! pic.twitter.com/eNsLIHcWQK
Sat Aug 15 01:07:15 PDT 2015 --  Very excited for the @NewburyRacing today. #bhamreunion #classof2010
Thu Aug 13 03:33:38 PDT 2015 --  Cannot believe it was 9 (& 8..) years ago that I went through the worry & apprehension of receiving my #Alevelresults #goodluckeveryone
Wed Aug 12 13:46:53 PDT 2015 --  IT'S BACK FOR ITS 45TH SERIES! Tune into @BBCOne at 10.40pm for an Ashes-themed @QuestionofSport with @matt9dawson @philtufnell & Sue Barker
Sun Aug 02 08:53:01 PDT 2015 --  So sad to hear about Cilla Black.A national treasure & fantastic host who holds some of my favourite childhood memories #BlindDate #RIPCilla
Wed Jul 29 13:56:59 PDT 2015 --  What's wrong with rice?! I love the stuff! https://twitter.com/lyndseystweets/status/624666342986248192 …
Fri Jul 24 12:46:28 PDT 2015 --  At an audience with @JamesCracknell & Stuart Pearce hosted by @MartinBayfield ... Great evening..Three brilliant speakers @KiaOvalEvents
Fri Jul 24 07:48:54 PDT 2015 --  Why would an @AddisonLeeCabs drive by Trafalgar Square on a Friday?! #eventtoorganise #getmetherequick
Mon Jul 20 07:18:38 PDT 2015 --  Delighted to announce our new Athlete Management division with new clients @JohnsonThompson @GregJRutherford @shakesdrayton @JodieAlicia27!
Sun Jul 12 09:18:12 PDT 2015 --  What an unbelievably exciting #mensfinal at @Wimbledon ! Thank you @AndrewCastle63 for the brilliant commentary. We are gripped! #Wimbledon
Thu Jul 09 09:09:54 PDT 2015 --  Incredible afternoon at @pixlclub celebration 2015 Watched some memorable performances and inspired acts. pic.twitter.com/9St9gazGCu
Thu Jul 09 02:20:51 PDT 2015 --  Why do some people continuously stroke their own hair as if they're a soft animal?! #irritating
Tue Jul 07 14:13:55 PDT 2015 --  @rachelbaxter88 @mattletiss7 thanks Rachel you are a star
Fri Jul 03 03:25:40 PDT 2015 --  Glad to join you all on twitter
Fri Jul 03 10:54:36 PDT 2015 --  AMAZING: The greatest 'header-bin challenge' of all-time, courtesy of St. Johnstone. pic.twitter.com/sCq7gAjlyy
Fri Jul 03 15:23:26 PDT 2015 --  Where did that sudden downpour come from?! #weather #rain #fresh pic.twitter.com/Wih5AqEL3C
Fri Jul 03 07:32:26 PDT 2015 --  Regram annasophiemoore #mcsaatchimerlin #housefestival2015 #teamcorporate @ Marble Hill Park https://instagram.com/p/4rWkDxSq2d/ 
Fri Jul 03 04:15:31 PDT 2015 --  Great insight to the world of F1 with @JensonButton at #HondaUKHQ We wish him well this w/end. @McLarenF1 @Honda_UK pic.twitter.com/tBgLIx4JZj
Fri Jul 03 05:36:15 PDT 2015 --  Finally can announce that @MartinBayfield will be presenting the #WWRC2015 on @ITV4 in October #rugby #100daystogo pic.twitter.com/d7U0r0Fo4I
Fri Jul 03 04:47:42 PDT 2015 --  The beautiful @therealkirstyg hosting the St John's Ambulance Everyday Heroes Awards 2015… https://instagram.com/p/4rECM3Sq35/ 
Mon Jun 15 08:26:00 PDT 2015 --  Many thanks @MCSaatchiMerlin my new website looks great. Check it out http://mattletissier.co.uk  or don't if you're not fussed
Fri Jun 05 09:51:12 PDT 2015 --  You are very welcome. #fridaytreats https://twitter.com/perfartistes/status/606782202215583744 …
Wed Jun 03 22:06:55 PDT 2015 --  Ten years on Heart Breakfast! Thanks @EmmaBunton for the amazing surprise on the way to studio! #TenYearsOnHeart pic.twitter.com/2Dgw5T3Df3
Sat May 23 10:17:01 PDT 2015 --  54% of firstborns believe they are more responsible than their younger siblings, while 46% of younger siblings claim they are funnier.
Sat May 23 13:53:08 PDT 2015 --  When did Australia #AUS join the #EurovisionSongContest #confused
Sat May 23 12:21:30 PDT 2015 --  #PowerofFrozen @IcelandFoods where are the frozen vegetables?! Encouraging the obesity crisis...!
Thu May 14 11:08:22 PDT 2015 --  Thanks for all your kind words re the documentary had great fun making it @pat_davison not a bad interviewer either
Wed May 13 15:54:32 PDT 2015 --  @theRPA Awards with the great @MartinBayfield hosting. Congratulation @JonnyWilkinson for winning 'Hall of Fame'. pic.twitter.com/lemYInvUo4
Wed May 13 15:27:38 PDT 2015 --  Very excited for the @Marriott Rugby Sevens on Saturday after seeing Alex Gray win 'England Sevens Player of the Year' at @theRPA Awards '15
Mon May 11 03:20:46 PDT 2015 --  At Google's #zeitgeist15 with our very own @Mo_Farah on the power of optimism with @clarebalding pic.twitter.com/vHc9HV5iYM
Sun May 03 05:51:23 PDT 2015 --  @RealDeniseLewis answering audiences questions during her @BeFitLondon Q&A #ambassador #fitness #health pic.twitter.com/18IixwEwA5
Fri May 01 13:11:25 PDT 2015 --  Sterling performance from @MartinBayfield. Professionalism in the company of @IamAustinHealey @BenKay5 & @matt9dawson http://snpy.tv/1zzTTYy 
Fri May 01 05:45:40 PDT 2015 --  Great night at #BTSIA! Congrats to @mcsaatchisande on winning best sponsorship of team award! @02sports @englandrugby pic.twitter.com/BOvSsVmGrN
Sat Apr 25 04:29:25 PDT 2015 --  My heart goes out to all those affected by the earthquake in Nepal. @BBCWorld #NaturalDisaster
Thu Apr 23 15:16:17 PDT 2015 --  Great night with @LewisMoody7 raised a lot of cash for the @LewisMoodyFdn - couple of hours kip and then Heart Breakfast from 6am
Thu Apr 23 16:13:08 PDT 2015 --  Great evening @LewisMoody7 @LewisMoodyFdn - wonderful cause. @JamieTheakston great hosting.Lovely to meet @gregjames & your dad - top guys!
Thu Apr 23 16:06:14 PDT 2015 --  Great night for @LewisMoody7 @LewisMoodyFdn with @JamieTheakston @gregjames @rachelbaxter88
Tue Apr 14 09:20:47 PDT 2015 --  @flintoff11 @MCSaatchiMerlin whos the handsome chap bottom row 2nd along??
Tue Mar 31 03:00:17 PDT 2015 --  Passed my contestant audition for @C4Countdown . Be filming in autumn hope youve brushed up on the numbers @RachelRileyRR
