Fri Aug 28 23:23:54 PDT 2015 --  In Pics: Hurricane #Katrina: 9 then & now images of New Orleans http://ow.ly/RwKg5  pic.twitter.com/qY3bFVrScR
Mon Aug 24 09:52:45 PDT 2015 --  एक और यू टर्न BJP never promised ‘achhe din’, says Narendra Singh Tomar http://timesofindia.indiatimes.com/india/BJP-never-promised-achhe-din-says-Narendra-Singh-Tomar/articleshow/48657389.cms?utm_source=twitter.com&utm_medium=referral&utm_campaign=TOIIndiaNews … #Aap @DrKumarVishwas
Sat Aug 22 05:17:13 PDT 2015 --  Mani Shankar Aiyar at his best: "'Foreign policy cannot be left to a policeman like Ajit Doval'" http://www.catchnews.com/politics-news/indo-pak-fiasco-foreign-policy-cannot-be-left-to-a-policeman-like-ajit-doval-1440183986.html …
Sun Aug 23 09:25:13 PDT 2015 --  Someone asked me, what is the difference between an #Indian and a #Pakistan. This picture should do the job. pic.twitter.com/txm3GKDSdx
Fri Aug 21 04:30:17 PDT 2015 --  Heart-rending environmental repercussions of plastic use on marine life and birds. http://indiatoday.intoday.in/story/when-turtles-and-birds-choke-to-death-on-our-plastic-waste/1/460129.html … pic.twitter.com/Z9F4uOPKoU
Thu Aug 20 06:33:02 PDT 2015 --  HRD मिनिस्टर @smritiirani के लेटर हेड में ही हिंदी की गलतियां, टीचर ने दिखाया आइना http://www.bhaskar.com/news-ht/c-16-973333-ra0313-mistakes-in-hrd-minister-smriti-iranis-letterhead-NOR.html … pic.twitter.com/cjNGxcDu58
Wed Aug 19 11:39:04 PDT 2015 --  पार्टियों को #पैसा कहाँ से कोई जाने ना 59% of donations to five national parties from unknown sources: ADR http://www.business-standard.com/article/politics/59-of-donations-to-five-national-parties-from-unknown-sources-adr-115081900034_1.html#.VdTMjR89AYA.twitter …
Tue Aug 18 21:19:01 PDT 2015 --  BJP's @PiyushGoyal misled the public saying CAG can't audit Discoms. Why did he mislead the public? http://articles.economictimes.indiatimes.com/2015-02-01/news/58675773_1_cag-audit-piyush-goyal-power-discoms …
Tue Aug 18 19:23:03 PDT 2015 --  The main problem of our society is most of d people don't read, watch n think. They draw conclusions from Half baked TV debates n fight!
Tue Aug 18 08:40:41 PDT 2015 --  जब असली माउंटेन मैन @NitishKumar से मिलने पहुंचे तो उन्होंने अपनी कुर्सी पर मांझी जी को बैठाया. pic.twitter.com/m69RW03gXv
Tue Aug 18 08:44:57 PDT 2015 --  1960 to 1982 :: Dashrath Manjhi , Man who carved a Path through the Rocks in Gehlour Hill , Gaya, Bihar pic.twitter.com/JrNz1uIvzB
Tue Aug 18 08:45:13 PDT 2015 --  ये हज़ारों टन गंदगी रोज़ाना साफ़ करते हैं ताकि आप स्वस्थ रहें. http://bbc.in/1hKFOiI  pic.twitter.com/tf8YlBW2wI
Tue Aug 18 08:12:33 PDT 2015 --  #HappyBirthdayGulzar यादों की तह से एक पन्ना। pic.twitter.com/r1VNOTwiOI
Mon Aug 17 18:06:44 PDT 2015 --  "जो दावें सबूत के बिना किए जा सकते हैं वह सबूत के बिना ख़ारिज भी किए जा सकते हैं" - हिचेंस
Sat Aug 15 04:16:06 PDT 2015 --  You want a husband with a #Benz but your dad drives a #Toyota. Why can't you be more humble like your mother?
Mon Aug 17 03:45:14 PDT 2015 --  ED decides to close National Herald case citing technical reasons: CNN IBN pic.twitter.com/SmVH2ybjbY
Sat Aug 15 23:53:43 PDT 2015 --  There is a replica of @TajMahal in #Colombia, S. America- symbolises the love for #Taj across continents n seas pic.twitter.com/RUAH87Qi4a
Sat Aug 15 21:21:21 PDT 2015 --  Great endeavor. High time it was done. pic.twitter.com/MSWfdh9hrB
Sat Aug 15 12:22:44 PDT 2015 --  Happy birthday sir @ArvindKejriwal
