Fri Aug 28 10:13:43 PDT 2015 --  So THAT’s what you mean. @JustinBieber https://twitter.com/justinbieber/status/637226695292907520 …
Fri Aug 28 10:19:50 PDT 2015 --  We are FREAKING OUT over @justinbieber's brand new single, #WhatDoYouMean Who else is?! http://spoti.fi/1Ubfuja  https://amp.twimg.com/v/14acf01d-4ac9-4698-8891-fa4e2459d6fe …
Fri Aug 28 11:28:47 PDT 2015 --  you got the song & the lyric video. Now the #whatdoyoumean music video comes out on @vevo 11pm est on sun after #VMAs pic.twitter.com/MOIGdj1zKp
Fri Aug 28 11:42:50 PDT 2015 --  I'm overwhelmed, humbled, and grateful. I didn't know how you would all accept me. Thank you. #WhatDoYouMean thank you.
Fri Aug 28 13:17:30 PDT 2015 --  yep. new album coming november 13th. pre-order on my store to unlock the album art http://smarturl.it/justinshop  pic.twitter.com/LAX5nmoIaa
Fri Aug 28 03:14:16 PDT 2015 --  TODAY is the DAY! Tune in at 7:40 am ET to hear our exclusive interview with @justinbieber. #BieberonElvis
Fri Aug 28 04:34:17 PDT 2015 --  Finally!! get #whatdoyoumean on @applemusic now. Let's take it to the top!! Good to be back:) http://smarturl.it/iWDYM  pic.twitter.com/vWPrvmNMU4
Fri Aug 28 04:23:43 PDT 2015 --  @AppleMusic where r u now???? @iTunes ??? #WhatDoYouMean
Fri Aug 28 04:18:13 PDT 2015 --  #whatdoyoumean lyric video with the legend my boy @ryansheckler.. watch til end ;) @vevo http://smarturl.it/WDYMlv  pic.twitter.com/85bOxxyKcR
Fri Aug 28 04:03:47 PDT 2015 --  i'm back. #whatdoyoumean on @spotify now. http://smarturl.it/sWDYM  pic.twitter.com/U9vKVTaI8I
Fri Aug 28 04:10:12 PDT 2015 --  https://youtu.be/NywWB67Z7zQ  @justinbieber
Fri Aug 28 03:56:23 PDT 2015 --  It has always been about us. I love you. Here we go. #whatdoyoumean #5 minutes #mybeliebers pic.twitter.com/mYRIIaRU7E
Fri Aug 28 03:30:03 PDT 2015 --  #30minutes #WhatDoYouMean? pic.twitter.com/gxK6JgWSx5
Thu Aug 27 22:17:43 PDT 2015 --  #6HOURS #WhatDoYouMean? pic.twitter.com/kPL9bAefbC
Thu Aug 27 21:48:10 PDT 2015 --  Anyone else literally NOT sleeping because they're too excited for @justinbieber #WhatDoYouMean??
Thu Aug 27 21:00:14 PDT 2015 --  It's also going to be really important to stream the song! #WhatDoYouMean
Thu Aug 27 22:16:14 PDT 2015 --  @belieberbabes thanks
Thu Aug 27 20:51:37 PDT 2015 --  Are you ready? #7hours #WhatDoYouMean?
Thu Aug 27 19:55:59 PDT 2015 --  It all goes down in just a few short hours..... #BieberOnElvis airs TOMORROW at 7:40 AM ET with @elvisduran! pic.twitter.com/PZPOoiBVXk
Thu Aug 27 19:30:04 PDT 2015 --  ICYMI @justinbieber is coming. Tomorrow. 7:20a PST. Be there. #BieberOnSeacrest #WhatDoYouMean pic.twitter.com/OpPi6DoXMo
Thu Aug 27 08:34:53 PDT 2015 --  :) #1Day pic.twitter.com/r45LLP7NnQ
Thu Aug 27 09:05:46 PDT 2015 --  Everyone is ready. @rorykramer run it! #1day #whatdoyoumean? pic.twitter.com/PvMlMOSQwX
Thu Aug 27 09:05:35 PDT 2015 --  I love this dog! Thanks @marniethedog #1day #whatdoyoumean pic.twitter.com/s7BQv4uCpL
Thu Aug 27 09:08:29 PDT 2015 --  Everyone should listen to @AlecBaldwin. he knows what he is talking about. #1day #whatdoyoumean ;) pic.twitter.com/2tpZbL0rJ7
Thu Aug 27 09:46:04 PDT 2015 --  WHAT DO YOU MEAN? @Skrillex #1Day it's time pic.twitter.com/lS6oSL9mfd
Thu Aug 27 10:08:19 PDT 2015 --  see all of u and I appreciate and love u. It's about the music again :) love #mybeliebers #1day #whatdoyoumean thanks pic.twitter.com/2TA7zFfcpR
Thu Aug 27 07:02:41 PDT 2015 --  #1day #whatdoyoumean @justinbieber pic.twitter.com/xxWDDZtlWn
Thu Aug 27 01:25:51 PDT 2015 --  Are you ready? #WhatDoYouMean #VMAs I'm back :) pic.twitter.com/MKAPEdu9jx
Thu Aug 27 01:21:43 PDT 2015 --  Thanks @brooklynbeckham pic.twitter.com/hdrKkwXaHv
Wed Aug 26 20:31:45 PDT 2015 --  What Do You Mean? @MileyCyrus #2days see you Sunday #VMAs pic.twitter.com/5VgeIg2ugJ
Wed Aug 26 19:16:19 PDT 2015 --  I'm back. #WhatDoYouMean #VMAs @MTV pic.twitter.com/kvdVC8IvLN
