Sun Aug 23 13:10:03 PDT 2015 --  Down on bended knee. http://atmlb.com/1V2Q6ZS  @KetelOne pic.twitter.com/QUgei3vaTi
Thu Aug 20 19:32:43 PDT 2015 --  So tired of trying my best to make these kids happy!Never satisfied!Do they know my uniforms I wear to work have holes in them.Do they know
Sat Aug 15 22:49:06 PDT 2015 --  My Baby Girl & ILuv her to pieces pic.twitter.com/MvXAQ1vdli
Sat Aug 15 10:37:59 PDT 2015 --  #OITNB #NetflixKindaDay
Fri Aug 14 21:36:35 PDT 2015 --  If @Zillow paid my mortgage for a year, I would (___Go to Disneyworld______) http://bit.ly/1MiZMdP 
Thu Aug 13 20:10:51 PDT 2015 --  #DC4L #LetsGoCowboys
Thu Aug 13 20:08:49 PDT 2015 --  Let's Go Cowboys!!! pic.twitter.com/JTor53ZCTT
Wed Aug 12 19:55:36 PDT 2015 --  Ugh So Hot!!
Sat Aug 08 11:27:15 PDT 2015 --  Waiting........and waiting................
Tue Aug 04 18:47:12 PDT 2015 --  Didn't get car jacked.& They fixed it!
Tue Aug 04 17:57:12 PDT 2015 --  This mo-fo has me sitting here on Cedar while sum tweekers try & fix my fender!!!!WTH!!!Praying they don't car jack me
Sun Aug 02 16:33:15 PDT 2015 --  Woohoo #DodgersBaby
Sun Aug 02 12:46:58 PDT 2015 --  Happy #NationalSisterDay pic.twitter.com/ZaJxz6KWsV
Sat Aug 01 21:11:39 PDT 2015 --  TWC Sucks!!!!!!!!!!!!!!!! #UFC190
Sat Aug 01 18:45:53 PDT 2015 --  Back to school shopping with my baby girl
Sat Aug 01 10:03:42 PDT 2015 --  French toast & eggs for breakfastNo bacon or coffee!
Fri Jul 31 20:04:53 PDT 2015 --  #OITNB
Fri Jul 31 19:47:59 PDT 2015 --  TGIF!Pizza & Netflix
Sun Jul 26 11:00:34 PDT 2015 --  12 Healthy tips to suppress your cravings and eat less. #HealthyLiving #HealthTips #EbixAdam pic.twitter.com/XjlROB7cuS
