Fri Aug 28 15:44:19 PDT 2015 --  You know you're addicted when your barista knows your order before you even say something
Fri Aug 28 14:15:05 PDT 2015 --  When @Alex_Lopez1998 only calls you when he needs something
Thu Aug 27 18:03:25 PDT 2015 --  Best sign ever pic.twitter.com/0Jwatb786L
Thu Aug 27 17:47:20 PDT 2015 --  This song is awesome! Who's it by? Train? Oh... *Adds song to secret "don't play when any of my friends are around" playlist*
Wed Aug 26 22:15:43 PDT 2015 --  Make sure to vote for my friends @kinjaz for MTVs Americas Best Dance Crew. You can begin voting now… https://instagram.com/p/63-5YULGre/ 
Wed Aug 26 20:42:45 PDT 2015 --  Be grateful for what you have bc one day it'll be gone
Wed Aug 26 18:06:15 PDT 2015 --  So sad Corbett's leaving
Wed Aug 26 19:28:08 PDT 2015 --  @ronaaaaaay @Alex_Lopez1998 "MISSOURI MINNASOTA SAME THING"- Alex Lopez 2015
Wed Aug 26 19:24:08 PDT 2015 --  Nutella French Toast pic.twitter.com/rxnAOitrnL
Wed Aug 26 19:23:05 PDT 2015 --  Our class has lost a lot of teachers... But losing Mr. Corbett has to be the hardest. A great teacher, person, amazing Kairos leader #K27
Wed Aug 26 14:49:17 PDT 2015 --  Our class has seen so many teachers come and go
Sun Aug 23 20:40:46 PDT 2015 --  “ @bri_carrillo: It's so annoying how when someone does something wrong it's totally okay.. but if I do wrong it's the end of the world” me
Thu May 28 03:32:36 PDT 2015 --  Wish I could be in Hawaii instead of school right now pic.twitter.com/zjfIpI1RAc
Sat Aug 22 23:04:07 PDT 2015 --  When @Alex_Lopez1998 and @ThomasR1028 go at it on the phone
Sat Aug 22 18:10:01 PDT 2015 --  Oreo Cheesecake pic.twitter.com/iudVWAdXQ2
Thu Aug 20 21:21:53 PDT 2015 --  Pre-Cal will be the death of me am I right @christalleeeee ?
Thu Aug 20 08:36:24 PDT 2015 --  Tiramisu Thursdays! (Trust us, it's a thing) pic.twitter.com/ph3sseYEJ0
Wed Aug 19 19:40:54 PDT 2015 --  “ @Alex_Lopez1998: I LOVE HAVING A SEASON PASS TO UNIVERSAL...Cheaper HHN prices #UniversalHHN #HHN15 pic.twitter.com/kRd4rgaPnv” who wants to go
Tue Aug 18 20:15:58 PDT 2015 --  After tonight I realized I gotta get my crap together
