Sat Aug 29 00:46:57 PDT 2015 --  Kedistrak abis2an sama runningman wwwww
Fri Aug 28 22:13:32 PDT 2015 --  sumhaw tiba2 keingetan, mamihnya Rome itu namanya klw gak salah Jane............ *lirik @ruysheka* *bukan* pic.twitter.com/fmY22hWUaY
Fri Aug 28 08:16:13 PDT 2015 --  Bijeh datang ke timeline, lagu buat dae abis wkwkwkwkwk ga jodoh
Fri Aug 28 08:12:22 PDT 2015 --  Mauuuuuuuu https://twitter.com/LetsLoveFood/status/637281248621236224 …
Fri Aug 28 03:22:08 PDT 2015 --  Tapi lagunya kemanisan ga ya kalau dikirimnya dari yunhee wkwkwkwkw
Fri Aug 28 03:21:41 PDT 2015 --  Gue pengen banget kirim lagu itu ke Dae as Yunhee. Tapi gimana ya... Daenya belum nyampe ke tahap dimana Yunhee bisa kirim lagu itu lalalala
Fri Aug 28 01:05:19 PDT 2015 --  huhuhuhuhuhu gue malas banget kerja hari ini :(
Fri Aug 28 00:52:28 PDT 2015 --  malas banget kerja hari ini
Thu Aug 27 22:13:38 PDT 2015 --  Cowok koreanya siapa sih tu :-/ *ga apal* https://twitter.com/kpopasanime/status/635146659274424320 …
Thu Aug 27 22:10:57 PDT 2015 --  YUNBO!!!! Kyaaaaa otp gue selain YunJae / Taebo .////////. Aduuuhhhh bahagiaaa liat mereka https://twitter.com/soompi/status/637125653616136192 …
Thu Aug 27 22:09:42 PDT 2015 --  Kyaaaaaa gue demen, gue demen!!!! https://twitter.com/kpopasanime/status/636948821247823872 …
Thu Aug 27 22:09:19 PDT 2015 --  Calon ukenya Aoi wkwkwkwkw bangke!!! Aoi bnrn jd pedofil homo kalau ampe suka ini org wkwkwkwkwkwk https://twitter.com/kpopasanime/status/633390466793209856 …
Thu Aug 27 21:34:33 PDT 2015 --  Akhirnya.... gue pake moonbyul dan bisa bgt ya gue bikin plot dia tetep jd kembarannya si Kiyo *fliphair* gue jagoan! ┗(↑o↑)┛＜ｴｩﾝｪｩｩｩｩｩﾝ
Thu Aug 27 21:33:07 PDT 2015 --  Oh jd ini yg disuruh gue liat wwwwwwww ciyeeeeee yuni ciyeeeeee *emak diselepet anak* https://twitter.com/bygjjang/status/637091568663441408 …
Thu Aug 27 16:00:26 PDT 2015 --  pic.twitter.com/bQkOujmBK8
Thu Aug 27 01:29:39 PDT 2015 --  @ruysheka @DBSKnights Semangat oppa!
Wed Aug 26 23:51:59 PDT 2015 --  Huwwwaaaa oppaa!!! Kamu kayak biksu tong! #salahfokus https://twitter.com/DBSKnights/status/636779629164949504 …
Wed Aug 26 23:51:36 PDT 2015 --  Lol gue jd pengen buat han ga in sama kim do jun sodaraan :3 https://twitter.com/Koreaboo/status/636778586855215104 …
Wed Aug 26 23:45:50 PDT 2015 --  Kyaaa atsushi :(((((( https://twitter.com/soompi/status/636767693979303936 …
Wed Aug 26 23:45:14 PDT 2015 --  Huhuhuhu abangggg https://twitter.com/TVXQfacts/status/636764172357799936 …
Wed Aug 26 23:44:32 PDT 2015 --  Looks tasty https://twitter.com/LetsLoveFood/status/636752766166257665 …
Wed Aug 26 23:43:52 PDT 2015 --  Jaejoong gue demenan lo polos tanpa make up jiirrrr https://twitter.com/DBSKnights/status/636745617365069824 …
Wed Aug 26 23:43:21 PDT 2015 --  Ya Tuhanku abang!!! Ganteng bgt!!! *pelukin* https://twitter.com/shinkipeia/status/636742048792489984 …
Wed Aug 26 08:52:04 PDT 2015 --  #WeWillWaitForMicky #love #missingyou #snow #yoochun #jyj #dbsk #cassie #red #syal pic.twitter.com/IAtulIi0OR
Wed Aug 26 08:28:51 PDT 2015 --  Starting soon: world tennis champ @DjokerNole @UNICEF HQ. Stay tuned for exciting announcements. #NovakForChildren pic.twitter.com/Oijb2qKqPG
Wed Aug 26 08:45:00 PDT 2015 --  Semangat buat Jaejoong & Yoochun. Semoga makin laki abis dari wamil #lol #wewillwaitforjaejoong #WeWillWaitForMicky pic.twitter.com/oKB8UfIh0U
Wed Aug 26 08:42:38 PDT 2015 --  #WeWillWaitForYoochun Semangat wamilnya Oppa~ saranghanda~ pic.twitter.com/Lawkbr3JvH
Wed Aug 26 08:40:00 PDT 2015 --  Jir baru sampai rumah hahahaha Emak jelas ngambek tapi puaslah bisa ketemu manusia yang bisa mendengarkan gue hahaha kenyang makan lagi.
Wed Aug 26 07:05:24 PDT 2015 --  It felt the same when you wore this costume in 2003 or 2008; you're still our Micky Yoochun. #WewillwaitforMicky pic.twitter.com/Ur6qz3pPbe
Wed Aug 26 01:31:12 PDT 2015 --  Kepalaku pusing banget. Pengen tidur tapi belum bisa tidur.
Tue Aug 25 19:31:18 PDT 2015 --  PRET. WKWKWK https://twitter.com/angevoce/status/636192891799367682 …
Tue Aug 25 17:39:10 PDT 2015 --  *hug kak @ruysheka* https://twitter.com/psychologicaI/status/636332685154127873 …
Tue Aug 25 17:45:44 PDT 2015 --  @ruysheka @angevoce https://twitter.com/psychologicaI/status/636336788789813248 …
Tue Aug 25 19:30:05 PDT 2015 --  Today will be better than yesterday. Cheer up myself.
Tue Aug 25 07:27:29 PDT 2015 --  Baru sampai rumah abis makan bareng Uni dan diakhiri dg beli eskrim stone cold di 7-eleven. Feels much better :')
Tue Aug 25 05:32:45 PDT 2015 --  Can't stop crying
Tue Aug 25 05:23:49 PDT 2015 --  頑張らなくちゃ、でも。。。私はつからてたと思います。
Tue Aug 25 05:19:01 PDT 2015 --  明日、ディアスを会います。たくさん話すことがあります。本当に会いたい。すごく心が痛いんです。どうしればいいですか?私は本当に下らないんですか?だれもサポートをくれります。
Tue Aug 25 04:22:34 PDT 2015 --  And I really not like that one who said I was good for nothing
Tue Aug 25 04:22:03 PDT 2015 --  Hari ini gue merasa sangat useless
Tue Aug 25 04:19:33 PDT 2015 --  Asyiiikkkk didi gatel mau balik TH juga wkwkwkwk lets see~ balik apa ngga... kalau pipi... aku pasrah
Tue Aug 25 01:44:39 PDT 2015 --  @bygjjang @moriya_amane @ruysheka + terus dibilang berasa nonton film porno :( feeling karakternya ga dpt, cmn nonjolon sex doang *dll*
Tue Aug 25 01:43:46 PDT 2015 --  @bygjjang @moriya_amane aku dulu bahasa ncnya amburadul kok, vulgar, cmn dimarahin sama @ruysheka :| dia ga suka bacanya. Ga ada indah2nya +
Tue Aug 25 01:49:37 PDT 2015 --  terus ol-ol mention gue penuh lalalala
Tue Aug 25 01:49:04 PDT 2015 --  aduh,ano hito nyebelin banget deh.pengen gue pel mulutnya.kampret banget.sial gue bete banget sama dia. gue doain aja dah biar dia ga stress
Mon Aug 24 20:50:39 PDT 2015 --  @liloclilac @ruysheka eh, jangan mendahului dong matinya! (......)
Mon Aug 24 20:31:21 PDT 2015 --  @ruysheka iya tetep kok.
