Sat Aug 22 15:35:22 PDT 2015 --  "Visita mi blog …http://www.laperdiciondelaesfingeblanca.blogspot.com  ". Mil gracias. "Escribir es algo que desahoga el alma ".
Fri Aug 14 17:53:42 PDT 2015 --  Me pregunto cuando existira en España una educación igual para todos.... .!!
Fri Aug 14 16:56:17 PDT 2015 --  "La perdición de la esfinge blanca": "Soy maestra.....dentro y fuera del aula". …http://laperdiciondelaesfingeblanca.blogspot.com/2015/08/soy-maestradentro-y-fuera-del-aula.html?spref=tw …
Thu Aug 13 02:13:33 PDT 2015 --  Ante Declaración#Alerta #Lluvias recomendamos seguir las siguientes recomendaciones de #Autoproteccion #PEMULPA pic.twitter.com/XGvIsN1mb5
Tue Aug 11 09:48:22 PDT 2015 --  Tú haces Espejo Público http://www.antena3.com/programas/espejo-publico/participa/espejo-publico-estrena-quinta-temporada_2010082700170.html … vía @antena3com
Mon Aug 10 10:03:19 PDT 2015 --  Realiza clases online conmigo en Classgap https://www.classgap.com/me/mariasarellymateosdiaz … vía @classgap
Fri Jul 31 04:40:54 PDT 2015 --  ¡Soy una de las personas más atractivas de la semana en #badoo! Seguro que tú también. Visita http://badoo.com/es-es/b/472762582/1314094680/2/ … pic.twitter.com/z2j3EVcGFF
Sun Jul 26 14:20:34 PDT 2015 --  "La perdición de la esfinge blanca": "El porqué y... mi desesperación". …http://laperdiciondelaesfingeblanca.blogspot.com/2015/07/el-porque-y-mi-desesperacion.html?spref=tw … lleedlo por favor....
Sat Jun 13 13:48:25 PDT 2015 --  Ole ole y ole #ElSueñoDeTodos
Sat May 23 15:33:47 PDT 2015 --  "Por favor...ver las votaciones de eurovisión es como ver la lotería de Navidad.Esperando que toque algo y lo único que toca es el reloj ".
Tue May 19 13:25:51 PDT 2015 --  "Un chupachps; ?". pic.twitter.com/HXfV3MTC2A
Tue May 19 13:22:34 PDT 2015 --  Los de jazztel llevan tres días sin llamarme y me estoy preocupando :)
