Fri Aug 28 20:19:50 PDT 2015 --  Good morning India pic.twitter.com/Kj72Euq2SJ
Fri Aug 28 20:46:41 PDT 2015 --  Tributes to #Hockey magician #MajorDhyanChand on his birth anniversary. pic.twitter.com/zTb7uBtCMZ
Fri Aug 28 20:57:57 PDT 2015 --  No matter where in the world you go, it's this thread, that's stronger than any bond. Happy Raksha Bandhan to all the brothers & sisters!
Fri Aug 28 20:58:22 PDT 2015 --  Gujarat plans economic package for the poor among forward castes. Great beginning to end the caste game and switch to pure economics
Fri Aug 28 01:22:44 PDT 2015 --  Dear @HMOIndia How is Hardik Patel speaking freely to @ANI_news after causing loss of innocent lives? Disgusting !! pic.twitter.com/vsO2mIf8DL
Thu Aug 27 12:54:41 PDT 2015 --  My Respected PM @narendramodi ji #SaveGitaPress please. Whole Indians are requesting to you sir. @PMOIndia pic.twitter.com/2XLTAOSlZv
Thu Aug 27 23:18:01 PDT 2015 --  Smriti Irani ups the ante, private schools may have to declare assets, fee structure soon http://thenamonews.com/smriti-irani-ups-the-ante-private-schools-may-have-to-declare-assets-fee-structure-soon/ …
Thu Aug 27 08:05:05 PDT 2015 --  रामचरितमानस को घर-घर पहुंचाने वाली गीता प्रेस पर लगे ताले का #DNA टेस्ट रात 9 बजे @ZeeNews पर @sudhirchaudhary के साथ
Thu Aug 27 09:27:15 PDT 2015 --  Indian Sikh Fighter Ace Mohinder Singh Pujji, Squadron Leader, Indian Air Force (RAF), European Theater, World War I pic.twitter.com/F24DEIV2eo
Thu Aug 27 09:34:01 PDT 2015 --  Martyr Lt Navdeep Singh, #ThisDayThatYear Sacrificed life Fighting With Terrorists Kashmir, killed 4 Terrorists Alone pic.twitter.com/hsBr921xqa
Thu Aug 27 09:49:43 PDT 2015 --  If the #SaveGitaPress news is correct. I urge @ZeeNews @sardanarohit to ask the press to open up for charity & post their account details.
Wed Aug 26 23:43:32 PDT 2015 --  @msisodia I guess new road to Swaraj leads u to the doorstep of Lalu and Nitish. That's why u supporting them? pic.twitter.com/5Q2EKAfDlS
Wed Aug 26 09:23:29 PDT 2015 --  @smritiirani @narendramodi @HRDMinistry Dial *** 1. Give Up Subsidy 2. Give up reservation . Can we try? #जातिगत_आरक्षण_बंद_करो
