Sat Aug 29 10:15:11 PDT 2015 --  Who's the better Central Back ? Rt Chris Smalling Fav John Stones pic.twitter.com/Lp47TgsXrb
Fri Aug 28 10:07:19 PDT 2015 --  OMG FUCK YESSSSSSSSS GOD IS GREAT https://twitter.com/skysportsnewshq/status/637302162339549184 …
Fri Aug 28 09:13:27 PDT 2015 --  " Adnan Januzaj picked up an injury in midweek and is set to miss Sunday's game at Swansea City " So hope to see Ander as CAM now then #MUFC
Wed Aug 26 06:11:01 PDT 2015 --  Just bought an Arsenal season review off eBay. There was no disc but the picture of RVP celebrating against us. Cunt. pic.twitter.com/wBaXvGcHKG
Fri Aug 28 08:39:26 PDT 2015 --  What a sexual creature pic.twitter.com/LGcAzzp8uv
Thu Aug 27 13:45:14 PDT 2015 --  @IanDarke @ESPNFC There's only so much of the house you can sell before it falls down. So'ton need to stop selling their assets!
Thu Aug 27 09:20:57 PDT 2015 --  City with another tough draw
Thu Aug 27 09:19:50 PDT 2015 --  Group A is already group of death
Thu Aug 27 09:18:13 PDT 2015 --  Yes! We drew PSV! Hallelujah
Thu Aug 27 06:35:56 PDT 2015 --  One thing is certain in today's UCL draw. pic.twitter.com/MZf5BU444p
Wed Aug 26 16:12:32 PDT 2015 --  #UCL group draw prediction: PSG, United, Shaktar, Wolfsburg
Wed Aug 26 12:58:34 PDT 2015 --  Hat trick!!!! Atta boy Rooney
Wed Aug 26 12:55:26 PDT 2015 --  Herrera is splitting Brugge apart now.
Wed Aug 26 12:51:36 PDT 2015 --  That's what you get when you play Herrera. Brilliant pass. Perfect finish from Rooney.
Wed Aug 26 12:06:34 PDT 2015 --  Finally! Good job fat boy
Mon Aug 24 16:55:32 PDT 2015 --  Gary Neville on Wenger, great criticism: pic.twitter.com/UN0rhcFjUZ
Tue Aug 18 17:48:25 PDT 2015 --  He didn't play in the match but you wouldn't know it from his tweet. @youngy18 is class. #MUFC #GGMU https://twitter.com/youngy18/status/633760847718973440 …
Tue Aug 18 13:38:50 PDT 2015 --  Memphis MOTM no questions asked. 2 goals, 1 assist. Pure class!
Tue Aug 18 13:38:29 PDT 2015 --  Fellaini just decided this fixture. Can't see us losing 2-0 away.
Tue Aug 18 13:37:40 PDT 2015 --  FELLLLAINNNNNIIII YOU BELGIAN CHOCOLATE GODDDDD
Tue Aug 18 13:35:55 PDT 2015 --  Brugge just fouling left and right to slow the counter attack down. They were a tricky opponent overall.
Tue Aug 18 12:29:31 PDT 2015 --  Memphis you fucking beauty!!!!
Tue Aug 18 12:29:08 PDT 2015 --  Memphis Depay right now. http://vine.co/v/eOYYM9qdxlv 
Tue Aug 18 12:21:41 PDT 2015 --  Carrick has been particularly poor this half. I see schweinsteiger coming in around 60 minutes.
Tue Aug 18 12:14:13 PDT 2015 --  How is that not a penalty?
Tue Aug 18 12:10:38 PDT 2015 --  So tickled for Memphis getting his first goal of many. Get in boys!!!'
Tue Aug 18 12:00:34 PDT 2015 --  Get the fuck in #MUFC
Mon Aug 17 14:58:29 PDT 2015 --  As if LVG needed any more stats to justify playing Blind pic.twitter.com/gg77xLJlS5
Mon Aug 17 05:33:35 PDT 2015 --  Peculiar but Pertinent ... pic.twitter.com/DB9WIcMe16
Sun Aug 16 06:49:21 PDT 2015 --  How is coquelin still on!!?! Two rash challenges after being on a yellow.
Sun Aug 16 06:35:02 PDT 2015 --  In Cech's defense he's got no help at the back.
