Fri Aug 28 16:30:38 PDT 2015 --  Nice job at the scrimmage ladies!!! #holcomblonghorns pic.twitter.com/jkkhiUjEvw
Fri Aug 28 05:35:50 PDT 2015 --  Come out to support the Longhorns tonight for Gatorade scrimmages. VB @5:00 with Introductions of fall sports @7. FB will follow.
Thu Aug 27 16:54:28 PDT 2015 --  Come out and support the Holcomb Longhorn Volleyball Team in our alumni scrimmage tomorrow! 🏼 Starts at 5:00!
Sat Mar 28 17:54:32 PDT 2015 --  I'm not on Twitter to please you. I'm here strictly for my own amusement.
Sat Aug 22 20:34:38 PDT 2015 --  Can I just breath already...hurry up Fall!!!
Fri Aug 14 19:55:07 PDT 2015 --  Atta boy @TDLockett12!! #speed
Thu Aug 13 11:11:13 PDT 2015 --  Happy Birthday Madi!! @maadii_13
Sun Aug 02 10:14:28 PDT 2015 --  Worry less, smile more, and be grateful.
Mon May 04 18:24:53 PDT 2015 --  Just because I don't think the way you do, doesn't mean I'm wrong
Fri Mar 27 15:00:08 PDT 2015 --  I refuse to open snapchat videos in public bc I do not trust my friends at all.
Sun Jul 26 23:29:27 PDT 2015 --  The most precious Jewels You'll ever have around your Neck Are the Arms of your Children.
Mon Jul 27 05:56:17 PDT 2015 --  What did the blanket say as it fell off the bed? Oh sheet.
Sat Jul 25 08:46:28 PDT 2015 --  Come get your car washed at Auto zone anytime from 10-2! #ClassOf2017
Sun Jul 19 09:11:50 PDT 2015 --  Love my friends @Karie_Roth
Sat Jul 18 12:50:42 PDT 2015 --  I'm not a horrible or awful person despite what some may think or say. ...
Thu Jul 09 12:07:54 PDT 2015 --  The best part of being an adult is telling kids that being an adult should be avoided at all costs.
Thu Jul 09 09:15:43 PDT 2015 --  Happy Birthday to my fave bitch @richmeier71 pic.twitter.com/4xaF8usIEl
Wed Jul 01 08:25:28 PDT 2015 --  how about u shut the fuck up
Wed Jul 01 08:38:26 PDT 2015 --  Thanks Kam!! @kamryngomez23
Wed Jul 01 08:34:53 PDT 2015 --  Thank you @MeganRoth_
Tue Jun 23 08:53:41 PDT 2015 --  "The best gift a child can have is their own super hero, they can call dad Happy Father's Day to the real hero's... Dad's" @bottlecaps7
Tue Jun 23 08:51:30 PDT 2015 --  " @TumbIrsPosts: All the time pic.twitter.com/zRhUa1lRdI" @13_cheesy @McVeyPaige
Tue Jun 09 08:30:46 PDT 2015 --  If I invite you into my house you had better not EVER disrespect my family or me. You will NOT be welcomed back!!!
Mon Jun 01 21:16:04 PDT 2015 --  Come on Barbie, let's go party pic.twitter.com/AZ5VZwhZZo
Sat Jun 30 08:19:37 PDT 2012 --  Some people come into your life for a reason..... Sometimes it's to show you what an ass they are.
Mon Jun 01 12:13:57 PDT 2015 --  Thanks for ruining our day
Thu Jan 03 08:26:45 PST 2013 --  Ya ya go ahead. Judge me. Just remember to be perfect the rest of your life.
Tue Jul 15 20:27:17 PDT 2014 --  No matter how busy you are if your child wants to hug you... Hug them as long as they need to until the moment THEY decide to let go!
Mon May 18 17:14:55 PDT 2015 --  Great season ladies! Proud of you for fighting until the end! @MeganRoth_ @kamryngomez_ @McVeyPaige @mollymaude3 @__Eboni__ @rest of team
Mon May 18 10:45:29 PDT 2015 --  Good luck today Lady Longhorn softball!! You can do it! @MeganRoth_ @kamryngomez_ @McVeyPaige @mollymaude3 @__Eboni_@the rest of team.
Thu Apr 30 14:27:24 PDT 2015 --  Great moment as the Holcomb Lady Horns and the Goodland cowgirls meet in outfield to Strike Out Cancer pic.twitter.com/hljuQFqpqZ
Thu Apr 30 17:49:00 PDT 2015 --  Perfect night for some Lady Longhorn Softball... pic.twitter.com/y1IbaJktUc
Thu Apr 30 08:39:37 PDT 2015 --  " @holcombvbsb: Come out and wear your pink today at 4:15! It is strike out cancer night as we take on the Goodland Cowgirls!"
Tue Apr 21 17:16:42 PDT 2015 --  Game 1 20-5 Game 2 19-10 Another home sweep for the lady longhorns!
Mon Apr 20 19:55:27 PDT 2015 --  Senior night tomorrow! Come out and support your lady Longhorns softball team!
Fri Apr 17 12:23:54 PDT 2015 --  Game day double header starting at 4:00 vs. Scott City at home! Come support the lady longhorn softball team!
Tue Mar 31 15:43:50 PDT 2015 --  Lady Longhorns start off the season right with a 10-5 victory over Elkhart
Tue Mar 31 17:22:43 PDT 2015 --  After being down 7-1, Holcomb comes back to win 15-9 in the second game
