Thu Aug 27 06:28:09 PDT 2015 --  it https://twitter.com/OGKeithSweat/status/636292071264026626 …
Sat Aug 22 03:50:55 PDT 2015 --  This Month we have known each other for 8 years now.. Not looking & Not… https://instagram.com/p/6rtR-mi1V5pdwVd9GXfykCIe3lcLuqF9FHMco0/ …
Sat Aug 22 03:23:15 PDT 2015 --  I don't know how I do it.. but I always try my best 2 put a smile on my… https://instagram.com/p/6rqHYJC1REruE2TnNc2N31TXmU_0HzqWmlgaU0/ …
Fri Aug 21 07:28:48 PDT 2015 --  A nice percentage is true.. but wonder about the rest https://twitter.com/erika_mayall/status/634729892056309760 …
Fri Aug 21 07:13:13 PDT 2015 --  Amen https://twitter.com/Cutesy/status/634625011161038848 …
Thu Aug 20 15:45:27 PDT 2015 --  Everything is going to be alright, maybe not today, but eventually.
Fri Aug 21 07:20:29 PDT 2015 --  Make Sure Your Winloot Account Is Accurate http://www.winlootsweepstakes.com/how-to-play-winloot/make-sure-your-winloot-account-is-accurate/ …
Fri Aug 14 14:31:30 PDT 2015 --  You'll never get what you truly desire if you remain attached to what you're suppose to let go.
Fri Oct 24 07:25:52 PDT 2014 --  pic.twitter.com/3IMNHlHUKj
Fri Aug 14 03:32:42 PDT 2015 --  pic.twitter.com/ovzarf1ROu"
Fri Aug 14 03:28:13 PDT 2015 --  Stats About Happy People - Happy People Stats http://www.happify.com/hd/happiness-by-the-numbers/?s=8f821c1f …
Fri Aug 14 03:25:24 PDT 2015 --  " @Cutesy: I still remember the feeling I felt when I first started talking to you." @erika_mayall
Tue Aug 11 12:33:28 PDT 2015 --  Follow us for amazing deals on everything back-to-school! pic.twitter.com/pciUICRLsS
Tue Aug 11 04:25:34 PDT 2015 --  Only 33 percent of people answered this correctly. Can you? http://triviatoday.com/?t=FZTJB648R5  There u goo
Sun Aug 09 13:49:07 PDT 2015 --  Cancer https://celebrity.yahoo.com/horoscope/cancer/love-daily-20150809.html …
Sun Aug 09 13:40:57 PDT 2015 --  Cancer https://celebrity.yahoo.com/horoscope/cancer/overview-daily-20150809.html …
Tue Aug 04 17:40:09 PDT 2015 --  The moms think Rhys is Charles! #PLLProm #PLL
Tue Aug 04 17:57:45 PDT 2015 --  @PLLchat @ABCFpll of course the noise came from the basement. Why does everybody go down to the basement? Haven't you seen the movies?
Sat Aug 01 09:10:58 PDT 2015 --  6 Money Moves Every 20-Something Should Make Before Summer Is Over via @Forbes http://ow.ly/QkpEF 
