Fri Aug 28 19:22:28 PDT 2015 --  @lexisssssxo_ pic.twitter.com/jV7w0iVsed
Thu Aug 27 23:00:43 PDT 2015 --  Lol he never claims Sierra
Thu Aug 27 22:12:44 PDT 2015 --  pic.twitter.com/NtOViDa1xn
Thu Aug 27 22:06:43 PDT 2015 --  Sierra just brought me my stuff why she got the sports bra on brokewith Anthony in the car bitch get out we fighting but u kno doors locked
Thu Aug 27 21:38:25 PDT 2015 --  Then I gotta a no caller ID saying I was ugly lol bitch where haha u won't come fight me but you'll prank call to feel tough
Thu Aug 27 21:31:27 PDT 2015 --  Lol idk if her bitch ass dad answered he threatened US With thee cops lol then stop calling me on a blocked number lol
Thu Aug 27 19:31:54 PDT 2015 --  Should I try out for American idol?
Thu Aug 27 17:55:21 PDT 2015 --  Anyone need there nails done I'm doing acrylic top set for $10
Thu Aug 27 16:27:50 PDT 2015 --  Fuck the kissing neck and grabbing my ass, just hold me baby
Wed Aug 26 16:34:45 PDT 2015 --  Lol no he can say u fucked it over whatever relationship u thought u had u cheated with a foster kid because u felt bad lol bitch vacahoe
Wed Aug 26 16:32:00 PDT 2015 --  U were a hoe
Tue Aug 25 20:20:58 PDT 2015 --  Everything's that's happening is preparing you for that ass whoopin
Wed Jul 01 14:12:36 PDT 2015 --  who would you rather have in office? rt for an avocado. fav for donald trump. pic.twitter.com/aZBQ8uZWG0
Sun Aug 23 07:44:36 PDT 2015 --  I don't have to entertain a weak ass bitch from Vacaville
Sun Aug 23 07:09:41 PDT 2015 --  The winter is me and my babyboys thing
Sat Aug 22 20:52:26 PDT 2015 --  He's perfect pic.twitter.com/AGc6ntujZF
Sat Aug 22 17:13:47 PDT 2015 --  When my husband drops ice cream in my hair
Sat Aug 22 11:07:15 PDT 2015 --  He's a ugly fuckin bastard pic.twitter.com/kaH58xfUc8
Sat Aug 22 07:44:40 PDT 2015 --  Waking up to you is amazing the sweet kisses my babyboy gives me on my cheek in the morning
Fri Aug 21 19:43:18 PDT 2015 --  I love you baby pic.twitter.com/8FVcNiIvuz
Fri Aug 21 15:39:55 PDT 2015 --  pic.twitter.com/oZLLIH8hh6
Thu Aug 20 03:35:20 PDT 2015 --  Surround ur self with bad bitches end up with a whole bunch of fake ones at the end of the road
Thu Aug 20 03:24:43 PDT 2015 --  And I fuckin thank him u guys were just spoiled little bitches from Vacaville who's never been in real life situations
Thu Aug 20 03:24:05 PDT 2015 --  u kno why I don't have to get a fulltimejob now because my dad said while he's rich he wants to spoil hiskids for all the times we struggled
Thu Aug 20 03:22:11 PDT 2015 --  I lived in a car! I use to wash clothes at a laundry matt next t/a barbershop nd ask if I could sweep the hair till my laundrys done for $$
Thu Aug 20 03:15:51 PDT 2015 --  I had to get tf up to go around neighborhoods at 2am to pass out newspapers withmy dad just so he could pay rent, then go to school after
Thu Aug 20 03:11:07 PDT 2015 --  No believe my parents arnt the only ones who worked I fucken worked ever since I was 10! Nothing handed to me, I know what the bottom is
Tue Aug 18 22:55:21 PDT 2015 --  Looks like I won that one pic.twitter.com/gQsCo5YD2C
Tue Aug 18 19:33:54 PDT 2015 --  this would be insane pic.twitter.com/pQz8jJAnpO
Tue Aug 18 19:07:47 PDT 2015 --  It's fun driving in the begging but once u drive everywhere ur like take the car back
Tue Aug 18 19:04:58 PDT 2015 --  I'm gonna get the jeep first then my dad said I can take the range
Tue Aug 18 19:03:16 PDT 2015 --  Bye bye straight hair I love ya but I love my curly hair more
Tue Aug 18 17:07:29 PDT 2015 --  Destroy me fat ass bitch
Tue Aug 18 16:36:56 PDT 2015 --  I think it's funny how u talk shit on a girl u claimed as your sister and ran up on yo new bestfriend with her lol u got me like what
Tue Aug 18 15:57:27 PDT 2015 --  Or just keep the range?
Tue Aug 18 15:57:13 PDT 2015 --  Which car should I get pic.twitter.com/162KVrLXAO
Tue Aug 18 04:17:56 PDT 2015 --  Lol bitch but u post about college like u goin to a good one no u you goin to std sac state
Mon Aug 17 20:27:39 PDT 2015 --  I cry sometimes thinking of my future with my husband, it's that beautiful it makes my heart skip a beat it's our amazing dreams in one
